"rownum","string_0","rid_8","rid_24","i32_40"
0,"abyss_notable_override_1",7,3,0
1,"abyss_notable_override_2",7,3,0
2,"abyss_notable_override_3",7,3,0
3,"abyss_notable_override_4",7,3,0
4,"abyss_notable_override_5",7,3,0
5,"abyss_notable_override_6",7,3,0
6,"abyss_notable_override_7",7,3,0
7,"abyss_notable_override_8",7,3,0
8,"abyss_notable_override_9",7,3,0
9,"abyss_notable_override_10",7,3,0
10,"abyss_notable_override_11",7,3,0
11,"abyss_notable_override_12",7,3,0
12,"abyss_notable_override_13",7,3,0
13,"abyss_notable_override_14",7,3,0
14,"abyss_notable_override_15",7,3,0
15,"abyss_notable_override_16",7,3,0
16,"abyss_notable_override_17",7,3,0
17,"abyss_notable_override_18",7,3,0
18,"abyss_notable_override_19",7,3,0
19,"abyss_notable_override_20",7,3,0
20,"abyss_notable_override_21",7,3,0
21,"abyss_notable_override_22",7,3,0
22,"abyss_notable_override_23",7,3,0
23,"abyss_notable_override_24",7,3,0
24,"abyss_notable_override_25",7,3,0
