"rownum","Mod","Categories","DestroyAchievements"
0,5284,[3],[]
1,5291,[3],[]
2,5290,[3],[]
3,5298,[3],[]
4,5285,[0],[]
5,5286,[2],[]
6,5287,[0],[]
7,5296,[0],[]
8,5288,[2],[]
9,5289,[0],[]
10,5297,[0],[]
11,5295,[0],[]
12,5299,[0],[]
13,5283,[0],[]
14,5292,[3],[]
15,5293,[3],[]
16,5294,[3],[]
17,5300,[0],[]
18,5301,[0],[]
19,5302,[0],[]
20,5303,[3],[]
21,5304,[3],[]
22,5305,[3],[]
23,5306,[3],[]
24,5307,[3],[]
25,5308,[3],[]
26,5249,[0],[]
27,5250,[0],[]
28,5251,[0],[]
29,5252,[0],[]
30,5253,[0],[]
31,5254,[0],[]
32,5255,[0],[]
33,5256,[0],[]
34,5257,[0],[]
35,5258,[0],[]
36,5259,[0],[]
37,5260,[1],[]
38,5261,[0],[]
39,5262,[0],[]
40,5263,[0],[]
41,5264,[1],[]
42,5265,[0],[]
43,5266,[0],[]
44,5267,[0],[]
45,5268,[0],[]
46,5269,[0],[]
47,5270,[0],[]
48,5271,[0],[]
49,5272,[0],[]
50,5273,[0],[]
51,5274,[0],[]
52,5275,[0],[]
53,5276,[0],[]
54,5277,[0],[]
55,5278,[0],[]
56,5279,[0],[]
57,5280,[0],[]
58,5281,[0],[]
59,5282,[0],[]
60,14302,[0],[]
61,5309,[0],[]
