"rownum","Character","string_16","string_24","string_32","string_40"
0,0,"Art/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonMarauderNormal","Art/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonMarauderNormalHover","Art/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonMarauderSelected","Art/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonMarauderSelectedHover"
1,1,"Art/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonWitchNormal","Art/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonWitchNormalHover","Art/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonWitchSelected","Art/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonWitchHover"
2,2,"Art/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonRangerNormal","Art/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonRangerNormalHover","Art/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonRangerSelected","Art/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonRangerSelectedHover"
3,3,"Art/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonDuelistNormal","Art/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonDuelistNormalHover","Art/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonDuelistSelected","Art/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonDuelistSelectedHover"
4,4,"Art/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonShadowNormal","Art/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonShadowNormalHover","Art/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonShadowSelected","Art/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonShadowSelectedHover"
5,5,"Art/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonTemplarNormal","Art/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonTemplarNormalHover","Art/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonTemplarSelected","Art/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonTemplarSelectedHover"
6,6,"Art/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonWarriorNormal","Art/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonWarriorNormalHover","Art/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonWarriorSelected","Art/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonWarriorSelectedHover"
7,7,"Art/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonSorceressNormal","Art/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonSorceressNormalHover","Art/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonSorceressSelected","Art/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonSorceressSelectedHover"
8,8,"Art/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonHuntressNormal","Art/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonHuntressNormalHover","Art/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonHuntressSelected","Art/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonHuntressSelectedHover"
9,9,"Art/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonMercenaryNormal","Art/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonMercenaryNormalHover","Art/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonMercenarySelected","Art/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonMercenarySelectedHover"
10,10,"Art/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonMonkNormal","Art/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonMonkNormalHover","Art/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonMonkSelected","Art/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonMonkSelectedHover"
11,11,"Art/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonDruidNormal","Art/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonDruidNormalHover","Art/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonDruidSelected","Art/2DArt/UIImages/InGame/CharacterCreation/ClassButtons/ClassButtonDruidSelectedHover"
