"rownum","Id","SubStash","StoredItem","i32_40","i32_44","i32_48","i32_52","i32_56","i32_60","SubStashPage","bool_80","i32_81","ItemClass","StashPages","i32_117"
0,"Metadata/Items/Pinnacle/PinnacleKey1",0,3561,0,0,0,0,1,1,0,"",78,"",0,0
1,"Metadata/Items/Pinnacle/PinnacleKey2",0,3562,0,0,1,0,1,1,0,"",78,"",0,0
2,"Metadata/Items/Pinnacle/PinnacleKey3",0,3563,0,0,2,0,1,1,0,"",78,"",0,0
3,"Metadata/Items/Currency/CurrencyBreachShard",0,173,0,0,3,0,1,1,0,"",78,"",0,0
4,"Metadata/Items/MapFragments/CurrencyBreachFragment",0,794,0,0,4,0,1,1,0,"",78,"",0,0
5,"Metadata/Items/Currency/CurrencyAfflictionShard",0,189,0,0,5,0,1,1,0,"",78,"",0,0
6,"Metadata/Items/MapFragments/CurrencyAfflictionFragment",0,830,0,0,6,0,1,1,0,"",78,"",0,0
7,"Metadata/Items/MapFragments/CurrencyRitualBossFragment",0,835,0,0,7,0,1,1,0,"",78,"",0,0
8,"Metadata/Items/Ultimatum/TrialmasterKey1",0,3570,0,0,8,0,1,1,0,"",78,"",0,0
9,"Metadata/Items/Ultimatum/TrialmasterKey2",0,3571,0,0,9,0,1,1,0,"",78,"",0,0
10,"Metadata/Items/Ultimatum/TrialmasterKey3",0,3572,0,0,10,0,1,1,0,"",78,"",0,0
11,"TabletsPrecursor1",1,3692,0,0,0,0,12,8,"","",78,105,1,0
12,"TabletsPrecursor2",2,3692,0,0,0,0,12,8,"","",78,105,1,0
13,"TabletsPrecursor3",3,3692,0,0,0,0,12,8,"","",78,105,1,0
14,"TabletsPrecursor4",4,3692,0,0,0,0,12,8,"","",78,105,1,0
15,"TabletsPrecursor5",5,3692,0,0,0,0,12,8,"","",78,105,1,0
16,"TabletsPrecursor6",6,3692,0,0,0,0,12,8,"","",78,105,1,0
17,"TabletsRitual1",7,3691,0,0,0,0,12,8,"","",78,105,1,0
18,"TabletsRitual2",8,3691,0,0,0,0,12,8,"","",78,105,1,0
19,"TabletsRitual3",9,3691,0,0,0,0,12,8,"","",78,105,1,0
20,"TabletsRitual4",10,3691,0,0,0,0,12,8,"","",78,105,1,0
21,"TabletsRitual5",11,3691,0,0,0,0,12,8,"","",78,105,1,0
22,"TabletsRitual6",12,3691,0,0,0,0,12,8,"","",78,105,1,0
23,"TabletsExpedition1",13,3689,0,0,0,0,12,8,"","",78,105,1,0
24,"TabletsExpedition2",14,3689,0,0,0,0,12,8,"","",78,105,1,0
25,"TabletsExpedition3",15,3689,0,0,0,0,12,8,"","",78,105,1,0
26,"TabletsExpedition4",16,3689,0,0,0,0,12,8,"","",78,105,1,0
27,"TabletsExpedition5",17,3689,0,0,0,0,12,8,"","",78,105,1,0
28,"TabletsExpedition6",18,3689,0,0,0,0,12,8,"","",78,105,1,0
29,"TabletsDelirium1",19,3690,0,0,0,0,12,8,"","",78,105,1,0
30,"TabletsDelirium2",20,3690,0,0,0,0,12,8,"","",78,105,1,0
31,"TabletsDelirium3",21,3690,0,0,0,0,12,8,"","",78,105,1,0
32,"TabletsDelirium4",22,3690,0,0,0,0,12,8,"","",78,105,1,0
33,"TabletsDeliriu5",23,3690,0,0,0,0,12,8,"","",78,105,1,0
34,"TabletsDelirium6",24,3690,0,0,0,0,12,8,"","",78,105,1,0
35,"TabletsBreach1",25,3688,0,0,0,0,12,8,"","",78,105,1,0
36,"TabletsBreach2",26,3688,0,0,0,0,12,8,"","",78,105,1,0
37,"TabletsBreach3",27,3688,0,0,0,0,12,8,"","",78,105,1,0
38,"TabletsBreach4",28,3688,0,0,0,0,12,8,"","",78,105,1,0
39,"TabletsBreach5",29,3688,0,0,0,0,12,8,"","",78,105,1,0
40,"TabletsBreach6",30,3688,0,0,0,0,12,8,"","",78,105,1,0
41,"TabletsBoss1",31,3693,0,0,0,0,12,8,"","",78,105,1,0
42,"TabletsBoss2",32,3693,0,0,0,0,12,8,"","",78,105,1,0
43,"TabletsBoss3",33,3693,0,0,0,0,12,8,"","",78,105,1,0
44,"TabletsBoss4",34,3693,0,0,0,0,12,8,"","",78,105,1,0
45,"TabletsBoss5",35,3693,0,0,0,0,12,8,"","",78,105,1,0
46,"TabletsBoss6",36,3693,0,0,0,0,12,8,"","",78,105,1,0
47,"TabletsUnique1",37,"",0,0,0,0,12,8,"","",78,105,2,0
48,"TabletsUnique2",38,"",0,0,0,0,12,8,"","",78,105,2,0
49,"TabletsUnique3",39,"",0,0,0,0,12,8,"","",78,105,2,0
50,"TabletsUnique4",40,"",0,0,0,0,12,8,"","",78,105,2,0
51,"TabletsUnique5",41,"",0,0,0,0,12,8,"","",78,105,2,0
52,"TabletsUnique6",42,"",0,0,0,0,12,8,"","",78,105,2,0
53,"TrialsSekhemas",43,1878,0,0,0,0,12,8,"","",78,"",0,0
54,"TrialsChaos",44,3567,0,0,0,0,12,8,"","",78,"",0,0
