"rownum","BuffDefinitions","[i32]_16","Stats1Keys","Stat1Values","i32_52","i32_56","Stat2Values","Stats2Keys","[i32]_92","bool_108"
0,796,[],"[467,436]",0,0,0,[],[],[],""
1,815,[],[],0,1,0,[],[],[],""
2,844,[],[337],25,2,0,[],[],"[1,2,3]",""
3,846,"[1,1]",[467],0,3,0,[],[],[],""
4,848,[],"[168,167,5871,1114]",0,4,0,[],[],[],""
5,850,[],"[24,467,70,172]",0,5,0,[],[],[],""
6,1019,[],"[24,70,213,172,467]",0,6,0,[],[],[],""
7,842,[],"[5997,5998,5999]",0,7,0,[],[],[],""
8,1080,[1],[],30,8,0,[],[],[3],""
9,1191,[],[],0,9,0,[],[],[],""
10,1238,[],"[172,70]",0,10,0,[],[],[],""
11,1315,[],[24],0,11,0,[],[],[],""
12,1326,[],"[732,24]",0,12,0,[],[],[],""
13,1361,[],[135],0,17,0,[],[],[],""
14,1365,[],[1940],200,18,100,[],[],"[3,10]",""
15,1365,[],[1940],200,19,85,[],[],"[3,10]",""
16,1365,[],[1940],200,20,70,[],[],"[3,10]",""
17,1365,[],[1940],200,21,55,[],[],"[3,10]",""
18,1365,[],[1940],200,22,35,[],[],"[3,10]",""
19,1337,[],"[5629,5630,5632,5633,337]",74,23,0,[],[],"[3,10,11]",""
20,1338,[],"[5629,5630,5632,5633,337]",55,24,0,[],[],"[3,10,11]",""
21,1376,[],"[5629,5630,5632,5633,337]",74,25,0,[],[],"[3,10,18]",""
22,1377,[],"[5629,5630,5632,5633,337]",55,26,0,[],[],"[3,10,18]",""
23,851,[],"[24,467,70,172,3289]",0,28,0,[],[],[],""
24,847,"[1,1,1]",[467],0,29,0,[],[],[],""
25,849,[],"[168,167,5871,1114,9884]",0,30,0,[],[],[],""
26,845,[],[337],35,31,0,[],[],"[1,2]",""
27,852,[],"[585,651]",0,32,0,[],[],[],""
28,1562,[],[1939],23,33,0,[],[],"[3,5,10]",""
29,1562,[],[1939],11,34,0,[],[],"[3,5,10]",""
30,1622,[],"[467,146,148]",16,35,0,[],[],"[3,11]",""
31,1625,[],[337],0,36,0,[],[],[],""
32,1642,[-8],[1943],120,37,0,[],[],"[3,10,11]",""
33,1646,[],[467],28,38,0,[],[],"[2,10,14]",""
34,1624,[],[337],120,39,0,[],[],"[1,2,3,10]",""
35,1653,[],"[134,133]",0,40,0,[],[],[],""
36,1562,[],[1939],23,41,0,[],[],"[3,4,10]",""
37,1562,[],[1939],11,42,0,[],[],"[3,4,10]",""
38,1685,[],[2508],14,43,0,[],[],[3],""
39,1686,[],[2508],14,44,0,[400],[],[3],""
40,1712,[],[],0,45,0,[],[],[],""
41,1780,[],"[1937,1940]",150,46,55,[],[],"[3,10]",""
42,1882,[],"[3228,1941]",38,47,28,[],[],[3],""
43,1905,[],"[70,213,211,14496]",0,48,0,[],[],[],""
44,1338,[],"[5629,5630,5632,5633,337]",48,49,0,[],[],"[3,10,11]",""
45,2018,[],[1943],15,50,0,[],[],"[3,10]",""
46,442,[1],[],0,51,0,[],[],[],""
47,1883,[],"[1937,11005]",32,52,22,[],[],[3],""
48,1884,[],"[1937,22911]",62,53,50,[],[],[3],""
49,1722,[10],[],0,1000,0,"[1,50]",[],[],""
50,1995,"[20,10]",[],0,1001,0,[],[],"[1,2,3]",""
51,2260,"[-20,30]",[],0,1003,0,[],[],[],""
52,2271,[],[22118],0,1004,0,[],[],[],""
53,2273,[0],"[18179,19194]",0,1005,0,[],[18642],[],""
54,2119,[],[],30,1007,0,[],[],"[24,14]",""
55,2120,[6000],[],30,1008,0,[],[],"[14,8]",""
56,2118,[],[344],30,1009,0,[],[],[3],""
57,2120,[180],[],30,1010,0,[],[],"[14,2]",""
58,110,[50],[],42,1011,0,[],[],[3],""
59,102,[40],[],50,1012,0,[],[],"[1,2]",""
60,104,"[25,25]",[],50,1013,0,[],[],"[1,2]",""
61,107,[30],[],25,1014,0,[],[],"[1,2]",""
62,106,[35],[],50,1015,0,[],[],"[1,2]",""
63,1885,"[25,40,-60]",[],32,1016,0,[],[],[3],""
64,1407,[],[],30,1017,0,"[6,-30]",[],[3],""
65,1881,[-3],[],36,1018,0,[],[],"[3,5]",""
66,110,[50],[],42,1019,0,[],[],[3],""
67,102,[40],[],50,1020,0,[],[],"[1,2]",""
68,104,"[25,25]",[],50,1021,0,[],[],"[1,2]",""
69,107,[30],[],25,1022,0,[],[],"[1,2]",""
70,106,[35],[],50,1023,0,[],[],"[1,2]",""
71,1885,"[25,40,-60]",[],32,1024,0,[],[],[3],""
72,1407,[],[],30,1025,0,"[6,-30]",[],[3],""
73,1881,[-3],[],36,1026,0,[],[],"[3,5]",""
74,1882,[],"[3228,1941]",38,1027,28,[],[],[3],""
75,104,"[12,12]",[],50,1028,0,[],[],"[1,2]",""
76,107,[10],[],50,1029,0,[],[],"[1,2]",""
77,1885,"[10,40,-20]",[],32,1030,0,[],[],[3],""
78,2783,[],[1967],150,1031,55,[],[],"[3,10]",""
79,2807,[],[341],18,1032,0,[],[],"[3,10]",""
80,1883,[],"[1937,11005]",32,1033,22,[],[],[3],""
81,1884,[],"[1937,22911]",62,1034,50,[],[],[3],""
82,2827,[],[],0,1035,0,[],[],[],""
83,2869,[],[],50,1036,0,[],[],"[1,2]",""
84,2869,[1],[],50,1037,0,[],[],"[1,2,4]",""
85,688,[],[5623],0,1038,0,[],[],[],""
86,251,[],[5619],0,1039,0,[],[],[],""
87,1780,[],"[1937,1940]",200,1040,80,[],[],"[3,10]",""
