"rownum","BaseItemType","Block"
0,373,25
1,2685,25
2,2492,26
3,2493,26
4,2494,26
5,2495,26
6,2496,26
7,2497,26
8,2498,26
9,2499,26
10,2500,26
11,2501,26
12,2502,26
13,2503,26
14,2504,26
15,2505,25
16,2506,25
17,2507,25
18,2508,25
19,2509,25
20,2510,25
21,2511,25
22,2512,25
23,2513,25
24,2514,25
25,2515,25
26,2516,25
27,2517,25
28,2518,25
29,2519,25
30,2520,25
31,2521,25
32,2522,25
33,2523,25
34,2524,25
35,2525,25
36,2526,25
37,2527,20
38,2528,20
39,2529,20
40,2530,20
41,2531,20
42,2532,20
43,2533,20
44,2534,20
45,2535,20
46,2536,20
47,2537,20
48,2538,20
49,2539,20
50,2889,26
51,2890,26
52,2891,26
53,2892,26
54,2893,26
55,2894,26
56,2895,25
57,2896,25
58,2897,25
59,2898,25
60,2899,25
61,2900,25
62,2901,25
63,2902,25
64,2903,25
65,2904,25
66,2905,25
67,2906,25
68,2907,20
69,2908,20
70,2909,20
71,2910,20
72,2911,20
73,2912,20
74,3021,26
75,3022,26
76,3023,26
77,3024,26
78,3025,26
79,3026,25
80,3027,25
81,3028,25
82,3029,25
83,3030,28
84,3031,25
85,3032,25
86,3033,25
87,3034,25
88,3035,20
89,3036,20
90,3037,20
91,3038,20
92,3328,26
93,3329,26
94,3330,26
95,3331,26
96,3332,26
97,3333,26
98,3334,26
99,3335,26
100,3336,26
101,3337,26
102,3338,26
103,3339,26
104,3340,26
105,3341,25
106,3342,25
107,3343,25
108,3344,25
109,3345,25
110,3346,25
111,3347,25
112,3348,25
113,3349,25
114,3350,25
115,3351,25
116,3352,25
117,3353,25
118,3354,25
119,3355,25
120,3356,25
121,3357,25
122,3358,25
123,3359,25
124,3360,25
125,3361,25
126,3362,25
127,3363,25
128,3364,20
129,3365,20
130,3366,20
131,3367,20
132,3368,20
133,3369,20
134,3370,20
135,3371,20
136,3372,20
137,3373,20
138,3374,20
139,3375,20
140,3376,20
141,3377,26
142,3378,26
143,3379,26
144,3380,25
145,3381,25
146,3382,25
147,3383,25
148,3384,25
149,3385,25
150,3386,20
151,3387,20
152,3388,20
153,3503,26
154,3504,26
155,3505,26
156,3506,26
157,3507,25
158,3508,25
159,3509,25
160,3510,25
161,3511,25
162,3512,25
163,3513,25
164,3514,25
165,3515,20
166,3516,20
167,3517,20
168,3518,20
169,5441,26
170,5442,26
171,5443,26
172,5444,26
173,5445,26
174,5446,26
175,5447,26
176,5449,26
177,5450,26
178,5451,26
179,5452,26
180,5453,26
181,5454,26
182,5455,26
183,5456,25
184,5457,25
185,5458,25
186,5459,25
187,5460,25
188,5461,25
189,5462,25
190,5463,20
191,5464,20
192,5465,20
193,5466,20
194,5467,20
195,5468,20
196,5469,20
197,5470,20
198,5471,26
199,5472,25
200,5473,20
201,5474,25
202,5475,25
