"rownum","ItemClass","Influence","Tag"
0,4,2,499
1,4,1,256
2,4,4,502
3,4,3,501
4,4,0,255
5,4,5,500
6,21,2,495
7,21,1,260
8,21,4,498
9,21,3,497
10,21,0,259
11,21,5,496
12,24,2,487
13,24,1,254
14,24,4,490
15,24,3,489
16,24,0,253
17,24,5,488
18,23,2,475
19,23,1,246
20,23,4,478
21,23,3,477
22,23,0,245
23,23,5,476
24,13,2,518
25,13,1,274
26,13,4,546
27,13,3,532
28,13,0,273
29,13,5,560
30,6,2,511
31,6,1,272
32,6,4,539
33,6,3,525
34,6,0,271
35,6,5,553
36,7,2,512
37,7,1,276
38,7,4,540
39,7,3,526
40,7,0,275
41,7,5,554
42,22,2,479
43,22,1,250
44,22,4,482
45,22,3,481
46,22,0,249
47,22,5,480
48,25,2,483
49,25,1,252
50,25,4,486
51,25,3,485
52,25,0,251
53,25,5,484
54,11,2,515
55,11,1,268
56,11,4,543
57,11,3,529
58,11,0,267
59,11,5,557
60,12,2,516
61,12,1,270
62,12,4,544
63,12,3,530
64,12,0,269
65,12,5,558
66,9,2,514
67,9,1,248
68,9,4,542
69,9,3,528
70,9,0,247
71,9,5,556
72,20,2,507
73,20,1,262
74,20,4,510
75,20,3,509
76,20,0,261
77,20,5,508
78,5,2,503
79,5,1,258
80,5,4,506
81,5,3,505
82,5,0,257
83,5,5,504
84,32,2,517
85,32,1,284
86,32,4,545
87,32,3,531
88,32,0,283
89,32,5,559
90,26,2,491
91,26,1,264
92,26,4,494
93,26,3,493
94,26,0,263
95,26,5,492
96,14,2,519
97,14,1,282
98,14,4,547
99,14,3,533
100,14,0,281
101,14,5,561
102,16,2,521
103,16,1,278
104,16,4,549
105,16,3,535
106,16,0,277
107,16,5,563
108,17,2,522
109,17,1,280
110,17,4,550
111,17,3,536
112,17,0,279
113,17,5,564
114,15,2,520
115,15,1,266
116,15,4,548
117,15,3,534
118,15,0,265
119,15,5,562
120,8,2,513
121,8,1,286
122,8,4,541
123,8,3,527
124,8,0,285
125,8,5,555
126,57,2,524
127,57,1,290
128,57,4,552
129,57,3,538
130,57,0,289
131,57,5,566
