"rownum","Passive","Tree","i32_32"
0,8707,0,100
1,8697,0,97
2,8698,0,96
3,8699,0,54
4,8700,0,52
5,8701,0,50
6,8702,0,48
7,8703,0,47
8,8704,0,49
9,8705,0,51
10,8706,0,53
11,8708,0,95
12,8709,0,91
13,8710,0,90
14,8711,0,94
15,8712,0,93
16,8713,0,92
17,8714,0,89
18,8715,0,85
19,8716,0,88
20,8717,0,87
21,8718,0,86
22,8719,0,46
23,8722,0,0
24,8723,0,45
25,8724,0,44
26,8725,0,43
27,8726,0,0
28,8727,0,42
29,8728,0,41
30,8729,0,40
31,8730,0,99
32,8731,0,98
33,8732,0,65
34,8733,0,64
35,8737,0,67
36,8738,0,66
37,8744,0,69
38,8745,0,68
39,8750,0,84
40,8751,0,58
41,8752,0,57
42,8753,0,83
43,8754,0,81
44,8755,0,82
45,8756,0,0
46,8757,0,80
47,8758,0,56
48,8759,0,55
49,8760,0,70
50,8761,0,30
51,8762,0,29
52,8763,0,28
53,8764,0,79
54,8765,0,75
55,8766,0,63
56,8767,0,39
57,8768,0,38
58,8769,0,27
59,8770,0,33
60,8771,0,31
61,8772,0,32
62,8773,0,25
63,8774,0,23
64,8775,0,24
65,8776,0,26
66,8777,0,37
67,8778,0,36
68,8779,0,35
69,8782,0,34
70,8784,0,78
71,8783,0,76
72,8785,0,77
73,8786,0,71
74,8787,0,72
75,8788,0,74
76,8789,0,73
77,8790,0,62
78,8791,0,61
79,8793,0,59
80,8792,0,60
81,8963,1,100
82,8964,1,99
83,8965,1,96
84,8966,1,95
85,8967,1,94
86,8968,1,93
87,8969,1,92
88,8970,1,68
89,8971,1,69
90,8972,1,67
91,8975,1,74
92,8976,1,73
93,8977,1,72
94,8978,1,69
95,8981,1,70
96,8984,1,71
97,8987,1,87
98,8988,1,86
99,8989,1,85
100,8990,1,84
101,8994,1,83
102,8998,1,82
103,9001,1,98
104,9002,1,66
105,9003,1,90
106,9004,1,91
107,9005,1,81
108,9006,1,80
109,9007,1,79
110,9008,1,0
111,9009,1,0
112,9010,1,65
113,9011,1,64
114,9014,1,63
115,9015,1,62
116,9016,1,61
117,9019,1,60
118,9020,1,59
119,9021,1,58
120,9024,1,57
121,9025,1,97
122,9026,1,78
123,9027,1,53
124,9028,1,88
125,9029,1,77
126,9030,1,76
127,9033,1,75
128,9034,1,50
129,9035,1,49
130,9038,1,48
131,9039,1,0
132,9040,1,51
133,9043,1,52
134,9044,1,56
135,9045,1,89
136,9046,1,55
137,9047,1,54
138,9051,1,0
139,8795,2,100
140,8796,2,99
141,8797,2,96
142,8798,2,73
143,8799,2,71
144,8800,2,70
145,8801,2,69
146,8802,2,68
147,8803,2,67
148,8804,2,60
149,8805,2,59
150,8806,2,0
151,8807,2,58
152,8808,2,86
153,8809,2,85
154,8810,2,0
155,8811,2,84
156,8812,2,83
157,8813,2,79
158,8817,2,80
159,8818,2,81
160,8819,2,82
161,8820,2,72
162,8826,2,97
163,8825,2,95
164,8824,2,57
165,8827,2,98
166,8828,2,54
167,8829,2,0
168,8830,2,51
169,8831,2,49
170,8832,2,47
171,8833,2,46
172,8834,2,45
173,8835,2,44
174,8836,2,48
175,8837,2,50
176,8838,2,53
177,8841,2,52
178,8846,2,94
179,8851,2,93
180,8852,2,91
181,8853,2,89
182,8854,2,0
183,8855,2,87
184,8860,2,88
185,8861,2,90
186,8862,2,92
187,8863,2,78
188,8864,2,77
189,8865,2,0
190,8866,2,75
191,8867,2,0
192,8868,2,74
193,8871,2,76
194,8872,2,0
195,8873,2,56
196,8874,2,55
197,8875,2,65
198,8876,2,63
199,8880,2,66
200,8881,2,64
201,8882,2,63
202,8883,2,62
203,8884,2,61
204,8886,3,100
205,8887,3,97
206,8888,3,96
207,8889,3,95
208,8890,3,95
209,8891,3,68
210,8892,3,69
211,8893,3,70
212,8894,3,71
213,8895,3,95
214,8896,3,94
215,8897,3,93
216,8898,3,92
217,8899,3,91
218,8900,3,90
219,8901,3,85
220,8902,3,83
221,8903,3,81
222,8904,3,79
223,8905,3,84
224,8909,3,82
225,8912,3,80
226,8915,3,78
227,8918,3,99
228,8919,3,67
229,8920,3,88
230,8922,3,77
231,8923,3,76
232,8924,3,75
233,8927,3,66
234,8928,3,66
235,8929,3,65
236,8930,3,64
237,8934,3,89
238,8935,3,63
239,8936,3,61
240,8940,3,62
241,8955,3,98
242,8954,3,87
243,8942,3,60
244,8941,3,59
245,8943,3,58
246,8944,3,57
247,8948,3,56
248,8949,3,55
249,8953,3,54
250,8956,3,86
251,8957,3,74
252,8958,3,73
253,8959,3,72
