"rownum","BaseItemType","i32_16","Reward","Reward (French)","Reward (German)","Reward (Japanese)","Reward (Korean)","Reward (Portuguese)","Reward (Russian)","Reward (Spanish)","Reward (Thai)","Reward (Traditional Chinese)","HASH32","AchievementItemsKeys","bool_48","RewardDescription","[i32]_65"
0,920,111,"Essence Item","Essence","Essenz-Gegenstand","エッセンスアイテム","에센스 아이템","Essência","Сущность","Objeto de esencia","ไอเทม เอสเซนส์","精髓",52571,[],"",4808,[]
1,921,131,"Currency Item","Objet monétaire","Währungsgegenstand","カレンシーアイテム","화폐 아이템","Moeda","Валюта","Objeto monetario","ไอเทม เงินตรา","通貨",52259,[],"",4808,[]
2,922,151,"Unique Item","Objet unique","Einzigartiger Gegenstand","ユニークアイテム","고유 아이템","Item Único","Уникальный предмет","Objeto único","ไอเทม ยูนิค","傳奇道具",18701,[],"",4808,[]
3,923,121,"Map Item","Carte","Kartengegenstand","マップアイテム","지도 아이템","Mapa","Карта","Objeto de mapa","ไอเทม แผนที่","地圖",22038,[],"",4808,[]
4,924,251,"Unique Map Item","Carte unique","Einzigartiger Kartengegenstand","ユニークマップアイテム","고유 지도 아이템","Mapa Único","Уникальная карта","Objeto de mapa único","ไอเทม แผนที่ยูนิค","傳奇地圖",6696,[],"",4808,[]
5,925,301,"Rare Abyss Item","Objet rare d'Abysse","Seltener Abgrund-Gegenstand","レアアビスアイテム","희귀 심연 아이템","Item Abissal Raro","Редкий предмет Бездны","Objeto abisal raro","ไอเทม อะบิสระดับ แรร์","稀有深淵之物",41772,[],"",4808,[]
6,926,301,"Fragment Item","Fragment","Fragment-Gegenstand","フラグメントアイテム","조각 아이템","Fragmento","Фрагмент","Objeto de fragmento","ไอเทม ชิ้นส่วน","碎片",60390,[],"",4808,[]
7,927,301,"Scarab Item","Scarabée","Skarabäus","スカラベアイテム","갑충석 아이템","Escaravelho","Скарабей","Objeto de escarabajo","ไอเทม สคารับ","聖甲蟲",32186,[],"",4808,[]
8,928,151,"Essence Item","Essence","Essenz-Gegenstand","エッセンスアイテム","에센스 아이템","Essência","Сущность","Objeto de esencia","ไอเทม เอสเซนส์","精髓之物",23218,[],"",4808,[]
9,929,301,"Fossil Item","Fossile","Fossil-Gegenstand","フォッシルアイテム","화석 아이템","Fóssil","Ископаемое","Objeto de fósil","ไอเทม ฟอสซิล","化石",19642,[],"",4808,[]
