"rownum","Id","StoredItem","XOffset","YOffset","FirstSlotIndex","Width","Height","ShowIfEmpty","SlotSize","SlotStyle"
0,"Metadata/Items/Currency/CurrencyEssenceLife",99,124,30,0,1,1,1,70,0
1,"Metadata/Items/Currency/CurrencyEssenceMana",100,124,120,1,1,1,1,70,0
2,"Metadata/Items/Currency/CurrencyEssenceDefences",101,124,210,2,1,1,1,70,0
3,"Metadata/Items/Currency/CurrencyEssencePhysical",102,658,120,3,1,1,1,70,0
4,"Metadata/Items/Currency/CurrencyEssenceFire",103,124,300,4,1,1,1,70,0
5,"Metadata/Items/Currency/CurrencyEssenceCold",104,124,480,5,1,1,1,70,0
6,"Metadata/Items/Currency/CurrencyEssenceLightning",105,124,660,6,1,1,1,70,0
7,"Metadata/Items/Currency/CurrencyEssenceChaos",106,124,840,7,1,1,1,70,0
8,"Metadata/Items/Currency/CurrencyEssenceAttack",107,658,570,8,1,1,1,70,0
9,"Metadata/Items/Currency/CurrencyEssenceCaster",108,658,210,9,1,1,1,70,0
10,"Metadata/Items/Currency/CurrencyEssenceSpeed",109,658,300,10,1,1,1,70,0
11,"Metadata/Items/Currency/CurrencyEssenceAttribute",110,658,660,11,1,1,1,70,0
12,"Metadata/Items/Currency/CurrencyGreaterEssenceLife",111,204,30,12,1,1,1,70,2
13,"Metadata/Items/Currency/CurrencyGreaterEssenceMana",112,204,120,13,1,1,1,70,2
14,"Metadata/Items/Currency/CurrencyGreaterEssenceDefences",113,204,210,14,1,1,1,70,2
15,"Metadata/Items/Currency/CurrencyGreaterEssencePhysical",114,738,120,15,1,1,1,70,2
16,"Metadata/Items/Currency/CurrencyGreaterEssenceFire",115,204,300,16,1,1,1,70,2
17,"Metadata/Items/Currency/CurrencyGreaterEssenceCold",116,204,480,17,1,1,1,70,2
18,"Metadata/Items/Currency/CurrencyGreaterEssenceLightning",117,204,660,18,1,1,1,70,2
19,"Metadata/Items/Currency/CurrencyGreaterEssenceChaos",118,204,840,19,1,1,1,70,2
20,"Metadata/Items/Currency/CurrencyGreaterEssenceAttack",119,738,570,20,1,1,1,70,2
21,"Metadata/Items/Currency/CurrencyGreaterEssenceCaster",120,738,210,21,1,1,1,70,2
22,"Metadata/Items/Currency/CurrencyGreaterEssenceSpeed",121,738,300,22,1,1,1,70,2
23,"Metadata/Items/Currency/CurrencyGreaterEssenceAttribute",122,738,660,23,1,1,1,70,2
24,"CraftingSlot","",399,90,24,2,4,1,70,0
25,"Generic1","",394,480,26,1,1,1,70,1
26,"Generic2","",394,390,27,1,1,1,70,1
27,"Generic3","",474,390,28,1,1,1,70,1
28,"Generic4","",474,480,29,1,1,1,70,1
29,"Metadata/Items/Currency/CurrencyCorruptedEssenceHysteria",139,394,660,30,1,1,1,70,3
30,"Metadata/Items/Currency/CurrencyCorruptedEssenceDelirium",140,394,750,31,1,1,1,70,3
31,"Metadata/Items/Currency/CurrencyCorruptedEssenceHorror",141,474,660,32,1,1,1,70,3
32,"Metadata/Items/Currency/CurrencyCorruptedEssenceInsanity",142,474,750,33,1,1,1,70,3
33,"Metadata/Items/Currency/CurrencyLesserEssenceLife",87,44,30,34,1,1,1,70,0
34,"Metadata/Items/Currency/CurrencyLesserEssenceMana",88,44,120,35,1,1,1,70,0
35,"Metadata/Items/Currency/CurrencyLesserEssenceDefences",89,44,210,36,1,1,1,70,0
36,"Metadata/Items/Currency/CurrencyLesserEssencePhysical",90,578,120,37,1,1,1,70,0
37,"Metadata/Items/Currency/CurrencyLesserEssenceFire",91,44,300,38,1,1,1,70,0
38,"Metadata/Items/Currency/CurrencyLesserEssenceCold",92,44,480,39,1,1,1,70,0
39,"Metadata/Items/Currency/CurrencyLesserEssenceLightning",93,44,660,40,1,1,1,70,0
