"rownum","PlayerLevel","MonsterLevel","i32_8","i32_12","i32_16","i32_20","i32_24","i32_28"
0,1,1,15,9,24,26,100,100
1,2,2,20,10,30,31,100,100
2,3,3,24,11,36,36,101,101
3,4,4,28,13,43,41,101,101
4,5,5,33,14,49,46,102,102
5,6,6,38,15,56,51,102,102
6,7,7,45,16,63,57,103,103
7,8,8,50,18,70,62,103,103
8,9,9,58,19,77,68,104,104
9,10,10,67,20,84,75,104,104
10,11,11,78,22,91,81,105,105
11,12,12,89,23,98,88,105,105
12,13,13,103,25,105,95,106,106
13,14,14,118,27,113,102,106,106
14,15,15,134,28,120,109,107,107
15,16,16,158,30,128,117,107,107
16,17,17,178,32,136,125,108,108
17,18,18,200,34,144,134,108,108
18,19,19,224,35,152,142,109,109
19,20,20,249,37,160,151,109,109
20,21,21,276,39,168,161,110,110
21,22,22,305,41,176,170,110,110
22,23,23,335,43,185,180,111,111
23,24,24,366,46,193,191,111,111
24,25,25,400,48,202,202,112,112
25,26,26,434,50,211,213,112,112
26,27,27,472,52,220,224,113,113
27,28,28,510,55,229,236,113,113
28,29,29,551,57,238,248,114,114
29,30,30,593,60,247,261,114,114
30,31,31,637,63,257,274,115,115
31,32,32,683,65,266,288,115,115
32,33,33,731,68,276,302,116,116
33,34,34,790,71,286,317,116,116
34,35,35,853,74,296,332,117,117
35,36,36,921,77,306,348,117,117
36,37,37,995,80,316,364,118,118
37,38,38,1074,83,326,380,118,118
38,39,39,1160,87,337,398,119,119
39,40,40,1253,90,347,416,119,119
40,41,41,1353,94,358,434,120,120
41,42,42,1462,97,369,453,120,120
42,43,43,1578,101,380,473,121,121
43,44,44,1705,105,391,493,121,121
44,45,45,1841,108,403,514,122,122
45,46,46,1967,112,414,536,122,122
46,47,47,2101,117,426,558,123,123
47,48,48,2244,121,438,581,123,123
48,49,49,2395,125,449,605,124,124
49,50,50,2556,130,462,629,124,124
50,51,51,2726,134,474,655,125,125
51,52,52,2909,139,486,681,125,125
52,53,53,3102,144,499,708,126,126
53,54,54,3307,149,511,736,126,126
54,55,55,3525,154,524,765,127,127
55,56,56,3756,159,537,794,127,127
56,57,57,4002,164,551,825,128,128
57,58,58,4264,170,564,856,128,128
58,59,59,4540,175,578,889,129,129
59,60,60,4834,181,591,923,129,129
60,61,61,5147,187,605,957,130,130
61,62,62,5478,193,619,993,130,130
62,63,63,5829,199,634,1030,131,131
63,64,64,6203,206,648,1068,131,131
64,65,65,6513,212,663,1107,132,132
65,66,66,6904,219,677,1147,132,132
66,67,67,7318,226,692,1189,133,133
67,68,68,7757,233,708,1232,133,133
68,69,69,8222,240,723,1276,134,134
69,70,70,8716,248,738,1321,134,134
70,71,70,8716,248,738,1321,135,135
71,72,71,9239,256,754,1368,135,135
72,73,71,9239,256,754,1368,136,136
73,74,72,9793,263,770,1416,136,136
74,75,72,9793,263,770,1416,137,137
75,76,73,10381,271,786,1466,137,137
76,77,73,10381,271,786,1466,138,138
77,78,74,11003,280,803,1517,138,138
78,79,74,11003,280,803,1517,139,139
79,80,75,11664,288,819,1570,139,139
80,81,75,11664,288,819,1570,140,140
81,82,76,12363,297,836,1625,140,140
82,83,76,12363,297,836,1625,141,141
83,84,77,13105,306,853,1681,141,141
84,85,77,13105,306,853,1681,142,142
85,86,78,13892,315,870,1738,142,142
86,87,78,13892,315,870,1738,143,143
87,88,79,14725,324,887,1798,143,143
88,89,79,14725,324,887,1798,144,144
89,90,80,15609,334,905,1859,144,144
90,91,80,15609,334,905,1859,145,145
91,92,81,16545,344,923,1922,145,145
92,93,81,16545,344,923,1922,146,146
93,94,82,17538,354,941,1987,146,146
94,95,82,17538,354,941,1987,147,147
95,96,83,18590,364,959,2054,147,147
96,97,83,18590,364,959,2054,147,147
97,98,83,18590,364,959,2054,147,147
98,99,83,18590,364,959,2054,147,147
99,100,83,18590,364,959,2054,147,147
