"rownum","string_0","rid_8","rid_24","rid_40","rid_56","[i32]_72","string_88","rid_96"
0,"MTXBlackStarRing",6838,"",15365,"","[0,5505101,4587608,6619241,7929970,6619212,6619254,5570668,112,5046272,5767252,6619204,6815859,6619250,7536756,7077954,7536741,6881395,6750318,6619212,6619254,5570668,112,5046272,5767252,6357078,7012460,7471225,6619241,6881367,6750318,4980851,7733349,7077989,7340117,0,5505101,4587608,7929964,7209065,5242983,7471201,6553697,5505125]","",1
1,"MTXFieryLevelUp",6799,"",15269,"","[0,5505101,4587608,6619241,7929970,6619212,6619254,5570668,112,5046272,5767252,6619204,6815859,6619250,7536756,7077954,7536741,6881395,6750318,6619212,6619254,5570668,112,5046272,5767252,6357078,7012460,7471225,6619241,6881367,6750318,4980851,7733349,7077989,7340117,0,5505101,4587608,7929964,7209065,5242983,7471201,6553697,5505125]","",""
2,"MTXDeshretsBlessingLevelUp","",865,19964,"","[0,5505101,4587608,6619241,7929970,6619212,6619254,5570668,112,5046272,5767252,6619204,6815859,6619250,7536756,7077954,7536741,6881395,6750318,6619212,6619254,5570668,112,5046272,5767252,6357078,7012460,7471225,6619241,6881367,6750318,4980851,7733349,7077989,7340117,0,5505101,4587608,7929964,7209065,5242983,7471201,6553697,5505125]","",""
3,"MTXValkyrieWingsLevelUp","",952,21361,"","[0,5505101,4587608,6619241,7929970,6619212,6619254,5570668,112,5046272,5767252,6619204,6815859,6619250,7536756,7077954,7536741,6881395,6750318,6619212,6619254,5570668,112,5046272,5767252,6357078,7012460,7471225,6619241,6881367,6750318,4980851,7733349,7077989,7340117,0,5505101,4587608,7929964,7209065,5242983,7471201,6553697,5505125]","",1
4,"MTXFlyingParadeTwilightLevelUp","","",21753,"","[6619204,6357100,2621561,3211296,3145774,2097196,2097275,7274564,6357074,6553710,7143535,852008,589834,589833,852091,589834,589833,7077897,6488175,7077985,7340064,7471201,6553697,2097253,2097213,7077968,7929953,6684741,6619238,7602275,2097192,5046311,7602277,6553697,7602273,3080289,6684741,6619238,7602275,3080307,6881357,7471203,7602287,6357106]","",""
5,"MTXBloodyLevelUp",9759,"",23371,"","[6553665,4522084,6684774,6488165,5242996,6488161,2621547,2555936,6881357,7471203,7602287,6357106,7536750,6488161,6881396,7209071,7077954,7274607,7929956,6619212,6619254,7667820,2556016,2687008,59,5046272,5767252,6881351,6553708,6553701,6619212,6619254,5570668,112,4456448,7077989,7929953,2097192,3014704,2883641,8060960,852000,589834,589833]","",""
6,"MTXGildedLevelUp",9760,"",23372,"","[6619204,6357100,2621561,3145760,3735598,2097196,2097275,655373,589833,589833,6553665,4522084,6684774,6488165,5242996,6488161,2621547,2555936,6881357,7471203,7602287,6357106,7536750,6488161,6881396,7209071,6881351,6553708,6553701,6619212,6619254,5570668,2556016,2687008,852027,589834,589833,2097277,3866665,0,5505101,4391000,7929970,7602291]","",""
7,"MTXCrystalLevelUp",9761,"",23373,"","[6619204,6357100,2621561,3145760,3473454,2097196,2097275,655373,589833,589833,6619218,7274605,6619254,6684741,6619238,7602275,6357072,7012451,2097192,5046311,7602277,6553697,7602273,3080289,6684741,6619238,7602275,3080307,6881357,7471203,7602287,6357106,7536750,6488161,6881396,7209071,3080307,6815843,7471201,7077983,7733349,7077989,7667807,3080304]","",""
8,"MTXMagicNatureLevelUp","","",24213,"","[7077968,7929953,6684741,6619238,7602275,2097192,5046311,7602277,6553697,7602273,3080289,6684741,6619238,7602275,3080307,6881357,7471203,7602287,6357106,7536750,6488161,6881396,7209071,3080307,6815843,7471201,7077983,7733349,7077989,7667807,3080304,6357069,6881383,5111907,7602273,7471221,3080293,6357101,6881383,7209059,7602273,7471221,6226021,7733356]","",""
9,"MTXVerminSwarmLevelUp","",1202,24359,"","[0,5505101,4587608,6619241,7929970,6619212,6619254,5570668,112,5046272,5767252,6619204,6815859,6619250,7536756,7077954,7536741,6881395,6750318,6619212,6619254,5570668,112,5046272,5767252,6357078,7012460,7471225,6619241,6881367,6750318,4980851,7733349,7077989,7340117,0,5505101,4587608,7929964,7209065,5242983,7471201,6553697,5505125]","",""
10,"MTXTimeFreezeLevelUp",10103,1203,24379,"","[0,5505101,4587608,6619241,7929970,6619212,6619254,5570668,112,5046272,5767252,6619204,6815859,6619250,7536756,7077954,7536741,6881395,6750318,6619212,6619254,5570668,112,5046272,5767252,6357078,7012460,7471225,6619241,6881367,6750318,4980851,7733349,7077989,7340117,0,5505101,4587608,7929964,7209065,5242983,7471201,6553697,5505125]","",""
11,"MTXPhoenixRebirthLevelUp","",1210,24463,"","[6619204,6357108,6815843,7077953,5177452,5505126,7340153,2621541,2555936,6619213,6357108,6357092,6357108,4522031,6684774,6488165,7536756,5046319,6488169,7274610,7471220,7209057,6357107,7602275,7274601,7536750,6488111,6357096,6226034,6619244,6619254,6226028,7340149,5242927,7274600,7209061,7864425,5242927,7274600,7209061,7864425,6881367,6750318,3014771]","",1
12,"MTXGhostLevelUp",10139,1220,24521,"","[0,5505101,4587608,6619241,7929970,6619212,6619254,5570668,112,5046272,5767252,6619204,6815859,6619250,7536756,7077954,7536741,6881395,6750318,6619212,6619254,5570668,112,5046272,5767252,6357078,7012460,7471225,6619241,6881367,6750318,4980851,7733349,7077989,7340117,0,5505101,4587608,7929964,7209065,5242983,7471201,6553697,5505125]","",1
13,"MTXOracleDruidLevelUp","",1234,24626,"","[7077968,7929953,6684741,6619238,7602275,2097192,5046311,7602277,6553697,7602273,3080289,6684741,6619238,7602275,3080307,6881357,7471203,7602287,6357106,7536750,6488161,6881396,7209071,3080307,6815843,7471201,7077983,7733349,7077989,7667807,3080304,7471183,6488161,6619244,7471172,6881397,3080292,7274593,7274543,6357106,7077987,6226021,7471204,6881397]","",1
14,"MTXBloodHowlLevelUp","","",24627,"","[7077968,7929953,6684741,6619238,7602275,2097192,5046311,7602277,6553697,7602273,3080289,6684741,6619238,7602275,3080307,6881357,7471203,7602287,6357106,7536750,6488161,6881396,7209071,3080307,6815843,7471201,7077983,7733349,7077989,7667807,3080304,7077986,7274607,6226020,7274600,7078007,6422575,7274604,6553711,6815839,7798895,6226028,7733356,7667820]","",1
