"rownum","Id","InventoryIdKey","InventoryTypeKey","bool_16","bool_17","i32_18","bool_22","i32_23","rid_27","EffectPack"
0,"MainInventory1",0,12,"","",5,"",31,"",[]
1,"BodyArmour1",1,2,1,1,3,"",6,"",[]
2,"Weapon1",2,2,1,1,4,"",0,"",[]
3,"Offhand1",3,2,1,1,4,"",1,"",[]
4,"Helm1",4,2,1,1,2,"",8,"",[]
5,"Amulet1",5,1,1,1,1,"",17,"",[]
6,"Ring1",6,1,1,1,1,"",14,"",[]
7,"Ring2",6,1,1,1,1,"",15,"",[]
8,"Gloves1",7,2,1,1,2,"",9,"",[]
9,"Boots1",8,2,1,1,2,"",10,"",[]
10,"Belt1",9,2,1,1,1,"",16,"",[]
11,"Flask1",10,5,"",1,2,"",31,"",[]
12,"Cursor1",11,4,1,"",4,"",31,"",[]
13,"Map1",12,2,"","",2,"",31,"",[]
14,"Weapon2",2,2,1,1,4,"",2,"",[]
15,"Offhand2",3,2,1,1,4,"",3,"",[]
16,"Expedition2Crafting",15,2,1,"",4,"",31,"",[]
17,"StrDexMasterCrafting",15,2,1,"",4,"",31,"",[]
18,"DexMasterCrafting",15,2,1,"",4,"",31,"",[]
19,"DexIntMasterCrafting",15,2,1,"",4,"",31,"",[]
20,"IntMasterCrafting",15,2,1,"",4,"",31,"",[]
21,"VerisiumCraftingInput",15,2,1,"",4,"",31,"",[]
22,"VerisiumCraftingOutput",15,2,1,"",4,"",31,"",[]
23,"PassiveJewels1",13,57,"","",1,"",31,"",[]
24,"AnimatedArmour1",14,10,"","",4,"",31,"",[]
25,"GuildTag1",12,6,"","",1,"",31,"",[]
26,"StashInventoryId",17,1,"","",1,"",31,"",[]
27,"DivinationCardTrade",15,4,1,"",8,"",31,"",[]
28,"Darkshrine",15,2,1,"",4,"",31,"",[]
29,"TalismanTrade",15,5,"","",1,"",31,"",[]
30,"Leaguestone1",16,3,"","",1,"",31,"",[]
31,"BestiaryCrafting",15,2,1,"",4,"",31,"",[]
32,"IncursionSacrifice",15,2,"","",5,"",31,"",[]
33,"Unveiling1",15,2,1,"",4,"",31,"",[]
34,"ItemSynthesisInput",15,6,"","",4,"",31,"",[]
35,"ItemSynthesisOutput",15,2,1,"",4,"",31,"",[]
36,"BlightCraftingInput",15,4,"","",1,"",31,"",[]
37,"BlightCraftingItem",15,2,1,"",4,"",31,"",[]
38,"DONOTUSE5",15,5,"","",1,"",31,"",[]
39,"AtlasUpgrades1",28,4,"","",1,1,31,"",[]
40,"AtlasUpgradesStorage",28,4,"","",1,1,31,"",[]
41,"ExpeditionMapMission",15,1,1,"",1,"",31,"",[]
42,"ExpeditionDeal1",15,2,1,"",4,"",31,"",[]
43,"HarvestCraftingItem",15,2,1,"",4,"",31,"",[]
44,"HeistContractMission",15,1,1,"",1,"",31,"",[]
45,"HeistNpcEquipment1",34,7,"","",2,1,31,"",[]
46,"HeistNpcEquipment2",34,7,"","",2,1,31,"",[]
47,"HeistNpcEquipment3",34,7,"","",2,1,31,"",[]
48,"HeistNpcEquipment4",34,7,"","",2,1,31,"",[]
49,"HeistNpcEquipment5",34,7,"","",2,1,31,"",[]
50,"HeistNpcEquipment6",34,7,"","",2,1,31,"",[]
51,"HeistNpcEquipment7",34,7,"","",2,1,31,"",[]
52,"HeistNpcEquipment8",34,7,"","",2,1,31,"",[]
53,"HeistNpcEquipment9",34,7,"","",2,1,31,"",[]
54,"Trinket1",35,1,1,1,1,"",31,"",[]
55,"HeistBlueprintMission",15,1,1,"",1,"",31,"",[]
56,"HeistStorage1",36,107,"","",12,1,31,"",[]
57,"RitualSavedRewards1",37,100,"","",4,"",31,"",[]
58,"DONOTUSE1",12,3,"","",2,1,31,"",[]
59,"DONOTUSE2",12,3,"","",2,1,31,"",[]
60,"DONOTUSE3",12,3,"","",2,1,31,"",[]
