"rownum","BaseItemType","StackSize","CurrencyUseType","Action","Directions","Directions (French)","Directions (German)","Directions (Japanese)","Directions (Korean)","Directions (Portuguese)","Directions (Russian)","Directions (Spanish)","Directions (Thai)","Directions (Traditional Chinese)","FullStack_BaseItemType","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","Usage_AchievementItems","Scroll","Possession_AchievementItem","[rid]_97","[i32]_113","CurrencyTab_StackSize","XBoxDirections","XBoxDirections (French)","XBoxDirections (German)","XBoxDirections (Japanese)","XBoxDirections (Korean)","XBoxDirections (Portuguese)","XBoxDirections (Russian)","XBoxDirections (Spanish)","XBoxDirections (Thai)","XBoxDirections (Traditional Chinese)","i32_141","ModifyMapsAchievements","ModifyContractsAchievements","CombineAchievements","ChangedForHardmode","DescriptionHardmode","DescriptionHardmode (French)","DescriptionHardmode (German)","DescriptionHardmode (Japanese)","DescriptionHardmode (Korean)","DescriptionHardmode (Portuguese)","DescriptionHardmode (Russian)","DescriptionHardmode (Spanish)","DescriptionHardmode (Thai)","DescriptionHardmode (Traditional Chinese)","IsGold","bool_203","bool_204","i32_205"
0,6,20,2,"add_armour_quality","Right click this item then left click an armour to apply it.","Effectuez un clic droit sur cet objet, puis appliquez-le avec un clic gauche sur une pièce d'armure.","Rechtsklicke auf diesen Gegenstand und linksklicke dann zum Anwenden auf eine Rüstung.","このアイテムを右クリックした後、防具を左クリックして使用する。","해당 아이템을 우클릭한 뒤, 방어구를 좌클릭해 적용할 수 있습니다.","Clique com o botão direito neste item, depois com o esquerdo em uma armadura para aplicar.","Щелкните правой кнопкой мыши по этому предмету и затем левой по доспехам, чтобы использовать.","Haz clic derecho en este objeto y luego clic izquierdo en una armadura para aplicarlo.","คลิกขวาที่ไอเทมชิ้นนี้ จากนั้นคลิกซ้ายที่ เกราะ เพื่อใช้งาน","右鍵點擊此物品，再左鍵點擊一件護甲來使用。","","Improves the [Quality|quality] of an armour","Améliore la [Quality|Qualité] d'une pièce d'armure","Verbessert die [Quality|Qualität] einer Rüstung.","防具の[Quality|品質]を向上させる。","방어구 [Quality|퀄리티] 향상","Melhora a [Quality|qualidade] de uma armadura","Повышает [Quality|качество] доспехов","Mejora la [Quality|calidad] de una armadura","เพิ่ม[Quality|ค่าคุณภาพ]ของ เกราะ","提升護甲的[Quality|品質]",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on an armour to apply it.","<<xbox_button_x>> pour la sélectionner, puis <<xbox_button_a>> sur une armure pour l'appliquer.","<<xbox_button_x>> zum Auswählen und <<xbox_button_a>> zum Anwenden auf eine Rüstung.","<<xbox_button_x>>で使用し、防具上で<<xbox_button_a>>で適用する。","<<xbox_button_x>>로 사용한 뒤, 방어구에 <<xbox_button_a>>를 눌러 적용할 수 있습니다.","Pressione <<xbox_button_x>> para usar, depois <<xbox_button_a>> em uma armadura para aplicar.","<<xbox_button_x>> чтобы выбрать, затем <<xbox_button_a>> на доспехах, чтобы использовать.","Presiona <<xbox_button_x>> para usarlo y luego <<xbox_button_a>> sobre una armadura para aplicarlo.","<<xbox_button_x>> เพื่อนำไปใช้ จากนั้น <<xbox_button_a>> ที่ เกราะ เพื่อใช้งาน","按下 <<xbox_button_x>> 使用，再對一件護甲按下 <<xbox_button_a>> 套用。",100,[],[],[],"","","","","","","","","","","","","","",4839
1,1,20,2,"add_magic_item_quality","Right click this item then left click a wand, staff or sceptre to apply it.","Effectuez un clic droit sur cet objet, puis appliquez-le avec un clic gauche sur une baguette, un bâton ou un sceptre.","Rechtsklicke auf diesen Gegenstand und linksklicke dann zum Anwenden auf einen Zauberstab, Stab oder Zepter.","このアイテムを右クリックした後、ワンド、スタッフまたはセプターを左クリックして使用する。","해당 아이템을 우클릭한 뒤, 마법봉이나 지팡이, 셉터를 좌클릭해 적용할 수 있습니다.","Clique com o botão direito neste item, depois com o esquerdo em um cajado, cetro ou varinha para aplicar.","Щёлкните правой кнопкой мыши по этому предмету и затем левой по жезлу, посоху или скипетру, чтобы использовать.","Haz clic derecho en este objeto y luego clic izquierdo en una varita, báculo o cetro para aplicarlo.","คลิกขวาที่ไอเทมชิ้นนี้ จากนั้นคลิกซ้ายที่ ไม้กายสิทธิ์, ไม้พลอง หรือ คทา เพื่อใช้งาน","右鍵點擊此物品，再左鍵點擊一個法杖、長杖或權杖來套用。","","Improves the [Quality|quality] of a wand, staff or sceptre","Améliore la [Quality|Qualité] d'une baguette, d'un bâton ou d'un sceptre","Verbessert die [Quality|Qualität] eines Zauberstabs, Stabs oder Zepters.","ワンド、スタッフまたはセプターの[Quality|品質]を向上させる。","마법봉이나 지팡이, 셉터의 [Quality|퀄리티] 향상","Melhora a [Quality|qualidade] de um cajado, cetro ou varinha","Повышает [Quality|качество] жезла, посоха или скипетра","Mejora la [Quality|calidad] de una varita, un báculo o un cetro","เพิ่ม[Quality|ค่าคุณภาพ]ของ ไม้กายสิทธิ์, ไม้พลอง หรือ คทา","提升法杖、長杖或權杖的[Quality|品質]",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a wand, staff or sceptre to apply it.","<<xbox_button_x>> pour la sélectionner, puis <<xbox_button_a>> sur une baguette, un bâton ou un sceptre pour l'appliquer.","<<xbox_button_x>> zum Auswählen und <<xbox_button_a>> zum Anwenden auf einen Zauberstab, Stab oder Zepter.","<<xbox_button_x>>で使用し、ワンド、スタッフまたはセプター上で<<xbox_button_a>>で適用する。","<<xbox_button_x>>로 사용한 뒤, 마법봉이나 지팡이, 셉터에 <<xbox_button_a>>를 눌러 적용할 수 있습니다.","Pressione <<xbox_button_x>> para usar, depois <<xbox_button_a>> em um cajado, cetro ou varinha para aplicar.","<<xbox_button_x>> чтобы выбрать, затем <<xbox_button_a>> на жезле, посохе или скипетре, чтобы использовать.","Presiona <<xbox_button_x>> para usarlo y luego <<xbox_button_a>> en una varita, báculo o cetro para aplicarlo.","<<xbox_button_x>> เพื่อนำไปใช้ แล้ว <<xbox_button_a>> ที่ ไม้กายสิทธิ์, ไม้พลอง หรือ คทา เพื่อใช้งาน","按下 <<xbox_button_x>> 使用，再對一把法杖、長杖或權杖按下 <<xbox_button_a>> 套用。",100,[],[],[],"","","","","","","","","","","","","","",4839
2,7,10,2,"duplicate","Right click this item then left click an equipable non-unique item to apply it. Mirrored copies cannot be modified.","Effectuez un clic droit sur cet objet, puis appliquez-le avec un clic gauche sur un objet non unique pouvant être équipé. Les copies reflétées ne peuvent pas être modifiées.","Rechtsklicke auf diesen Gegenstand und linksklicke dann zum Anwenden auf einen ausrüstbaren, nicht einzigartigen Gegenstand. Gespiegelte Kopien können nicht verändert werden.","このアイテムを右クリックした後、装備可能なユニーク以外のアイテムを左クリックして使用する。ミラー化コピーは変化させることはできない。","해당 아이템을 우클릭한 뒤, 장착할 수 있는 비-고유 아이템을 좌클릭해 적용할 수 있습니다. 복제된 아이템은 속성 부여를 개조할 수 없습니다.","Clique com o botão direito neste item, depois com o esquerdo em um item equipável não único para aplicar. Cópias espelhadas não podem ser modificadas.","Щёлкните правой кнопкой мыши по этому объекту и затем левой по неуникальному надеваемому предмету, чтобы создать его зеркальную копию. Зеркальные копии не могут быть модифицированы.","Haz clic derecho en este objeto y luego clic izquierdo en un objeto equipable no único para aplicarlo. Las copias Reflejadas no se pueden modificar.","คลิกขวาที่ไอเทมชิ้นนี้ จากนั้นคลิกซ้ายที่ ไอเทมสวมใส่ที่ไม่ใช่ ไอเทมยูนิค เพื่อใช้งาน สำเนาไอเทมที่ถูกสะท้อนจะไม่สามารถเปลี่ยนแปลงได้อีก","右鍵點擊此物品，再左鍵點擊一件非傳奇的物品來使用，使用後將產生一件複製品。請注意，複製出來的物品無法再使用通貨改變其屬性。","","Creates a [Mirrored] copy of an item","Crée une copie [Mirrored|Reflétée] d'un objet","Erschafft die [Mirrored|gespiegelte] Kopie eines Gegenstands.","アイテムの[Mirrored|ミラー]化コピーを生成する。","아이템과 똑같은 [Mirrored|복제본] 생성","Cria uma cópia [Mirrored|espelhada] de um item","Создаёт [Mirrored|зеркальную] копию предмета","Crea una copia [Mirrored|reflejada] de un objeto","สร้างสำเนาไอเทมที่[Mirrored|ถูกสะท้อน]ของไอเทม","[Mirrored|複製]一件指定物品",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on an equipable non-unique item to apply it. Mirrored copies cannot be modified.","<<xbox_button_x>> pour le sélectionner, puis <<xbox_button_a>> sur un objet non unique équipable. Les copies reflétées ne peuvent pas être modifiées.","<<xbox_button_x>> zum Auswählen und <<xbox_button_a>> zum Anwenden auf einen ausrüstbaren, nicht einzigartigen Gegenstand. Gespiegelte Kopien können nicht verändert werden.","<<xbox_button_x>>で使用し、装備可能なユニーク以外のアイテム上で<<xbox_button_a>>で適用する。ミラー化コピーは変化させることはできない。","<<xbox_button_x>>로 사용한 뒤, 비-고유 아이템에 <<xbox_button_a>>를 눌러 적용할 수 있습니다. 복제된 아이템은 속성을 개조할 수 없습니다.","Pressione <<xbox_button_x>> para usar, depois <<xbox_button_a>> em um item equipável não único para aplicar. Cópias espelhadas não podem ser modificadas.","<<xbox_button_x>> чтобы выбрать, затем <<xbox_button_a>> на неуникальном надеваемом предмете, чтобы использовать. Зеркальные копии нельзя модифицировать.","Presiona <<xbox_button_x>> para usarlo y luego <<xbox_button_a>> sobre un objeto equipable no único para aplicarlo. Las copias reflejadas no se pueden modificar.","<<xbox_button_x>> เพื่อนำไปใช้ จากนั้น <<xbox_button_a>> ที่ ไอเทมสวมใส่ที่ไม่ใช่ ไอเทมยูนิค เพื่อใช้งาน สำเนาไอเทมที่ถูกสะท้อนจะไม่สามารถเปลี่ยนแปลงได้อีก","按下 <<xbox_button_x>> 使用，再對一件可裝備的非傳奇物品按下 <<xbox_button_a>> 套用。複製出來的物品無法改變屬性。",100,[],[],[],"","","","","","","","","","","","","","",4839
3,8,10,2,"hinekoras_lock","Right click this item then left click an item to apply it.","Effectuez un clic droit sur cet objet, puis appliquez-le avec un clic gauche sur un objet.","Rechtsklicke auf diesen Gegenstand und linksklicke dann zum Anwenden auf einen Gegenstand.","このアイテムを右クリックした後、アイテムを左クリックして使用する。","해당 아이템을 우클릭한 뒤, 아이템에 좌클릭해 적용할 수 있습니다.","Clique com o botão direito neste item, depois com o esquerdo em um item para aplicar.","Щёлкните правой кнопкой мыши по этому объекту, а затем левой по предмету, чтобы использовать.","Haz clic derecho en este objeto y luego clic izquierdo en un objeto para aplicarlo.","คลิกขวาที่ไอเทมชิ้นนี้ จากนั้นคลิกซ้ายที่ไอเทมชิ้นหนึ่งเพื่อใช้งาน","右鍵點擊此物品，再左鍵點擊一件物品來使用。","","Allows an item to foresee the result of the next Currency item used on it\nModifying the item in any way removes the ability to foresee","Permet de prévoir le résultat du prochain Objet monétaire utilisé sur un objet\nModifier l'objet de n'importe quelle manière annule la capacité de prévoir","Erlaubt einem Gegenstand, das Ergebnis des nächsten angewendeten Währungsgegenstandes vorherzusehen\nDen Gegenstand in jeglicher Weise zu modifizieren entfernt die Fähigkeit, vorherzusehen.","このアイテムに次回使用するカレンシーの結果を予見できるようにする\nいずれかの方法でアイテムを変更すると予見の能力は取り除かれる","사용 시 해당 아이템에 다음에 사용할 화폐 아이템의 결과를 예측할 수 있습니다.\n어떤 방식으로든 해당 아이템에 속성을 부여하면 예측 능력이 제거됩니다.","Permite que um item antecipe o resultado da próxima moeda aplicada\nModificar o item de qualquer forma remove essa habilidade","Позволяет предвидеть результат следующего использования валюты на предмете\nЛюбое изменение предмета убирает возможность предвидения","Permite que un objeto anticipe el resultado del próximo objeto monetario que se va a usar sobre él\nSi modificas el objeto de alguna forma, se pierde la capacidad de anticipación","ช่วยให้ไอเทมชิ้นหนึ่งได้หยั่งรู้ผลลัพธ์ของการใช้ ไอเทมเงินตรา ชิ้นถัดไปต่อไอเทมชิ้นนี้\nการเปลี่ยนแปลงไอเทมชิ้นนี้จะกำจัดความสามารถในการหยั่งรู้ออกไป","使一件物品可預覽下一次使用通貨的結果\n以任何方式改變物品會移除預覽效果",[],"","",[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on an item to apply it.","<<xbox_button_x>> pour le sélectionner, puis <<xbox_button_a>> sur un objet pour l'appliquer.","<<xbox_button_a>> zum Auswählen und <<xbox_button_a>> zum Anwenden auf einen Gegenstand.","<<xbox_button_a>>で使用し、アイテム上で<<xbox_button_a>>で適用する。","<<xbox_button_a>>로 선택한 뒤, 아이템에 대고 <<xbox_button_a>>>를 눌러 적용할 수 있습니다.","Pressione <<xbox_button_a>> para selecionar, depois <<xbox_button_a>> em um item para aplicar.","<<xbox_button_a>> чтобы выбрать, затем <<xbox_button_a>> на предмете, чтобы использовать.","Presiona <<xbox_button_a>> para seleccionar y luego <<xbox_button_a>> sobre un objeto para aplicarlo.","<<xbox_button_a>> เพื่อเลือก จากนั้น <<xbox_button_a>> ที่ไอเทมชิ้นหนึ่งเพื่อใช้งาน","<<xbox_button_a>> 選擇，接著對一件物品 <<xbox_button_a>> 來使用。",100,[],[],[],"","","","","","","","","","","","","","",4839
4,2,40,2,"identify","Right click this item then left click an unidentified item to apply it.","Effectuez un clic droit sur cet objet, puis appliquez-le avec un clic gauche sur un objet non identifié.","Rechtsklicke auf diesen Gegenstand und linksklicke dann zum Anwenden auf einen nicht identifizierten Gegenstand.","このアイテムを右クリックした後、未鑑定のアイテムを左クリックして使用する。","해당 아이템을 우클릭한 뒤, 미확인 아이템에 좌클릭해 적용할 수 있습니다.","Clique com o botão direito neste item, depois com o esquerdo em um item não identificado para aplicar.","Щёлкните правой кнопкой мыши по этому объекту и затем левой по неопознанному предмету, чтобы опознать его.","Haz clic derecho en este objeto y luego clic izquierdo en un objeto sin identificar para aplicarlo.","คลิกขวาที่ไอเทมชิ้นนี้ จากนั้นคลิกซ้ายที่ ไอเทมที่ยังไม่ได้ตรวจสอบ เพื่อใช้งาน","右鍵點擊此物品，再左鍵點擊一件未鑑定的物品來使用。","","Identifies an item","Identifie un objet","Identifiziert einen Gegenstand.","アイテムを鑑定する。","미확인 아이템 식별","Identifica um item","Опознаёт предмет","Identifica un objeto","ตรวจสอบไอเทม","鑑定一件指定物品",[],1,"",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on an unidentified item to apply it.","<<xbox_button_x>> pour le sélectionner, puis <<xbox_button_a>> sur un objet non identifié pour l'appliquer.","<<xbox_button_x>> zum Auswählen und <<xbox_button_a>> zum Anwenden auf einen nicht identifizierten Gegenstand.","<<xbox_button_x>>で使用し、未鑑定のアイテム上で<<xbox_button_a>>で適用する。","<<xbox_button_x>>로 사용한 뒤, 미확인된 아이템에 <<xbox_button_a>>를 눌러 적용할 수 있습니다.","Pressione <<xbox_button_x>> para usar, depois <<xbox_button_a>> em um item não identificado para aplicar.","<<xbox_button_x>> чтобы выбрать, затем <<xbox_button_a>> на неопознанном предмете, чтобы использовать.","Presiona <<xbox_button_x>> para usarlo y luego <<xbox_button_a>> sobre un objeto sin identificar para aplicarlo.","<<xbox_button_x>> เพื่อนำไปใช้ จากนั้น <<xbox_button_a>> ที่ ไอเทมที่ยังไม่ได้ตรวจสอบ เพื่อใช้งาน","按下 <<xbox_button_x>> 使用，再對一件未鑑定物品按下 <<xbox_button_a>> 套用。",100,[],[],[],"","","","","","","","","","","","","","",4839
5,11,40,1,"skill_point_respec","Right click on this item to use it.","Effectuez un clic droit sur cet objet pour l'utiliser.","Rechtsklicke auf diesen Gegenstand, um ihn zu benutzen.","このアイテムを右クリックして使用する。","해당 아이템을 우클릭해 사용할 수 있습니다.","Clique com o botão direito neste item para utilizá-lo.","Щёлкните правой кнопкой мыши по предмету, чтобы использовать.","Haz clic derecho en este objeto para usarlo.","คลิกขวาที่ไอเทมชิ้นนี้เพื่อใช้งาน","右鍵點擊此物品以使用它。","","Grants a passive skill refund point","Octroie un point de remboursement de Talent passif","Gewährt einen Korrekturpunkt für passive Fertigkeiten.","パッシブ振り直しポイントを獲得。","패시브 스킬 반환 포인트 획득","Concede um ponto de restituição de habilidade passiva","Возвращает очко пассивного умения","Otorga un punto de reasignación de habilidades pasivas","ให้แต้มรับคืนพาสซีฟ 1 แต้ม","獲得一點天賦重置點數",[],"","",[17],[64],5000,"<<xbox_button_x>> to use.","<<xbox_button_x>> pour l'utiliser.","<<xbox_button_x>> zum Benutzen.","<<xbox_button_x>>で使用する。","<<xbox_button_x>>를 눌러 사용할 수 있습니다.","Pressione <<xbox_button_x>> para usar.","<<xbox_button_x>> чтобы использовать.","Presiona <<xbox_button_x>> para usarlo.","<<xbox_button_x>> เพื่อใช้งาน","按下 <<xbox_button_x>> 使用。",100,[],[],[],"","","","","","","","","","","","",1,"",4839
6,12,40,1,"atlas_skill_point_respec","Right click on this item to use it.","Effectuez un clic droit sur cet objet pour l'utiliser.","Rechtsklicke auf diesen Gegenstand, um ihn zu benutzen.","このアイテムを右クリックして使用する。","해당 아이템을 우클릭해 사용할 수 있습니다.","Clique com o botão direito neste item para utilizá-lo.","Щёлкните правой кнопкой мыши по предмету, чтобы использовать.","Haz clic derecho en este objeto para usarlo.","คลิกขวาที่ไอเทมชิ้นนี้เพื่อใช้งาน","右鍵點擊此物品以使用它。","","Grants an atlas passive skill refund point","Octroie un point de remboursement de Talent passif de l'Atlas","Gewährt einen Korrekturpunkt für passive Atlas-Fertigkeiten.","アトラスパッシブ振り直しポイントを獲得。","아틀라스 패시브 스킬 반환 포인트가 지급됩니다.","Concede um ponto de restituição de habilidade passiva do Atlas","Возвращает очко пассивного умения Атласа","Otorga un punto de reintegro de habilidades pasivas del Atlas","ให้แต้มรับคืนพาสซีฟแอตลาส 1 แต้ม","獲得一點輿圖天賦重置點數",[],"","",[],[],5000,"<<xbox_button_x>> to use.","<<xbox_button_x>> pour l'utiliser.","<<xbox_button_x>> zum Benutzen.","<<xbox_button_x>>で使用する。","<<xbox_button_x>>를 눌러 사용할 수 있습니다.","Pressione <<xbox_button_x>> para usar.","<<xbox_button_x>> чтобы использовать.","Presiona <<xbox_button_x>> para usarlo.","<<xbox_button_x>> เพื่อใช้งาน","按下 <<xbox_button_x>> 使用。",100,[],[],[],"","","","","","","","","","","","",1,"",4839
7,3,20,2,"reroll","Right click this item then left click a rare item to apply it.","Effectuez un clic droit sur cet objet, puis appliquez-le avec un clic gauche sur un objet Rare.","Rechtsklicke auf diesen Gegenstand und linksklicke dann zum Anwenden auf einen seltenen Gegenstand.","このアイテムを右クリックした後、レアアイテムを左クリックして使用する。","해당 아이템을 우클릭한 뒤, 희귀 아이템을 좌클릭해 적용할 수 있습니다.","Clique com o botão direito neste item, depois com o esquerdo em um item raro para aplicar.","Щёлкните правой кнопкой мыши по этому объекту, а затем левой по редкому предмету, чтобы использовать.","Haz clic derecho en este objeto y luego clic izquierdo en un objeto raro para aplicarlo.","คลิกขวาที่ไอเทมชิ้นนี้ จากนั้นคลิกซ้ายที่ ไอเทมแรร์ เพื่อใช้งาน","右鍵點擊此物品，再左鍵點擊一件稀有物品來使用。","","Removes a random modifier and augments a [ItemRarity|Rare] item with a new random modifier","Retire un modificateur aléatoire à un objet [ItemRarity|Rare], puis lui en donne un nouveau.","Entfernt einen zufälligen Modifikator und ergänzt einen [ItemRarity|seltenen] Gegenstand um einen neuen zufälligen Modifikator.","[ItemRarity|レア]アイテムからランダムなモッドを1個取り除き、ランダムな新しいモッドを1個追加する。","[ItemRarity|희귀] 아이템에서 무작위 속성을 제거하고 새로운 무작위 속성으로 보강합니다.","Remove um modificador aleatório e aprimora um item [ItemRarity|raro] com um novo modificador aleatório","Удаляет случайное свойство и наделяет [ItemRarity|редкий] предмет новым случайным свойством","Elimina un modificador aleatorio y mejora un objeto [ItemRarity|raro] con un nuevo modificador aleatorio","ลบม็อดแบบสุ่ม 1 อย่าง แล้วเพิ่ม ม็อดแบบสุ่ม 1 อย่างให้กับ ไอเทม[ItemRarity|แรร์]","移除一條隨機詞綴，並為一件[ItemRarity|稀有]物品新增一項隨機詞綴",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a rare item to apply it.","<<xbox_button_x>> pour le sélectionner, puis <<xbox_button_a>> sur un objet rare pour l'appliquer.","<<xbox_button_x>> zum Auswählen und <<xbox_button_a>> zum Anwenden auf einen seltenen Gegenstand.","<<xbox_button_x>>で使用し、レアアイテム上で<<xbox_button_a>>で適用する。","<<xbox_button_x>>로 사용한 뒤, 희귀 아이템에 <<xbox_button_a>>를 눌러 적용할 수 있습니다.","Pressione <<xbox_button_x>> para usar, depois <<xbox_button_a>> em um item raro para aplicar.","<<xbox_button_x>> чтобы выбрать, затем <<xbox_button_a>> на редком предмете, чтобы использовать.","Presiona <<xbox_button_x>> para usarlo y luego <<xbox_button_a>> sobre un objeto raro para aplicarlo.","<<xbox_button_x>> เพื่อนำไปใช้ จากนั้น <<xbox_button_a>> ที่ ไอเทมแรร์ เพื่อใช้งาน","按下 <<xbox_button_x>> 使用，再對一件稀有物品按下 <<xbox_button_a>> 套用。",100,[],[],[],"","","","","","","","","","","","","","",4839
8,4,20,2,"reroll","Right click this item then left click a rare item to apply it.","Effectuez un clic droit sur cet objet, puis appliquez-le avec un clic gauche sur un objet Rare.","Rechtsklicke auf diesen Gegenstand und linksklicke dann zum Anwenden auf einen seltenen Gegenstand.","このアイテムを右クリックした後、レアアイテムを左クリックして使用する。","해당 아이템을 우클릭한 뒤, 희귀 아이템을 좌클릭해 적용할 수 있습니다.","Clique com o botão direito neste item, depois com o esquerdo em um item raro para aplicar.","Щёлкните правой кнопкой мыши по этому объекту, а затем левой по редкому предмету, чтобы использовать.","Haz clic derecho en este objeto y luego clic izquierdo en un objeto raro para aplicarlo.","คลิกขวาที่ไอเทมชิ้นนี้ จากนั้นคลิกซ้ายที่ ไอเทมแรร์ เพื่อใช้งาน","右鍵點擊此物品，再左鍵點擊一件稀有物品來使用。","","Removes a random modifier and augments a [ItemRarity|Rare] item with a new random modifier","Retire un modificateur aléatoire à un objet [ItemRarity|Rare], puis lui en donne un nouveau.","Entfernt einen zufälligen Modifikator und ergänzt einen [ItemRarity|seltenen] Gegenstand um einen neuen zufälligen Modifikator.","[ItemRarity|レア]アイテムからランダムなモッドを1個取り除き、ランダムな新しいモッドを1個追加する。","[ItemRarity|희귀] 아이템에서 무작위 속성을 제거하고 새로운 무작위 속성으로 보강합니다.","Remove um modificador aleatório e aprimora um item [ItemRarity|raro] com um novo modificador aleatório","Удаляет случайное свойство и наделяет [ItemRarity|редкий] предмет новым случайным свойством","Elimina un modificador aleatorio y mejora un objeto [ItemRarity|raro] con un nuevo modificador aleatorio","ลบม็อดแบบสุ่ม 1 อย่าง แล้วเพิ่ม ม็อดแบบสุ่ม 1 อย่างให้กับ ไอเทม[ItemRarity|แรร์]","移除一條隨機詞綴，並為一件[ItemRarity|稀有]物品新增一項隨機詞綴",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a rare item to apply it.","<<xbox_button_x>> pour le sélectionner, puis <<xbox_button_a>> sur un objet rare pour l'appliquer.","<<xbox_button_x>> zum Auswählen und <<xbox_button_a>> zum Anwenden auf einen seltenen Gegenstand.","<<xbox_button_x>>で使用し、レアアイテム上で<<xbox_button_a>>で適用する。","<<xbox_button_x>>로 사용한 뒤, 희귀 아이템에 <<xbox_button_a>>를 눌러 적용할 수 있습니다.","Pressione <<xbox_button_x>> para usar, depois <<xbox_button_a>> em um item raro para aplicar.","<<xbox_button_x>> чтобы выбрать, затем <<xbox_button_a>> на редком предмете, чтобы использовать.","Presiona <<xbox_button_x>> para usarlo y luego <<xbox_button_a>> sobre un objeto raro para aplicarlo.","<<xbox_button_x>> เพื่อนำไปใช้ จากนั้น <<xbox_button_a>> ที่ ไอเทมแรร์ เพื่อใช้งาน","按下 <<xbox_button_x>> 使用，再對一件稀有物品按下 <<xbox_button_a>> 使用。",100,[],[],[],"","","","","","","","","","","","","","",4839
9,5,20,2,"reroll","Right click this item then left click a rare item to apply it.","Effectuez un clic droit sur cet objet, puis appliquez-le avec un clic gauche sur un objet Rare.","Rechtsklicke auf diesen Gegenstand und linksklicke dann zum Anwenden auf einen seltenen Gegenstand.","このアイテムを右クリックした後、レアアイテムを左クリックして使用する。","해당 아이템을 우클릭한 뒤, 희귀 아이템을 좌클릭해 적용할 수 있습니다.","Clique com o botão direito neste item, depois com o esquerdo em um item raro para aplicar.","Щёлкните правой кнопкой мыши по этому объекту, а затем левой по редкому предмету, чтобы использовать.","Haz clic derecho en este objeto y luego clic izquierdo en un objeto raro para aplicarlo.","คลิกขวาที่ไอเทมชิ้นนี้ จากนั้นคลิกซ้ายที่ ไอเทมแรร์ เพื่อใช้งาน","右鍵點擊此物品，再左鍵點擊一件稀有物品來使用。","","Removes a random modifier and augments a [ItemRarity|Rare] item with a new random modifier","Retire un modificateur aléatoire à un objet [ItemRarity|Rare], puis lui en donne un nouveau.","Entfernt einen zufälligen Modifikator und ergänzt einen [ItemRarity|seltenen] Gegenstand um einen neuen zufälligen Modifikator.","[ItemRarity|レア]アイテムからランダムなモッドを1個取り除き、ランダムな新しいモッドを1個追加する。","[ItemRarity|희귀] 아이템에서 무작위 속성을 제거하고 새로운 무작위 속성으로 보강합니다.","Remove um modificador aleatório e aprimora um item [ItemRarity|raro] com um novo modificador aleatório","Удаляет случайное свойство и наделяет [ItemRarity|редкий] предмет новым случайным свойством","Elimina un modificador aleatorio y mejora un objeto [ItemRarity|raro] con un nuevo modificador aleatorio","ลบม็อดแบบสุ่ม 1 อย่าง แล้วเพิ่ม ม็อดแบบสุ่ม 1 อย่างให้กับ ไอเทม[ItemRarity|แรร์]","移除一條隨機詞綴，並為一件[ItemRarity|稀有]物品新增一項隨機詞綴",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a rare item to apply it.","<<xbox_button_x>> pour le sélectionner, puis <<xbox_button_a>> sur un objet rare pour l'appliquer.","<<xbox_button_x>> zum Auswählen und <<xbox_button_a>> zum Anwenden auf einen seltenen Gegenstand.","<<xbox_button_x>>で使用し、レアアイテム上で<<xbox_button_a>>で適用する。","<<xbox_button_x>>로 사용한 뒤, 희귀 아이템에 <<xbox_button_a>>를 눌러 적용할 수 있습니다.","Pressione <<xbox_button_x>> para usar, depois <<xbox_button_a>> em um item raro para aplicar.","<<xbox_button_x>> чтобы выбрать, затем <<xbox_button_a>> на редком предмете, чтобы использовать.","Presiona <<xbox_button_x>> para usarlo y luego <<xbox_button_a>> sobre un objeto raro para aplicarlo.","<<xbox_button_x>> เพื่อนำไปใช้ จากนั้น <<xbox_button_a>> ที่ ไอเทมแรร์ เพื่อใช้งาน","按下 <<xbox_button_x>> 使用，再對一件稀有物品按下 <<xbox_button_a>> 使用。",100,[],[],[],"","","","","","","","","","","","","","",4839
