"rownum","BaseItemType","StrengthRequirementPercent","DexterityRequirementPercent","IntelligenceRequirementPercent","VaalVariant_BaseItemType","IsVaalVariant","GlobalSkillLevelStat","GemType","bool_65","bool_66","AwakenedVariant","RegularVariant","GemColour","MinLevelReq","ItemExperienceType","CraftingTypes","MtxSlotTypes","bool_139","GemEffects","bool_156","TutorialVideo","UI_Image","i32_173","CraftingLevel","bool_181","i32_182","bool_186","SearchTerms","Tier","GroundEffect","[rid]_223","BaseSkillGem","bool_247","bool_248","bool_249"
0,487,0,0,100,"","","",0,1,1,"","",3,1,0,[7],[0],"",[1],"","Art/Videos/SkillTutorials/IceNova.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageIceNova.dds",1,1,"",2,"",[],0,[],[],"",1,"",""
1,488,100,0,0,"","","",0,1,1,"","",1,23,0,[6],[0],"",[2],"","Art/Videos/SkillTutorials/LeapSlam.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageLeapSlam.dds",0,7,"",2,"",[],0,[],[],"",1,"",""
2,489,0,0,0,"","","",0,1,1,"","",4,1,0,[],[0],"",[3],"","","",0,0,"",2,"",[],0,[],[],"","","",""
3,491,100,0,0,"","","",0,1,1,"","",1,7,0,[6],[0],"",[4],"","Art/Videos/SkillTutorials/ShieldCharge.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageShieldCharge.dds",3,3,"",2,"",[],0,[],[],"",1,"",""
4,493,0,0,100,"","","",0,1,1,"","",3,23,0,[1],[0],"",[5],"","Art/Videos/SkillTutorials/DetonateDead.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageDetonateDead.dds",0,7,"",2,"",[],0,[],[],"",1,"",""
5,494,0,0,100,"","","",0,1,1,"","",3,1,0,[],[0],"",[6],"","","",0,0,"",2,"",[],0,[],[],"","","",""
6,4012,100,0,0,"","","",1,1,1,"","",1,1,0,[6],[0],"",[7],"","","",0,1,"",0,"",[0],0,[],[],"",1,"",""
7,4103,0,100,0,"","","",1,1,1,"","",2,1,0,[2],[0],"",[8],"","","",0,1,"",0,"",[1],1,[],[],"",1,"",""
8,4104,0,100,0,"","","",1,1,1,"","",2,1,0,[2],[0],"",[9],"","","",0,4,"",0,"",[1],2,[],[],"",1,"",""
9,4105,0,100,0,"","","",1,1,1,"","",2,1,0,[2],[0],"",[10],"","","",0,5,"",0,"",[1],3,[],[],"",1,"",""
10,4052,0,100,0,"","","",1,1,1,"","",2,1,0,[2],[0],"",[11],"","","",0,1,"",0,"",[1],1,[],[],"",1,"",""
11,4053,0,100,0,"","","",1,1,1,"","",2,1,0,[2],[0],"",[12],"","","",0,2,"",0,"",[1],2,[],[],"",1,"",""
12,4054,0,100,0,"","","",1,1,1,"","",2,1,0,[2],[0],"",[13],"","","",0,2,"",0,"",[1],1,[],[],"",1,"",""
13,4055,0,100,0,"","","",1,1,1,"","",2,1,0,[],[0],"",[14],"","","",0,0,"",0,"",[1],0,[],[],"","","",""
14,4063,0,100,0,"","","",1,1,1,"","",2,1,0,[2],[0],"",[15],"","","",0,1,"",0,"","[1,2,3]",1,[],[],"",1,"",""
15,4064,0,100,0,"","","",1,1,1,"","",2,1,0,[2],[0],"",[16],"","","",0,4,"",0,"","[1,2,3]",2,[],[],"",1,"",""
16,4065,0,100,0,"","","",1,1,1,"","",2,1,0,[2],[0],"",[17],"","","",0,5,"",0,"","[1,2,3]",3,[],[],"",1,"",""
17,4183,0,0,100,"","","",1,1,1,"","",3,1,0,[7],[0],"",[18],"","","",0,1,"",0,"",[4],0,[],[],"",1,"",""
18,4106,0,100,0,"","","",1,1,1,"","",2,1,0,[2],[0],"",[19],"","","",0,1,"",0,"","[1,2,3]",1,[],[],"",1,"",""
19,4107,0,100,0,"","","",1,1,1,"","",2,1,0,[2],[0],"",[20],"","","",0,3,"",0,"","[1,2,3]",2,[],[],"",1,"",""
20,4145,0,0,100,"","","",1,1,1,"","",3,1,0,[7],[0],"",[21],"","","",0,1,"",0,"","[4,2,3]",1,[],[],"",1,"",""
21,4146,0,0,100,"","","",1,1,1,"","",3,1,0,[7],[0],"",[22],"","","",0,3,"",0,"","[4,2,3]",2,[],[],"",1,"",""
22,4100,0,100,0,"","","",1,1,1,"","",2,1,0,[2],[0],"",[23],"","","",0,1,"",0,"",[1],0,[],[],"",1,"",""
23,492,0,0,100,"","",9528,0,1,1,"","",3,15,0,[1],[0],"",[24],"","Art/Videos/SkillTutorials/RaiseZombie.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageRaiseZombie.dds",0,5,"",2,"",[],0,[],[],"",1,"",""
24,4013,100,0,0,"","","",1,1,1,"","",1,1,17,[6],[0],"",[25],"","","",0,1,"",0,"",[0],1,[],[],"",1,"",""
25,4014,100,0,0,"","","",1,1,1,"","",1,1,17,[6],[0],"",[26],"","","",0,4,"",0,"",[],2,[],[],"",1,"",""
26,4196,0,0,100,"","","",1,1,1,"","",3,1,0,[7],[0],"",[27],"","","",0,3,"",0,"",[4],0,[],[],"",1,"",""
27,3959,100,0,0,"","","",1,1,1,"","",1,1,0,[6],[0],"",[28],"","","",0,3,"",0,"",[0],0,[],[],"",1,"",""
28,3995,100,0,0,"","","",1,1,1,"","",1,1,0,[6],[0],"",[29],"","","",0,2,"",0,"",[0],1,[],[],"",1,"",""
29,3996,100,0,0,"","","",1,1,1,"","",1,1,0,[6],[0],"",[30],"","","",0,3,"",0,"",[0],2,[],[],"",1,"",""
30,3997,100,0,0,"","","",1,1,1,"","",1,1,0,[6],[0],"",[31],"","","",0,5,"",0,"",[0],3,[],[],"",1,"",""
31,4172,0,0,100,"","","",1,1,1,"","",3,1,0,[7],[0],"",[32],"","","",0,2,"",0,"",[4],0,[],[],"",1,"",""
32,4173,0,0,100,"","","",1,1,1,"","",3,65,17,[],[0],"",[33],"","","",0,0,"",0,"",[4],0,[],[],"","","",""
33,4200,0,0,100,"","","",1,1,1,"","",3,1,0,[7],[0],"",[34],"","","",0,3,"",0,"","[4,2,3]",0,[],[],"",1,"",""
34,495,0,50,50,"","","",0,1,1,"","",4,53,0,[10],[0],"",[35],"","Art/Videos/SkillTutorials/FlickerStrike.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageFlickerStrike.dds",0,13,"",2,"",[],0,[],[],"",1,"",""
35,496,0,0,100,"","","",0,1,1,"","",3,1,0,[7],[0],"",[36],"","Art/Videos/SkillTutorials/Spark.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageSpark.dds",3,1,"",2,"",[],0,[],[],"",1,"",""
36,4049,0,100,0,"","","",1,1,1,"","",2,1,0,[2],[0],"",[38],"","","",0,1,"",0,"",[1],1,[],[],"",1,"",""
37,4050,0,100,0,"","","",1,1,1,"","",2,1,0,[2],[0],"",[39],"","","",0,3,"",0,"",[1],2,[],[],"",1,"",""
38,4051,0,100,0,"","","",1,1,1,"","",2,1,0,[2],[0],"",[40],"","","",0,5,"",0,"",[1],3,[],[],"",1,"",""
39,497,0,0,100,"","",9527,0,1,1,"","",3,23,0,[],[0],"",[41],"","","",0,0,"",2,"",[],0,[],[],360,"","",""
