"rownum","ItemClass","Tier","BaseItemTypes"
0,111,1,4902
1,111,2,4903
2,111,3,4904
3,111,4,4905
4,111,5,4906
5,111,6,4907
6,111,7,4908
7,111,8,4909
8,111,9,4910
9,111,10,4911
10,111,11,4912
11,111,12,4913
12,111,13,4914
13,111,14,4915
14,111,15,4916
15,111,16,4917
16,111,17,4918
17,111,18,4919
18,111,19,4920
19,111,20,4921
20,112,1,4922
21,112,2,4923
22,112,3,4924
23,112,4,4925
24,112,5,4926
25,113,4,4927
26,113,5,4928
27,113,6,4929
28,113,7,4930
29,113,8,4931
30,113,9,4932
31,113,10,4933
32,113,11,4934
33,113,12,4935
34,113,13,4936
35,113,14,4937
36,113,15,4938
37,113,16,4939
38,113,17,4940
39,113,18,4941
40,113,19,4942
41,113,20,4943
