"rownum","Id","rid_8","ArchnemesisMod","ArchnemesisModPower","TomeArt","RemnantArt","Mod","EnemyArt","TomeArt2"
0,"Fire","",191,192,"Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRuneFire","Art/2DArt/UIImages/InGame/Expedition/Remnant/RemnantRuneFire",15303,"Art/2DArt/UIImages/InGame/EnemyHealthBars/Runes/EnemyRuneFire","Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRuneFire"
1,"Cold","",193,194,"Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRuneCold","Art/2DArt/UIImages/InGame/Expedition/Remnant/RemnantRuneCold",15306,"Art/2DArt/UIImages/InGame/EnemyHealthBars/Runes/EnemyRuneCold","Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRuneCold"
2,"Lightning","",195,196,"Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRuneLightning","Art/2DArt/UIImages/InGame/Expedition/Remnant/RemnantRuneLightning",15309,"Art/2DArt/UIImages/InGame/EnemyHealthBars/Runes/EnemyRuneLightning","Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRuneLightning"
3,"Tempest","",197,198,"Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRuneTempest","Art/2DArt/UIImages/InGame/Expedition/Remnant/RemnantRuneTempest",15312,"Art/2DArt/UIImages/InGame/EnemyHealthBars/Runes/EnemyRuneTempest","Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRuneTempest"
4,"Momentum","",199,200,"Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRuneMomentum","Art/2DArt/UIImages/InGame/Expedition/Remnant/RemnantRuneMomentum",15315,"Art/2DArt/UIImages/InGame/EnemyHealthBars/Runes/EnemyRuneMomentum","Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRuneMomentum"
5,"Bloodletting","",201,202,"Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRuneBloodletting","Art/2DArt/UIImages/InGame/Expedition/Remnant/RemnantRuneBloodletting",15318,"Art/2DArt/UIImages/InGame/EnemyHealthBars/Runes/EnemyRuneBloodletting","Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRuneBloodletting"
6,"Stone","",203,204,"Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRuneStone","Art/2DArt/UIImages/InGame/Expedition/Remnant/RemnantRuneStone",15321,"Art/2DArt/UIImages/InGame/EnemyHealthBars/Runes/EnemyRuneStone","Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRuneStone"
7,"Adaptive","",205,206,"Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRuneAdaptive","Art/2DArt/UIImages/InGame/Expedition/Remnant/RemnantRuneAdaptive",15324,"Art/2DArt/UIImages/InGame/EnemyHealthBars/Runes/EnemyRuneAdaptive","Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRuneAdaptive"
8,"Arcane","",207,208,"Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRuneArcane","Art/2DArt/UIImages/InGame/Expedition/Remnant/RemnantRuneArcane",15327,"Art/2DArt/UIImages/InGame/EnemyHealthBars/Runes/EnemyRuneArcane","Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRuneArcane"
9,"Toxic","",209,210,"Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRuneToxic","Art/2DArt/UIImages/InGame/Expedition/Remnant/RemnantRuneToxic",15330,"Art/2DArt/UIImages/InGame/EnemyHealthBars/Runes/EnemyRuneToxic","Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRuneToxic"
10,"Electrocuting","",211,212,"Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRuneElectrocuting","Art/2DArt/UIImages/InGame/Expedition/Remnant/RemnantRuneElectrocuting",15334,"Art/2DArt/UIImages/InGame/EnemyHealthBars/Runes/EnemyRuneElectrocuting","Art/2DArt/UIImages/InGame/Expedition/Tome/TomeRuneElectrocuting"
