"rownum","GroundEffectTypesKey","i32_16","i32_20","BuffVisual1","f32_40","[i32]_44","bool_60","AOFile","[string]_77","EndEffect","BuffVisual2","MiscObject1","MiscObject2","rid_149","rid_165","bool_181","bool_182","bool_183","BuffVisual3","rid_200","bool_216","bool_217","bool_218","Animation"
0,0,0,1,"",0,"[3,2,2,1]","","[""Metadata/Effects/Spells/ground_effects/fire/fire1.ao"",""Metadata/Effects/Spells/ground_effects/fire/fire2.ao"",""Metadata/Effects/Spells/ground_effects/fire/fire3.ao"",""Metadata/Effects/Spells/ground_effects/fire/fire4.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
1,0,0,2,"",175,[],1,"[""Metadata/Effects/Spells/grd_Zones/grd_Burning01.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
2,0,1,1,409,0,"[3,2,2,1]","","[""Metadata/Effects/Spells/ground_effects/fire_white/fire_01.ao"",""Metadata/Effects/Spells/ground_effects/fire_white/fire_02.ao"",""Metadata/Effects/Spells/ground_effects/fire_white/fire_03.ao"",""Metadata/Effects/Spells/ground_effects/fire_white/fire_04.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
3,0,1,2,409,120,[],1,"[""Metadata/Effects/Spells/ground_effects_v2/fire_divine/burning_divine_01.ao"",""Metadata/Effects/Spells/ground_effects_v2/fire_divine/burning_divine_02.ao"",""Metadata/Effects/Spells/ground_effects_v2/fire_divine/burning_divine_03.ao"",""Metadata/Effects/Spells/ground_effects_v2/fire_divine/burning_divine_04.ao"",""Metadata/Effects/Spells/ground_effects_v2/fire_divine/burning_divine_05.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
4,0,2,2,"",150,[],1,"[""Metadata/Effects/Spells/monsters_effects/Breach/Hellion/flame_breath/lava_pool/rig.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
5,0,3,1,"",40,[],1,"[""Metadata/Effects/Spells/ground_effects/lava/lava1.ao"",""Metadata/Effects/Spells/ground_effects/lava/lava2.ao"",""Metadata/Effects/Spells/ground_effects/lava/lava3.ao"",""Metadata/Effects/Spells/ground_effects/lava/lava4.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
6,0,4,2,733,75,"[3,2,2]",1,"[""Metadata/Effects/Spells/monsters_effects/Solaris_and_Lunaris/Solaris_e/solarbeam_groundfire_01.ao"",""Metadata/Effects/Spells/monsters_effects/Solaris_and_Lunaris/Solaris_e/solarbeam_groundfire_02.ao"",""Metadata/Effects/Spells/monsters_effects/Solaris_and_Lunaris/Solaris_e/solarbeam_groundfire_03.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
7,0,5,1,734,75,"[3,2,2]",1,"[""Metadata/Effects/Spells/monsters_effects/league_avatar/GroundFire/groundfire_blue_01.ao"",""Metadata/Effects/Spells/monsters_effects/league_avatar/GroundFire/groundfire_blue_02.ao"",""Metadata/Effects/Spells/monsters_effects/league_avatar/GroundFire/groundfire_blue_03.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
8,0,5,2,734,120,[],1,"[""Metadata/Effects/Spells/ground_effects_v2/fire_harbinger/burning_harbinger_01.ao"",""Metadata/Effects/Spells/ground_effects_v2/fire_harbinger/burning_harbinger_02.ao"",""Metadata/Effects/Spells/ground_effects_v2/fire_harbinger/burning_harbinger_03.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
9,0,6,2,735,105,[],1,"[""Metadata/Effects/Microtransactions/Spells/flame_dash/corsair/burn1.ao"",""Metadata/Effects/Microtransactions/Spells/flame_dash/corsair/burn2.ao"",""Metadata/Effects/Microtransactions/Spells/flame_dash/corsair/burn3.ao"",""Metadata/Effects/Microtransactions/Spells/flame_dash/corsair/burn4.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
10,0,7,2,1110,120,[],1,"[""Metadata/Effects/Microtransactions/Spells/flame_dash/stygian/burning_grd/stygian_burn_01.ao"",""Metadata/Effects/Microtransactions/Spells/flame_dash/stygian/burning_grd/stygian_burn_02.ao"",""Metadata/Effects/Microtransactions/Spells/flame_dash/stygian/burning_grd/stygian_burn_03.ao"",""Metadata/Effects/Microtransactions/Spells/flame_dash/stygian/burning_grd/stygian_burn_04.ao"",""Metadata/Effects/Microtransactions/Spells/flame_dash/stygian/burning_grd/stygian_burn_05.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
11,0,8,1,1229,105,[],1,"[""Metadata/Effects/Microtransactions/Spells/flame_dash/polaris_black/burn1.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
12,0,9,1,"",120,[],1,"[""Metadata/Effects/Microtransactions/Spells/flame_dash/scientist/burn1.ao"",""Metadata/Effects/Microtransactions/Spells/flame_dash/scientist/burn2.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
13,0,10,1,1356,120,[],1,"[""Metadata/Effects/Microtransactions/Spells/flame_dash/demonic/ground_burn.ao"",""Metadata/Effects/Microtransactions/Spells/flame_dash/demonic/ground_burn2.ao"",""Metadata/Effects/Microtransactions/Spells/flame_dash/demonic/ground_burn3.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
14,0,11,2,"",200,[],1,"[""Metadata/Effects/Spells/monsters_effects/LeagueHarvest/harvest_monsters/ground_effects/burning_spores.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
15,0,12,1,1407,120,[],1,"[""Metadata/Effects/Microtransactions/Spells/flame_dash/nightfall/ground_burn.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
16,0,13,2,"",150,[],1,"[""Metadata/Effects/Spells/monsters_effects/Breach/Hellion/flame_breath/lava_pool/rig.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
17,0,14,2,"",200,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Ritual/fire_ritual/ritual_fire_meteor_ground.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
18,0,15,2,"",200,[],1,"[""Metadata/Effects/Spells/monsters_effects/AtlasofWorldsBosses/VilAintHer/lava_grd.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
19,0,16,2,"",200,[],1,"[""Metadata/Effects/Spells/prismatic_rain/object_effect/burning_grd_Fire.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
20,0,17,1,1718,120,[],1,"[""Metadata/Effects/Microtransactions/Spells/flame_dash/siren/ground_burn.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
21,0,18,2,"",200,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Hellscape/env/burning_grd/burning_grd1.ao"",""Metadata/Effects/Spells/monsters_effects/League_Hellscape/env/burning_grd/burning_grd2.ao"",""Metadata/Effects/Spells/monsters_effects/League_Hellscape/env/burning_grd/burning_grd3.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
22,0,19,2,"",150,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Archnemesis/ground_effects/calamity_of_flames.ao""]","[""loop""]","fadeout","","","","","","","","","","","","","",""
23,0,20,1,1761,120,[],1,"[""Metadata/Effects/Microtransactions/Spells/flame_dash/auspicious/ground_burn.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
24,0,21,2,"",120,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Archnemesis/Phantasm/burning_grd.ao""]","[""loop""]","fadeout","","","","","","","","","","","","","",""
25,0,22,2,1871,120,[],1,"[""Metadata/Effects/Microtransactions/Spells/trap/Oblivion/burning_grd.ao""]","[""loop""]","fadeout","","","","","","","","","","","","","",""
26,0,23,2,1933,250,[],1,"[""Metadata/Effects/Microtransactions/Spells/alchemists_mark/sunprism/fire_ground.ao""]","[""loop""]","fadeout","","","","","","","","","","","","","",""
27,0,24,2,1818,175,[],1,"[""Metadata/Effects/Microtransactions/Spells/firestorm/Vaal/ao/bruningGround.ao""]","[""loop""]","close","","","","","","","","","","","","","",""
28,0,25,2,"",150,[],1,"[""Metadata/Effects/Microtransactions/Spells/Witch/DemonicFire/groundeffect/grd_Burning01.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
29,0,26,2,"",150,[],1,"[""Metadata/Effects/Microtransactions/Spells/Sorceress/Darkshard/BallLightning/darkshard_grd_Burning.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
30,0,27,2,2787,175,[],1,"[""Metadata/Effects/Microtransactions/Spells/spear_mine/Ancestral/grd_Burning01.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
31,0,28,2,"",300,[],1,"[""Metadata/Effects/Microtransactions/Spells/Sorceress/Stygian/fire_incinerate/incinerate_grd_Burning.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
32,0,1000,2,"",175,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act2_FOUR/Balbala/burning_grd.ao""]","[""loop""]","fadeout","","","","","",1,1,"","","","","","",""
