"rownum","i32_0","[rid]_4","[rid]_20","[i32]_36","bool_52","i32_53","i32_57","i32_61","i32_65","bool_69","[i32]_70","bool_86","i32_87","bool_91","[string]_92","[rid]_108","bool_124"
0,0,[94],[93],[7],1,2,0,0,120,"",[],"",10,"",[],[],""
1,1,[],[170],[71],1,2,0,0,120,"",[],"",10,"",[],[],""
2,2,[],[189],[66],1,1,0,0,120,"",[],"",10,"",[],[],""
3,3,[],[219],[50],1,2,10,4,120,"",[],"",10,"",[],[],""
4,4,[],[219],[75],1,2,0,0,120,"",[],"",10,"",[],[],""
5,5,[],[239],[0],1,3,0,0,120,"",[],"",10,"",[],[],""
6,6,[],[242],[0],1,3,0,0,120,"",[],"",10,"",[],[],""
7,7,[],[243],[0],1,3,0,0,120,"",[],"",10,"",[],[],""
8,8,[],[245],[0],1,3,0,0,120,"",[],"",10,"",[],[],""
9,9,[],"[246,247,248,249,250,251]","[36,66,67,57,55,68,54,51]",1,2,15,14,120,"",[],"",6,"",[],[],""
10,10,[],"[252,253,254,255,256]",[49],1,2,30,25,120,"",[],"",10,1,[],[],""
11,11,[],"[257,258,259,260,261]",[53],1,2,30,25,120,"",[],"",10,1,[],[],""
12,12,[],"[282,283,284,285]","[44,45,48,49]","",2,10,22,120,"",[],"",10,1,[],[],""
13,13,[],[317],"[42,43,44,45,46,47,48,49,50]",1,2,0,0,120,"",[],"",10,"",[],[],""
14,14,[],[307],[0],"",2,0,0,120,"",[],"",10,"",[],[],""
15,15,[],[363],[2],1,2,0,0,120,"",[],"",10,1,[],[],""
16,16,[],[368],[35],1,2,0,0,120,"",[],"",10,"",[],[],""
17,17,[],[368],[37],1,2,0,0,120,"",[],"",10,"",[],[],""
18,18,[369],[370],[2],1,2,0,0,200,1,[1],1,5,"",[],[],""
19,19,[],[401],[16],1,2,0,0,120,"",[],"",10,"",[],[],""
20,20,[],[402],[17],1,2,0,0,120,"",[],"",10,"",[],[],""
21,21,[],[403],[18],1,2,0,0,120,"",[],"",10,"",[],[],""
22,22,[],[420],[1],1,2,0,0,120,1,[1],1,7,"",[],[],""
23,23,[],[498],[29],1,2,8,3,60,"",[],"",4,"",[],[],""
24,24,[],[498],[26],1,2,8,3,60,"",[],"",4,"",[],[],""
25,25,[],[516],[36],1,2,4,2,120,"",[],"",2,"",[],[],""
26,26,[],[546],[29],1,2,8,3,60,"",[],"",4,"",[],[],""
27,27,[],[546],[26],1,2,8,3,60,"",[],"",4,"",[],[],""
28,28,[],[555],[83],1,2,40,15,70,"",[],"",5,1,[],[],""
29,1000,[],[572],[],1,2,0,0,120,"",[],"",2,"","[""aux_melee_trail_02""]",[],""
30,1001,[],[571],[54],1,2,0,0,120,1,[1],1,2,"",[],[],""
31,1002,[],[570],[],1,3,0,0,120,"",[],"",4,"","[""stick_jntBnd""]",[],""
32,1003,[],[571],[49],1,2,0,0,120,1,[1],1,2,"",[],[],""
33,1004,[],[573],[],"",2,15,6,60,"",[],"",2,"","[""top_jaw""]",[],""
34,1005,[],[575],[],"",3,5,3,70,"",[],"",2,"","[""R_Weapon""]",[],""
35,1006,[],[578],[],1,2,0,0,120,"",[],"",3,"","[""eye_laser""]",[],""
36,1007,[],[579],[],1,2,0,0,120,"",[],"",2,"","[""back_laser""]",[],""
37,1008,[],[579],[],1,2,0,0,120,"",[],"",2,"","[""left_laser""]",[],""
38,1009,[],[579],[],1,2,0,0,120,"",[],"",2,"","[""right_laser""]",[],""
39,1010,[],[498],[36],1,3,4,2,120,"",[1],"",2,"",[],[],""
40,1011,[],[595],[],"",2,0,0,120,1,[],1,3,"","[""aux_window1"",""aux_window2"",""aux_window3"",""aux_window4""]",[],""
41,1012,[],[595],[],"",2,0,0,60,"",[],"",3,"","[""aux_fx_pipe_dir""]",[],""
42,1013,[],[616],[],1,2,0,0,120,"",[],"",6,1,"[""L_Weapon""]",[],""
43,1014,[],[616],[],1,2,0,0,120,"",[],"",6,1,"[""R_Weapon""]",[],""
44,1015,[],[618],[],1,3,0,0,80,"",[],"",2,"","[""skull_1"",""skull_2"",""skull_3"",""skull_4"",""skull_5"",""skull_6"",""skull_7"",""skull_8""]",[],""
45,1016,[],[644],[],1,2,0,0,120,"",[],"",2,"","[""central_horn_jntBnd""]",[],""
46,1017,[],[642],[],1,3,0,0,120,"",[],"",4,"","[""head_jntBnd""]",[],""
47,1018,[],[644],[],1,2,0,0,80,"",[],"",2,"","[""R_Weapon"",""L_Weapon""]",[],""
48,1019,[],[402],"[10,2]",1,2,0,0,120,1,[],1,2,"",[],[],""
49,1020,[],[667],[0],1,2,0,0,120,1,[0],1,4,1,[],[],""
50,1021,[],[668],[],"",2,10,5,120,"",[],"",2,1,"[""L_Weapon""]",[],""
51,1022,[],[669],[],1,2,0,0,60,"",[],"",4,"","[""aux_fx_pipe_dir""]",[],""
52,1023,[],[727],[],1,2,0,0,120,"",[],"",2,"","[""R_Weapon""]",[],""
53,1024,[],[684],[],1,2,0,0,120,"",[],"",2,"","[""focus_fire""]",[],""
54,1025,[],[741],[],"",3,0,0,60,"",[],"",1,"","[""R_Weapon"",""L_Weapon""]",[],""
55,1026,[],[749],[],1,2,0,0,80,"",[],"",2,"","[""aux_R_bot_Weapon"",""aux_L_bot_Weapon"",""aux_R_top_Weapon"",""aux_L_top_Weapon""]",[],""
