"rownum","string_0","string_8","string_8 (French)","string_8 (German)","string_8 (Japanese)","string_8 (Korean)","string_8 (Portuguese)","string_8 (Russian)","string_8 (Spanish)","string_8 (Thai)","string_8 (Traditional Chinese)","string_16","string_16 (French)","string_16 (German)","string_16 (Japanese)","string_16 (Korean)","string_16 (Portuguese)","string_16 (Russian)","string_16 (Spanish)","string_16 (Thai)","string_16 (Traditional Chinese)","f32_24","string_28","string_36","string_36 (French)","string_36 (German)","string_36 (Japanese)","string_36 (Korean)","string_36 (Portuguese)","string_36 (Russian)","string_36 (Spanish)","string_36 (Thai)","string_36 (Traditional Chinese)","[rid]_44","[i32]_60","rid_76","rid_92"
0,"MapCompleted","Map Completed","Carte terminée","Karte abgeschlossen","マップを完了した","지도 완료","Mapa Finalizado","Карта завершена","Mapa completado","ผ่านแผนที่สำเร็จ","完成的地圖","{0}","{0}","{0}","{0}","{0}","{0}","{0}","{0}","{0}","{0}",6,"Art/2DArt/UIImages/InGame/CompletionPopup/CompletionPopupMap","㈀䐀䄀爀琀⼀唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀唀氀琀椀洀愀琀甀洀伀渀攀䰀椀渀攀","爀琀⼀㈀䐀䄀爀琀⼀唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀唀氀琀椀洀愀琀甀洀伀渀攀䰀椀渀攀","漀洀瀀氀攀琀攀搀","琀椀漀渀倀漀瀀甀瀀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀唀氀琀椀洀愀琀甀洀伀渀攀䰀椀渀攀","甀瀀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀唀氀琀椀洀愀琀甀洀伀渀攀䰀椀渀攀","䄀爀琀⼀㈀䐀䄀爀琀⼀唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀唀氀琀椀洀愀琀甀洀伀渀攀䰀椀渀攀","琀⼀唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀唀氀琀椀洀愀琀甀洀伀渀攀䰀椀渀攀","䄀爀琀⼀㈀䐀䄀爀琀⼀唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀唀氀琀椀洀愀琀甀洀伀渀攀䰀椀渀攀","䄀爀琀⼀㈀䐀䄀爀琀⼀唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀唀氀琀椀洀愀琀甀洀伀渀攀䰀椀渀攀","⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀唀氀琀椀洀愀琀甀洀伀渀攀䰀椀渀攀",[],"[180,56,480,50]","",""
1,"CorruptedMapCompleted","Map Completed","Carte terminée","Karte abgeschlossen","マップを完了した","지도 완료","Mapa Finalizado","Карта завершена","Mapa completado","ผ่านแผนที่สำเร็จ","完成的地圖","{0}","{0}","{0}","{0}","{0}","{0}","{0}","{0}","{0}","{0}",6,"Art/2DArt/UIImages/InGame/CompletionPopup/CompletionPopupMapCorruption","㈀䐀䄀爀琀⼀唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀唀氀琀椀洀愀琀甀洀伀渀攀䰀椀渀攀","爀琀⼀㈀䐀䄀爀琀⼀唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀唀氀琀椀洀愀琀甀洀伀渀攀䰀椀渀攀","漀洀瀀氀攀琀攀搀","琀椀漀渀倀漀瀀甀瀀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀唀氀琀椀洀愀琀甀洀伀渀攀䰀椀渀攀","甀瀀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀唀氀琀椀洀愀琀甀洀伀渀攀䰀椀渀攀","䄀爀琀⼀㈀䐀䄀爀琀⼀唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀唀氀琀椀洀愀琀甀洀伀渀攀䰀椀渀攀","琀⼀唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀唀氀琀椀洀愀琀甀洀伀渀攀䰀椀渀攀","䄀爀琀⼀㈀䐀䄀爀琀⼀唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀唀氀琀椀洀愀琀甀洀伀渀攀䰀椀渀攀","䄀爀琀⼀㈀䐀䄀爀琀⼀唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀唀氀琀椀洀愀琀甀洀伀渀攀䰀椀渀攀","⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀唀氀琀椀洀愀琀甀洀伀渀攀䰀椀渀攀",[],"[180,56,480,50]","",""
2,"NexusofCorruptionMapCompleted","Nexus of Corruption\nCleansed","Nexus de la Corruption\nPurifié","Nexus der Verderbtheit\ngereinigt","コラプトネクサス浄化済み","타락의 연결부\n정화됨","Nexus da Corrupção\nPurificado","Средоточие Порчи очищено","Nexo de corrupción\npurificado","ชำระล้าง\nศูนย์กลางมลทินสำเร็จ","腐化聖域\n已淨化","{0}","{0}","{0}","{0}","{0}","{0}","{0}","{0}","{0}","{0}",6,"Art/2DArt/UIImages/InGame/CompletionPopup/CompletionPopupNexus","㈀䐀䄀爀琀⼀唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀唀氀琀椀洀愀琀甀洀伀渀攀䰀椀渀攀","爀琀⼀㈀䐀䄀爀琀⼀唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀唀氀琀椀洀愀琀甀洀伀渀攀䰀椀渀攀","漀洀瀀氀攀琀攀搀","琀椀漀渀倀漀瀀甀瀀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀唀氀琀椀洀愀琀甀洀伀渀攀䰀椀渀攀","甀瀀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀唀氀琀椀洀愀琀甀洀伀渀攀䰀椀渀攀","䄀爀琀⼀㈀䐀䄀爀琀⼀唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀唀氀琀椀洀愀琀甀洀伀渀攀䰀椀渀攀","琀⼀唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀唀氀琀椀洀愀琀甀洀伀渀攀䰀椀渀攀","䄀爀琀⼀㈀䐀䄀爀琀⼀唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀唀氀琀椀洀愀琀甀洀伀渀攀䰀椀渀攀","䄀爀琀⼀㈀䐀䄀爀琀⼀唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀唀氀琀椀洀愀琀甀洀伀渀攀䰀椀渀攀","⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀唀氀琀椀洀愀琀甀洀伀渀攀䰀椀渀攀",[],"[236,60,365,50]","",""
3,"SanctumRoomCompleted","Room Completed","Salle terminée","Raum abgeschlossen","部屋を完了した","방 완료","Sala Finalizada","Зал завершён","Sala completada","ห้องสำเร็จแล้ว","完成的房間","{0}","{0}","{0}","{0}","{0}","{0}","{0}","{0}","{0}","{0}",6,"Art/2DArt/UIImages/InGame/CompletionPopup/CompletionPopupSanctum","2DArt/UIImages/InGame/CompletionPopup/CompletionPopupUltimatumOneLine","rt/2DArt/UIImages/InGame/CompletionPopup/CompletionPopupUltimatumOneLine","ompleted","tionPopup/CompletionPopupUltimatumOneLine","up/CompletionPopupUltimatumOneLine","Art/2DArt/UIImages/InGame/CompletionPopup/CompletionPopupUltimatumOneLine","t/UIImages/InGame/CompletionPopup/CompletionPopupUltimatumOneLine","Art/2DArt/UIImages/InGame/CompletionPopup/CompletionPopupUltimatumOneLine","Art/2DArt/UIImages/InGame/CompletionPopup/CompletionPopupUltimatumOneLine","/CompletionPopupUltimatumOneLine",[],"[180,56,480,50]","",""
4,"UltimatumRoomCompleted","Room Completed","Salle terminée","Raum abgeschlossen","部屋を完了した","방 완료","Sala Finalizada","Зал завершён","Sala completada","ห้องสำเร็จแล้ว","完成的房間","{0}","{0}","{0}","{0}","{0}","{0}","{0}","{0}","{0}","{0}",6,"Art/2DArt/UIImages/InGame/CompletionPopup/CompletionPopupUltimatumOneLine","䐀䄀爀琀⼀唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀唀氀琀椀洀愀琀甀洀伀渀攀䰀椀渀攀","琀⼀㈀䐀䄀爀琀⼀唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀唀氀琀椀洀愀琀甀洀伀渀攀䰀椀渀攀","洀瀀氀攀琀攀搀","椀漀渀倀漀瀀甀瀀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀唀氀琀椀洀愀琀甀洀伀渀攀䰀椀渀攀","瀀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀唀氀琀椀洀愀琀甀洀伀渀攀䰀椀渀攀","爀琀⼀㈀䐀䄀爀琀⼀唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀唀氀琀椀洀愀琀甀洀伀渀攀䰀椀渀攀","⼀唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀唀氀琀椀洀愀琀甀洀伀渀攀䰀椀渀攀","爀琀⼀㈀䐀䄀爀琀⼀唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀唀氀琀椀洀愀琀甀洀伀渀攀䰀椀渀攀","爀琀⼀㈀䐀䄀爀琀⼀唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀唀氀琀椀洀愀琀甀洀伀渀攀䰀椀渀攀","䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀唀氀琀椀洀愀琀甀洀伀渀攀䰀椀渀攀",[],"[180,56,480,50]","",""
5,"UltimatumTrialCompleted","Trial Completed","Épreuve terminée","Prüfung abgeschlossen","試練を完了した","시련 완료","Provação Finalizada","Испытание завершено","Prueba completada","บททดสอบสำเร็จแล้ว","試煉完成","{0}","{0}","{0}","{0}","{0}","{0}","{0}","{0}","{0}","{0}",6,"Art/2DArt/UIImages/InGame/CompletionPopup/CompletionPopupUltimatumOneLine","䐀䄀爀琀⼀唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀唀氀琀椀洀愀琀甀洀伀渀攀䰀椀渀攀","琀⼀㈀䐀䄀爀琀⼀唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀唀氀琀椀洀愀琀甀洀伀渀攀䰀椀渀攀","洀瀀氀攀琀攀搀","椀漀渀倀漀瀀甀瀀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀唀氀琀椀洀愀琀甀洀伀渀攀䰀椀渀攀","瀀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀唀氀琀椀洀愀琀甀洀伀渀攀䰀椀渀攀","爀琀⼀㈀䐀䄀爀琀⼀唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀唀氀琀椀洀愀琀甀洀伀渀攀䰀椀渀攀","⼀唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀唀氀琀椀洀愀琀甀洀伀渀攀䰀椀渀攀","爀琀⼀㈀䐀䄀爀琀⼀唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀唀氀琀椀洀愀琀甀洀伀渀攀䰀椀渀攀","爀琀⼀㈀䐀䄀爀琀⼀唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀唀氀琀椀洀愀琀甀洀伀渀攀䰀椀渀攀","䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀唀氀琀椀洀愀琀甀洀伀渀攀䰀椀渀攀",[],"[180,56,480,50]","",""
6,"BossAvailable","Map Boss Available","Boss de Carte disponible","Verfügbarer Kartenboss","マップボスが出現した","지도 보스 있음","Chefe do Mapa Disponível","Доступен босс карты","Jefe de mapa disponible","เข้าถึงบอสประจำแผนที่ได้แล้ว","可挑戰的地圖頭目","{0}","{0}","{0}","{0}","{0}","{0}","{0}","{0}","{0}","{0}",6,"Art/2DArt/UIImages/InGame/CompletionPopup/CompletionPopupMap","㈀䐀䄀爀琀⼀唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀唀氀琀椀洀愀琀甀洀伀渀攀䰀椀渀攀","爀琀⼀㈀䐀䄀爀琀⼀唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀唀氀琀椀洀愀琀甀洀伀渀攀䰀椀渀攀","漀洀瀀氀攀琀攀搀","琀椀漀渀倀漀瀀甀瀀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀唀氀琀椀洀愀琀甀洀伀渀攀䰀椀渀攀","甀瀀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀唀氀琀椀洀愀琀甀洀伀渀攀䰀椀渀攀","䄀爀琀⼀㈀䐀䄀爀琀⼀唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀唀氀琀椀洀愀琀甀洀伀渀攀䰀椀渀攀","琀⼀唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀唀氀琀椀洀愀琀甀洀伀渀攀䰀椀渀攀","䄀爀琀⼀㈀䐀䄀爀琀⼀唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀唀氀琀椀洀愀琀甀洀伀渀攀䰀椀渀攀","䄀爀琀⼀㈀䐀䄀爀琀⼀唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀唀氀琀椀洀愀琀甀洀伀渀攀䰀椀渀攀","⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀唀氀琀椀洀愀琀甀洀伀渀攀䰀椀渀攀",[],"[180,56,480,50]","",""
7,"AbyssOverrun","Abyssal Overrun","Envahissement abyssal","Von Abgründigen überrannt","アビサルが蹂躙した","심연의 존재가 득시글거림","Infestação Abissal","Захват Бездной","Invasión de abisales","พวกอะบิสรุกล้ำ","受到深淵佔據","A nearby map has been Overrun by the Abyssal","Une carte proche a été Envahie par les Abyssaux","Eine nahegelegene Karte ist von Abgründigen überrannt.","近くのマップ1個がアビサルにより蹂躙された","주변의 지도에 심연의 존재가 득시글거립니다.","Um mapa próximo foi infestado por abissais","Карта поблизости была захвачена порождениями Бездны","Los abisales han invadido un mapa cercano","พวกอะบิสรุกล้ำเข้ามาในแผนที่ที่อยู่ใกล้แล้ว","一張相鄰的地圖受到深淵佔據",6,"Art/2DArt/UIImages/InGame/CompletionPopup/CompletionPopupDefault","㈀䐀䄀爀琀⼀唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀唀氀琀椀洀愀琀甀洀伀渀攀䰀椀渀攀","爀琀⼀㈀䐀䄀爀琀⼀唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀唀氀琀椀洀愀琀甀洀伀渀攀䰀椀渀攀","漀洀瀀氀攀琀攀搀","琀椀漀渀倀漀瀀甀瀀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀唀氀琀椀洀愀琀甀洀伀渀攀䰀椀渀攀","甀瀀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀唀氀琀椀洀愀琀甀洀伀渀攀䰀椀渀攀","䄀爀琀⼀㈀䐀䄀爀琀⼀唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀唀氀琀椀洀愀琀甀洀伀渀攀䰀椀渀攀","琀⼀唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀唀氀琀椀洀愀琀甀洀伀渀攀䰀椀渀攀","䄀爀琀⼀㈀䐀䄀爀琀⼀唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀唀氀琀椀洀愀琀甀洀伀渀攀䰀椀渀攀","䄀爀琀⼀㈀䐀䄀爀琀⼀唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀唀氀琀椀洀愀琀甀洀伀渀攀䰀椀渀攀","⼀䌀漀洀瀀氀攀琀椀漀渀倀漀瀀甀瀀唀氀琀椀洀愀琀甀洀伀渀攀䰀椀渀攀",[],"[180,56,480,50]",48,48
8,"Incursion2RoomCompleted","Room Completed","Salle terminée","Raum abgeschlossen","部屋を完了した","방 완료","Sala Concluída","Зал завершён","Sala completada","ห้องสำเร็จแล้ว","房間已完成","{0}","{0}","{0}","{0}","{0}","{0}","{0}","{0}","{0}","{0}",6,"Art/2DArt/UIImages/InGame/QuestMessageBackgroundIncursion","letion_ULTIMATUM.bk2","ompletion_ULTIMATUM.bk2","rt/Videos/Completion_ULTIMATUM.bk2","tumTrialCompleted","lCompleted","Completion_ULTIMATUM.bk2","on_ULTIMATUM.bk2","Completion_ULTIMATUM.bk2","Completion_ULTIMATUM.bk2","ompleted",[],"[325,34,480,50]","",""
9,"Incursion2TempleCompleted","Temple Complete","Temple terminé","Tempel abgeschlossen","神殿を完了した","사원 완료","Templo Concluído","Храм завершён","Templo completado","วิหารสำเร็จแล้ว","神廟已完成","{0}","{0}","{0}","{0}","{0}","{0}","{0}","{0}","{0}","{0}",6,"Art/2DArt/UIImages/InGame/QuestMessageBackgroundIncursion","letion_ULTIMATUM.bk2","ompletion_ULTIMATUM.bk2","rt/Videos/Completion_ULTIMATUM.bk2","tumTrialCompleted","lCompleted","Completion_ULTIMATUM.bk2","on_ULTIMATUM.bk2","Completion_ULTIMATUM.bk2","Completion_ULTIMATUM.bk2","ompleted",[],"[325,34,480,50]","",""
