"rownum","Id","TimeoutInSeconds","ChargesShared","Player_ShrineBuffsKey","i32_29","i32_33","Monster_ShrineBuffsKey","SummonMonster_MonsterVarietiesKey","SummonPlayer_MonsterVarietiesKey","i32_85","Duration","ShrineSoundsKey","bool_109","AchievementItemsKeys","IsPVPOnly","bool_127","IsLesserShrine","Description","Name","bool_161","Mods","MonsterPacks","rid_194","MapSpawnChanceStat","MapShrineEffectStat","ElementalShrineChanceStat","EnableStat","BossBuffTemplate"
0,"Acceleration",0,"",385,0,100,386,"","",50,45,3,"",[],"",1,"",6186,6185,"","",[],"","","","",[],""
1,"Lightning",0,"",397,0,100,"","","",0,45,2,"",[],"","","",6188,6187,"","",[],"","","","",[],""
2,"Cold",0,"",396,0,100,"","","",0,45,0,"",[],"","","",6190,6189,"","",[],"","","","",[],""
3,"Fire",0,"",395,0,100,"","","",0,45,1,"",[],"","","",6192,6191,"","",[],"","","","",[],""
4,"Arc",0,"",398,0,100,"","","",0,45,2,"",[],"","","",6194,6193,"","",[],"","","","",[],""
5,"Criticals",0,"",393,0,100,394,"","",50,45,7,"",[],"",1,"",6196,6195,"","",[],"","","","",[],""
6,"Brutal",0,"",389,0,100,390,"","",50,45,5,"",[],"",1,"",6198,6197,"","",[],"","","","",[],""
7,"Thorns",0,"",391,0,100,392,"","",50,45,6,"",[],"",1,"",6200,6199,"","",[],"","","","",[],""
8,"Regen",0,1,387,0,100,388,"","",50,45,4,"",[],"",1,"",6202,6201,"","",[],"","","","",[],""
9,"Massive",0,"",405,0,100,406,"","",50,45,4,"",[],"",1,"",6204,6203,"","",[],"","","","",[],""
10,"Defence",0,"",407,0,100,408,"","",50,45,6,"",[],"",1,"",6206,6205,"","",[],"","","","",[],""
11,"Resistance",0,"",409,0,100,410,"","",50,45,6,"",[],"",1,"",6208,6207,"","",[],"","","","",[],""
12,"GodMode",0,"",411,0,100,412,"","",50,45,6,"",[],"",1,"",6210,6209,"","",[],"","","","",[],""
13,"Multi",0,"",402,0,100,401,"","",50,45,7,"",[],"",1,"",6212,6211,"","",[],"","","","",[],""
14,"Curses",0,"",404,0,100,403,"","",50,45,5,"",[],"","","",6214,6213,"","",[],"","","","",[],""
15,"Skeletons",0,"",399,0,100,"","","",0,45,8,"",[],"","","",6216,6215,"","",[],"","","","",[],""
16,"Smoke",0,"",400,0,100,"","","",0,45,9,"",[],"","","",6218,6217,"","",[],"","","","",[],""
17,"PVPAcceleration",45,"",385,0,0,"","","",0,12,3,1,[],"","","",6220,6219,"","",[],"","","","",[],""
18,"PVPRegen",45,1,387,0,0,"","","",0,12,4,1,[],"","","",6222,6221,"","",[],"","","","",[],""
19,"PVPBrutal",45,"",389,0,0,"","","",0,20,5,1,[],"","","",6224,6223,"","",[],"","","","",[],""
20,"CTFBrutal",45,"",389,0,0,"","","",0,20,5,1,[],1,"","",6226,6225,"","",[],"","","","",[],""
21,"CTFRegen",45,1,387,0,0,"","","",0,20,4,1,[],1,"","",6228,6227,"","",[],"","","","",[],""
22,"CTFMassive",45,"",405,0,0,"","","",0,20,4,1,[],1,"","",6230,6229,"","",[],"","","","",[],""
23,"CTFDefence",45,"",407,0,0,"","","",0,20,6,1,[],1,"","",6232,6231,"","",[],"","","","",[],""
24,"AccelerationLesser",0,"",414,0,1,"","","",0,20,3,"",[],"",1,1,6186,6233,"","",[],"","","","",[],""
25,"BrutalLesser",0,"",415,0,1,"","","",0,20,5,"",[],"",1,1,6198,6234,"","",[],"","","","",[],""
26,"RegenLesser",0,"",416,0,1,"","","",0,20,4,"",[],"",1,1,6202,6235,"","",[],"","","","",[],""
27,"MassiveLesser",0,"",417,0,1,"","","",0,20,4,"",[],"",1,1,6204,6236,"","",[],"","","","",[],""
28,"ResistanceLesser",0,"",418,0,1,"","","",0,20,6,"",[],"",1,1,6208,6237,"","",[],"","","","",[],""
29,"DefenceLesser",0,"",419,0,1,"","","",0,20,6,"",[],"",1,1,6206,6238,"","",[],"","","","",[],""
30,"Resonating",0,"",420,0,2,421,"","",50,45,10,"",[],"",1,"",6240,6239,"","",[],"","","","",[],""
31,"Gloom",0,"",422,0,2,423,"","",50,45,11,"",[],"",1,"",6242,6241,"","",[],"","","","",[],""
32,"RoyaleShrineAccelerating",60,"",424,0,0,"","","",0,10,3,"",[],"","","",6186,6185,1,"",[],"","","","",[],""
33,"RoyaleShrineBrutal",60,"",425,0,0,"","","",0,10,5,"",[],"","","",6198,6197,1,"",[],"","","","",[],""
34,"RoyaleShrineBurning",60,"",426,0,0,"","","",0,10,1,"",[],"","","",6192,6191,1,"",[],"","","","",[],""
35,"RoyaleShrineCharged",60,"",427,0,0,"","","",0,10,10,"",[],"","","",6240,6239,1,"",[],"","","","",[],""
36,"RoyaleShrineDiamond",60,"",428,0,0,"","","",0,10,7,"",[],"","","",6196,6195,1,"",[],"","","","",[],""
37,"RoyaleShrineEchoing",60,"",429,0,0,"","","",0,10,7,"",[],"","","",6212,6211,1,"",[],"","","","",[],""
38,"RoyaleShrineFreezing",60,"",430,0,0,"","","",0,10,0,"",[],"","","",6190,6189,1,"",[],"","","","",[],""
39,"RoyaleShrineGloom",60,"",431,0,0,"","","",0,10,11,"",[],"","","",6214,6241,1,"",[],"","","","",[],""
40,"RoyaleShrineHexing",60,"",432,0,0,"","","",0,10,5,"",[],"","","",6214,6213,1,"",[],"","","","",[],""
41,"RoyaleShrineImpenetrable",60,"",433,0,0,"","","",0,10,6,"",[],"","","",6206,6205,1,"",[],"","","","",[],""
42,"RoyaleShrineLightning",60,"",434,0,0,"","","",0,10,2,"",[],"","","",6188,6187,1,"",[],"","","","",[],""
43,"RoyaleShrineMassive",60,"",435,0,0,"","","",0,10,4,"",[],"","","",6204,6203,1,"",[],"","","","",[],""
44,"RoyaleShrineReplenishing",60,"",436,0,0,"","","",0,10,4,"",[],"","","",6202,6201,1,"",[],"","","","",[],""
45,"RoyaleShrineResistance",60,"",437,0,0,"","","",0,10,6,"",[],"","","",6208,6207,1,"",[],"","","","",[],""
46,"RoyaleShrineShrouded",60,"",438,0,0,"","","",0,10,9,"",[],"","","",6218,6217,1,"",[],"","","","",[],""
47,"RoyaleShrineStatic",60,"",439,0,0,"","","",0,10,2,"",[],"","","",6194,6193,1,"",[],"","","","",[],""
48,"Greed",0,"",480,0,0,479,"","",50,45,12,"",[],"",1,"",6259,6258,"","",[],"","","","",[],479
49,"BrineKing",0,"",535,0,0,536,"","",50,45,0,"",[],"",1,"",6594,6590,"","",[],"","","","",[],536
50,"Lunaris",0,"",537,0,0,538,"","",50,45,0,"",[],"",1,"",6595,6591,"","",[],"","","","",[],538
51,"Solaris",0,"",539,0,0,540,"","",50,45,1,"",[],"",1,"",6596,6592,"","",[],"","","","",[],540
52,"Arakaali",0,"",541,0,0,542,"","",50,45,11,"",[],"",1,"",6597,6593,"","",[],"","","","",[],542
53,"FireShrine",0,"",440,60,1,441,2028,2029,50,45,1,"",[],"","","",6192,6191,"","",[],"","","",26172,[],646
54,"LightningShrine",0,"",442,60,1,443,2032,2033,50,45,2,"",[],"","","",6188,6187,"","",[],"","","",26172,[],647
55,"ColdShrine",0,"",444,60,1,445,2030,2031,50,45,0,"",[],"","","",6190,6189,"","",[],"","","",26172,[],648
56,"GloomShrine",0,"",446,45,1,447,"","",50,45,11,"",[],"",1,"",6242,6241,"","",[],"",26858,"","",[],649
57,"AccelerationShrine",0,"",448,30,1,449,"","",50,45,3,"",[],"",1,"",6186,6185,"","",[],"","","","",[],650
58,"DivineShrine",0,"",450,5,1,451,"","",50,45,6,"",[],"",1,"",6210,6209,"","",[],"","","","",[],452
59,"MagicFindShrine",0,"",453,30,1,454,"","",50,45,12,"",[],"",1,"",8007,8006,"","",[],"",21527,21528,"",[],651
60,"MassiveShrine",0,"",455,60,1,456,"","",50,45,4,"",[],"",1,"",6204,6203,"","",[],"","","","",[],652
61,"RegenerationShrine",0,1,457,60,1,458,"","",50,45,4,"",[],"",1,"",6202,6201,"","",[],"","","","",[],653
62,"ExperienceShrine",0,"",459,45,1,460,"","",50,45,12,"",[],"",1,"",8011,8010,"","",[],"",21529,21530,"",[],654
63,"GoldShrine",0,"",461,0,1,462,"","",50,45,12,"",[],"",1,"",8009,8008,"","",[],"",21531,21532,"",[],655
64,"ResistanceShrine",0,"",465,60,1,466,"","",50,45,6,"",[],"",1,"",6208,6207,"","",[],"","","","",[],657
65,"DiamondShrine",0,"",467,30,1,468,"","",50,45,7,"",[],"",1,"",6196,6195,"","",[],"","","","",[],658
66,"CorruptShrine",0,"",469,0,1,470,"","",50,45,7,"",[],"",1,"",8029,8028,"","",[],"","","","",[],659
67,"UniqueGuidingPalmFireShrine",0,"",471,0,0,"",2028,2029,0,60,1,"",[],"","","",6192,6191,"","",[],"","","","",[],""
68,"UniqueGuidingPalmLightningShrine",0,"",472,0,0,"",2032,2033,0,60,2,"",[],"","","",6188,6187,"","",[],"","","","",[],""
69,"UniqueGuidingPalmColdShrine",0,"",473,0,0,"",2030,2031,0,60,0,"",[],"","","",6190,6189,"","",[],"","","","",[],""
70,"UniqueClosedFistChaosShrine",0,"",474,0,0,"","","",0,60,11,"",[],"","","",6242,6241,"","",[],"","","","",[],""
71,"NoEquipmentShrine",0,"",463,0,1,464,"","",50,45,12,"",[],"",1,"",8009,8008,"","",[],"","","","",[26126],656
