"rownum","BuffVisual","ShapeShiftVisualIdentity","rid_32","EPKFiles"
0,899,1,0,"[""Metadata/Effects/Spells/berserk_bloodrage/EPKs/rage_bear.epk""]"
1,899,2,0,"[""Metadata/Effects/Spells/berserk_bloodrage/EPKs/rage_shapeshift.epk""]"
2,899,4,0,"[""Metadata/Effects/Spells/berserk_bloodrage/EPKs/rage_shapeshift.epk""]"
3,2442,2,0,"[""Metadata/Effects/Spells/werewolf_lunarblessing/EPKs/arcticSkin.epk""]"
4,2604,1,0,"[""Metadata/Effects/Spells/druid_walkingcalamity/EPKs/activeBuff.epk""]"
5,2438,4,0,"[""Metadata/Effects/Spells/druid_shapeshifting/EPKs/wyvernBuff_Shock.epk""]"
6,2438,1,0,"[""Metadata/Effects/Spells/druid_shapeshifting/EPKs/wereBearBuff_Shock.epk""]"
7,2438,2,0,"[""Metadata/Effects/Spells/druid_shapeshifting/EPKs/wereWolfBuff_Shock.epk""]"
8,2439,4,0,"[""Metadata/Effects/Microtransactions/Spells/Wyvern/Lichborn/shapeshift/EPKs/wyvernBuff_Shock.epk""]"
9,2439,1,0,"[""Metadata/Effects/Microtransactions/Spells/Wyvern/Lichborn/shapeshift/EPKs/bearBuff_Shock.epk""]"
10,2439,2,0,"[""Metadata/Effects/Microtransactions/Spells/Wyvern/Lichborn/shapeshift/EPKs/wolfBuff_Shock.epk""]"
11,2442,2,11,"[""Metadata/Effects/Spells/werewolf_lunarblessing/EPKs/arcticSkin_NOFUR.epk""]"
