"rownum","string_0","string_8","string_16"
0,"Generic1Copy","Art/2DArt/UIImages/InGame/MapPinsWindow/MapPinPopUpGeneric1","Art/2DArt/UIImages/InGame/MapPinsWindow/MapPinGeneric1"
1,"Generic2Copy","Art/2DArt/UIImages/InGame/MapPinsWindow/MapPinPopUpGeneric2","Art/2DArt/UIImages/InGame/MapPinsWindow/MapPinGeneric2"
2,"Generic3Copy","Art/2DArt/UIImages/InGame/MapPinsWindow/MapPinPopUpGeneric3","Art/2DArt/UIImages/InGame/MapPinsWindow/MapPinGeneric3"
3,"Boss","Art/2DArt/UIImages/InGame/MapPinsWindow/MapPinPopUpBoss","Art/2DArt/UIImages/InGame/MapPinsWindow/MapPinBoss"
4,"Breach","Art/2DArt/UIImages/InGame/MapPinsWindow/MapPinPopUpBreach","Art/2DArt/UIImages/InGame/MapPinsWindow/MapPinBreach"
5,"Citadel","Art/2DArt/UIImages/InGame/MapPinsWindow/MapPinPopUpCitadel","Art/2DArt/UIImages/InGame/MapPinsWindow/MapPinCitadel"
6,"Corrupted","Art/2DArt/UIImages/InGame/MapPinsWindow/MapPinPopUpCorrupted","Art/2DArt/UIImages/InGame/MapPinsWindow/MapPinCorrupted"
7,"Delirium","Art/2DArt/UIImages/InGame/MapPinsWindow/MapPinPopUpDelirium","Art/2DArt/UIImages/InGame/MapPinsWindow/MapPinDelirium"
8,"Expedition","Art/2DArt/UIImages/InGame/MapPinsWindow/MapPinPopUpExpedition","Art/2DArt/UIImages/InGame/MapPinsWindow/MapPinExpedition"
9,"Ritual","Art/2DArt/UIImages/InGame/MapPinsWindow/MapPinPopUpRitual","Art/2DArt/UIImages/InGame/MapPinsWindow/MapPinRitual"
10,"Tower","Art/2DArt/UIImages/InGame/MapPinsWindow/MapPinPopUpTower","Art/2DArt/UIImages/InGame/MapPinsWindow/MapPinTower"
11,"Unique","Art/2DArt/UIImages/InGame/MapPinsWindow/MapPinPopUpUnique","Art/2DArt/UIImages/InGame/MapPinsWindow/MapPinUnique"
