"rownum","Id","WorldAreas","MinCount","MaxCount","BossMonsterSpawnChance","BossCount","BossMonsters","bool_56","[i32]_57","Grounds","Tags","MinLevel","MaxLevel","WorldAreas2","PackFormation","i32_145","bool_149","[string]_150","bool_166","bool_167","string_168","bool_176","bool_177","AdditionalMonsters","AdditionalCounts","bool_210","rid_211"
0,"dev_pack",[93],2,5,33,1,[370],"",[1],[],[],0,100,[],"",0,1,[],1,"","",1,"",[370],[1],"",""
1,"expedition-fodder1",[0],3,4,0,0,[],"",[1],[],[],0,100,[],"",20,"",[],1,"","",1,"",[],[],"",""
2,"expedition-fodder2",[0],2,3,0,0,[],"",[1],[],[],0,100,[],"",20,"",[],1,"","",1,"",[],[],"",""
3,"expedition-fodder3",[0],2,3,0,0,[],"",[1],[],[],0,100,[],"",20,"",[],1,"","",1,"",[],[],"",""
4,"expedition-fodder4",[0],2,3,0,0,[],"",[1],[],[],0,100,[],"",20,"",[],1,"","",1,"",[],[],"",""
5,"expedition-fodder5",[0],2,2,0,0,[],"",[1],[],[],0,100,[],"",20,"",[],1,"","",1,"",[],[],"",""
6,"expedition-fodder6",[0],2,2,0,0,[],"",[1],[],[],0,100,[],"",20,"",[],1,"","",1,"",[],[],"",""
7,"expedition-fodder7",[0],2,2,0,0,[],"",[1],[],[],0,100,[],"",20,"",[],1,"","",1,"",[],[],"",""
8,"expedition-faction1-elite1",[0],1,1,0,0,[],"",[1],[],[],0,100,[],"",7,"",[],"","","",1,"",[515],[1],"",""
9,"expedition-faction1-elite2",[0],1,1,0,0,[],"",[1],[],[],0,100,[],"",7,"",[],"","","",1,"",[508],[1],"",""
10,"expedition-faction2-elite1",[0],1,1,0,0,[],"",[1],[],[],0,100,[],"",7,"",[],"","","",1,"",[510],[1],"",""
11,"expedition-faction2-elite2",[0],1,1,0,0,[],"",[1],[],[],0,100,[],"",7,"",[],"","","",1,"",[517],[1],"",""
12,"expedition-faction3-elite1",[0],1,1,0,0,[],"",[1],[],[],0,100,[],"",7,"",[],"","","",1,"",[514],[1],"",""
