"rownum","Id","AOFiles","LoopAnimationIds","ImpactAnimationIds","ProjectileSpeed","bool_60","i32_61","bool_65","bool_66","InheritsFrom","MiscAnimated","i32_91","bool_95","bool_96","Stuck_AOFile","Bounce_AOFile","i32_121","i32_125","i32_129","i32_133","rid_137","rid_153","i32_169","i32_173","i32_177","i32_181","i32_185","[string]_189","bool_205","[i32]_206","string_222","rid_230","rid_246","rid_262","bool_278","string_279","rid_287","string_303","rid_311","string_327","[string]_335","[string]_351","bool_367"
0,"Metadata/Projectiles/Fireball","[""Metadata/Effects/Spells/fire_fireball/ao/rig.ao""]","[""projectile""]","[""impact""]",1040,"",2,"","","Metadata/Projectiles/Projectile","",2,"","",[],"",0,0,0,0,7697,"",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[],1
1,"Metadata/Projectiles/DragonFireball","[""Metadata/Effects/Microtransactions/Spells/fireball/dragon_fireball/dragonball.ao""]","[""fire""]","[""fire_explode""]",1040,"",2,"","","Metadata/Projectiles/Projectile","",2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[],1
2,"Metadata/Projectiles/GoldenFireball","[""Metadata/Effects/Spells/fireball/golden/rig.ao""]","[""fireball""]","[""fireball_explode""]",1040,"",2,1,"","Metadata/Projectiles/Projectile","",2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[],1
3,"Metadata/Projectiles/PyroFireball","[""Metadata/Effects/Spells/monsters_effects/act3/pyro/fireball.ao""]","[""fireball_loop""]","[""fireball_explode""]",1040,"",2,"","","Metadata/Projectiles/Projectile","",2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[],1
4,"Metadata/Projectiles/PyroPoisonFireball","[""Metadata/Effects/Spells/monsters_effects/act3/pyro/fireball_poison.ao""]","[""fireball_loop""]","[""fireball_explode""]",1040,"",2,"","","Metadata/Projectiles/Projectile","",2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[],1
5,"Metadata/Projectiles/PhoenixFireball","[""Metadata/Effects/Spells/monsters_effects/Phoenix/projectile/projectile_fire.ao""]","[""projectile_travel""]","[""projectile_end""]",1040,1,2,"","","Metadata/Projectiles/Projectile","",2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[],1
6,"Metadata/Projectiles/StygianFireball","[""Metadata/Effects/Microtransactions/Spells/fireball/stygian/rig.ao""]","[""fireball""]","[""fireball_explode""]",1040,"",2,"","","Metadata/Projectiles/Projectile","",2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[],1
7,"Metadata/Projectiles/SandSpitter","[""Metadata/Effects/Spells/sandspitterprojectile/rig.ao""]","[""flying""]","[""impact""]",1688,"",2,1,"","Metadata/Projectiles/Projectile","",2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[],1
8,"Metadata/Projectiles/SandSpitterFire","[""Metadata/Effects/Spells/monsters_effects/sandspitter_elemental/fire.ao""]","[""sandspitter_ele""]","[""sandspitter_ele_impact""]",1170,"",2,"","","Metadata/Projectiles/Projectile","",2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[],1
9,"Metadata/Projectiles/SandSpitterCold","[""Metadata/Effects/Spells/monsters_effects/sandspitter_elemental/ice.ao""]","[""sandspitter_ele""]","[""sandspitter_ele_impact""]",1170,"",2,"","","Metadata/Projectiles/Projectile","",2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[],1
10,"Metadata/Projectiles/SandSpitterLightning","[""Metadata/Effects/Spells/monsters_effects/sandspitter_elemental/lightning.ao""]","[""sandspitter_ele""]","[""sandspitter_ele_impact""]",1170,"",2,"","","Metadata/Projectiles/Projectile","",2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[],1
11,"Metadata/Projectiles/SandSpitterChaos","[""Metadata/Effects/Spells/monsters_effects/sandspitter_elemental/chaos.ao""]","[""sandspitter_ele""]","[""sandspitter_ele_impact""]",1170,"",2,"","","Metadata/Projectiles/Projectile","",2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[],1
12,"Metadata/Projectiles/SeaWitch","[""Metadata/Effects/Spells/wave/rig.ao""]","[""wave""]",[],300,1,2,"","","Metadata/Projectiles/Projectile","",2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[],1
13,"Metadata/Projectiles/Scavenger","[""Metadata/Effects/Spells/monsters_effects/scavenger_rock/rig.ao""]","[""rock_travel""]","[""rock_explode""]",1000,"",2,1,"","Metadata/Projectiles/Projectile","",2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],1,[],"","","","","","","","","","",[],[],1
14,"Metadata/Projectiles/SkeletonProjectileFire","[""Metadata/Effects/Spells/raise_skeleton_02/skeleproj_fire.ao""]","[""loop""]","[""end""]",700,"",2,"","","Metadata/Projectiles/Projectile","",2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[],1
15,"Metadata/Projectiles/SkeletonProjectileCold","[""Metadata/Effects/Spells/raise_skeleton_02/skeleproj_ice.ao""]","[""loop""]","[""end""]",700,"",2,"","","Metadata/Projectiles/Projectile","",2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[],1
16,"Metadata/Projectiles/SkeletonProjectileLightning","[""Metadata/Effects/Spells/raise_skeleton_02/skeleproj_lightning.ao""]","[""loop""]","[""end""]",700,"",2,"","","Metadata/Projectiles/Projectile","",2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[],1
17,"Metadata/Projectiles/Spark","[""Metadata/Effects/Spells/lightning_spark/spark_projectile.ao""]","[""projectile_01""]","[""impact_01""]",1000,1,1,1,"","Metadata/Projectiles/ProjectileGround","",2,"","",[],"",0,0,0,0,"","",0,0,100,100,5,"[""expire_01""]","",[],"","","","","","","","","","",[],[],1
18,"Metadata/Projectiles/SkeletonSpark","[""Metadata/Effects/Spells/electrical_surge/rig_fadeout.ao""]","[""electrical_surge""]","[""electrical_explode""]",560,1,1,1,"","Metadata/Projectiles/ProjectileGround","",2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[],1
19,"Metadata/Projectiles/SpiderSpark","[""Metadata/Effects/Microtransactions/Spells/spark/sparkspider/spark_spider2.ao""]","[""electrical_surge""]","[""electrical_explode""]",420,"",1,"","","Metadata/Projectiles/ProjectileGround","",2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[],1
20,"Metadata/Projectiles/RootSpiderSpit","[""Metadata/Effects/Spells/monsters_effects/act2/root_spider/projectile/rootspider_projectile.ao""]","[""rootspider_projectile_loop""]","[""rootspider_projectile_impact""]",750,"",2,1,"","Metadata/Projectiles/Projectile","",2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[],1
21,"Metadata/Projectiles/RootSpiderSpitBoss","[""Metadata/Effects/Spells/monsters_effects/act2/root_spider/projectile/rootspider_projectile.ao""]","[""rootspider_projectile_loop""]","[""rootspider_projectile_impact""]",750,"",3,1,"","Metadata/Projectiles/Projectile","",3,"","",[],"",0,0,0,0,"","",0,0,150,150,0,[],"",[],"","","","","","","","","","",[],[],1
22,"Metadata/Projectiles/RootSpiderSpitHuntingGround","[""Metadata/Effects/Spells/monsters_effects/Act1_FOUR/MudBurrower/mortar_projectile.ao""]","[""projectile""]","[""impact""]",1050,1,2,1,"","Metadata/Projectiles/Projectile","",2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],1,[],"","","","","","","","","","",[],[],1
23,"Metadata/Projectiles/RitualRootSpiderSpit","[""Metadata/Effects/Spells/monsters_effects/League_Ritual/demonfaction/DemonBurrower/mortar_projectile.ao""]","[""projectile""]","[""impact""]",1050,1,2,1,"","Metadata/Projectiles/Projectile","",2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],1,[],"","","","","","","","","","",[],[],1
24,"Metadata/Projectiles/RootSpiderSpitSpires","[""Metadata/Effects/Spells/monsters_effects/Act1_FOUR/MudBurrower/mortar_projectile_spires.ao""]","[""projectile""]","[""impact""]",750,1,2,"","","Metadata/Projectiles/Projectile","",2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[],1
25,"Metadata/Projectiles/RootSpiderSpitSpiresSanctum","[""Metadata/Effects/Spells/monsters_effects/Act2_FOUR/SpiresBurrower/mortar.ao""]","[""projectile""]","[""impact""]",750,1,2,"","","Metadata/Projectiles/Projectile","",2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[],1
26,"Metadata/Projectiles/IceSpear","[""Metadata/Effects/Spells/spear_wind_spear/projectile.ao""]","[""projectile_idle""]","[""impact""]",3700,"",2,"","","Metadata/Projectiles/Projectile","",2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","",250,1,"","","","","",[],[],1
27,"Metadata/Projectiles/IceSpearMTX1","[""Metadata/Effects/Spells/ice_spear/projectile.ao""]","[""frozenspear_idle""]","[""frozenspear_impact""]",600,"",2,"","","Metadata/Projectiles/Projectile","",2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[],1
28,"Metadata/Projectiles/FreezingPulse","[""Metadata/Effects/Spells/freezing_pulse/rig.ao""]","[""freezing_tide""]","[""freezing_tide_end""]",2400,"",2,"","","Metadata/Projectiles/Projectile","",4,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[],1
29,"Metadata/Projectiles/FreezingPulseMTX","[""Metadata/Effects/Microtransactions/Spells/freezing_pulse/rig.ao""]","[""freezing_pulse""]","[""end""]",2400,"",2,"","","Metadata/Projectiles/Projectile","",4,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[],1
30,"Metadata/Projectiles/UndyingFreezingPulse","[""Metadata/Effects/Spells/monsters_effects/act3/undying_freezing_pulse/base.ao""]","[""spellcast""]","[""spellend""]",680,"",3,"","","Metadata/Projectiles/Projectile","",3,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[],1
31,"Metadata/Projectiles/IncaMinionProjectile","[""Metadata/Effects/Spells/monsters_effects/incasummon_projectile_poison/rig.ao""]","[""projectile""]","[""projectileexplode""]",2000,"",2,"","","Metadata/Projectiles/Projectile","",2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[],1
32,"Metadata/Projectiles/TeleportBall","[""Metadata/Effects/Spells/fade/fadeprojectile.ao""]","[""projectilesloop""]","[""projectile_fadeout""]",750,1,2,"","","Metadata/Projectiles/Projectile","",2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[],1
33,"Metadata/Projectiles/IncaBossMinionProjectile","[""Metadata/Effects/Spells/monsters_effects/incasummon_ projectile/rig.ao""]","[""projectile""]","[""projectileexplode""]",2000,"",2,"","","Metadata/Projectiles/Projectile","",2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[],1
34,"Metadata/Projectiles/LightningSlash","[""Metadata/Effects/Spells/monk_lightningstrike/lightningStrike_Projectile.ao""]","[""lightStrikeProj_01""]","[""impact_01""]",1600,"",1,"","","Metadata/Projectiles/ProjectileGround","",4,1,"",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[],1
35,"Metadata/Projectiles/Snake","[""Metadata/Effects/Spells/monsters_effects/snake_spit/new_spit.ao""]","[""proj""]","[""end""]",1800,"",2,"","","Metadata/Projectiles/Projectile","",2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[],1
36,"Metadata/Projectiles/ShadowProjectile","[""Metadata/Effects/Spells/ninja_shotgun/rig.ao""]","[""knife_loop""]",[],1300,1,2,"","","Metadata/Projectiles/Projectile","",2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[],1
37,"Metadata/Projectiles/ShadowProjectileStar","[""Metadata/Effects/Microtransactions/Spells/ninja_shotgun/stars/rig.ao""]","[""knife_loop""]",[],1300,1,2,"","","Metadata/Projectiles/Projectile","",2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[],1
38,"Metadata/Projectiles/SpiderEtherealKnives","[""Metadata/Effects/Spells/monsters_effects/act2/spider/spider_spine_spit/rig.ao""]","[""spine_shoot""]",[],1300,1,2,"","","Metadata/Projectiles/Projectile","",2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[],1
39,"Metadata/Projectiles/EbonyEtherealKnvies","[""Metadata/Effects/Spells/ninja_shotgun_ebony/rig.ao""]","[""knife_loop""]",[],1300,1,2,"","","Metadata/Projectiles/Projectile","",2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[],1
