"rownum","string_0","[rid]_8","[rid]_24","[string]_40","[rid]_56","[rid]_72","[i32]_88","[rid]_104","string_120","bool_128","bool_129","bool_130"
0,"3",[],[],"[""䐀愀爀欀䔀昀昀椀最礀䔀昀昀攀挀琀""]",[],[],[2],[],"TradeStashTab",1,1,1
1,"4",[],[],[],[],[],[11],[],"CharacterSlot",1,"",1
2,"8",[],[],[],[],[],[1],[],"CurrencyTab",1,1,1
3,"11",[],[],[],[],[],[1],[],"MapTab",1,1,1
4,"31",[],[],[],[],[],[],[95],"DarkTempestHeraldofThunderEffect",1,"",1
5,"32",[],[],[],[],[],[],[953],"DarkTempestStormLanceEffect",1,"",1
6,"33",[],[],[],[],[],[],[945],"DarkTempestPrimalStrikesEffect",1,"",1
7,"34",[],[],[],[],[],[],[194],"DarkTempestLightningSpearEffect",1,"",1
8,"35",[],[],[],[],[],[],[431],"DarkTempestThunderousLeapEffect",1,"",1
9,"36",[],[],[],[],[],[],[170],"DeliriumHexblastEffect",1,"",1
10,"37",[],[],[],[],[],[],[447],"DeliriumDarkEffigyEffect",1,"",1
11,"38",[],[],[],[],[],[],[49],"DeliriumDespairEffect",1,"",1
12,"39",[],[],[],[],[],[],[110],"DeliriumEssenceDrainEffect",1,"",1
13,"40",[],[],[],[],[],[],[108],"DeliriumContagionEffect",1,"",1
14,"42",[],[],[],[],[],[],[945],"ValkyriePrimalStrikesEffect",1,"",1
15,"43",[],[],[],[],[],[],[95],"ValkyrieHeraldofThunderEffect",1,"",1
16,"44",[],[],[],[],[],[],[194],"ValkyrieLightningSpearEffect",1,"",1
17,"45",[],[],[],[],[],[],[953],"ValkyrieStormLanceEffect",1,"",1
18,"46",[],[],[],[],[],[],[431],"ValkyrieThunderousLeapEffect",1,"",1
19,"47",[],[],[],[],[],[],[191],"ChaosbornDruidWhirlingSlashEffect",1,"",1
20,"48",[],[],[],[],[],[],[944],"ChaosbornDruidWhirlwindLanceEffect",1,"",1
21,"49",[],[],[],[],[],[],[530],"ChaosbornDruidSpearThrowEffect",1,"",1
22,"50",[],[],[],[],[],[],[189],"ChaosbornDruidDisengageEffect",1,"",1
23,"51",[],[],[],[],[],[],[951],"ChaosbornDruidTamedBeastSkin",1,"",1
24,"52",[],[],[],[],[],[1],[],"TrackingScrollofHunting",1,"",1
25,"53",[],[],[],[],[],[1],[],"TrackingScrollofHeadhunting",1,"",1
26,"54",[],[],[],[],[],[1],[],"TrackingScrollofBounty",1,"",1
27,"55",[],[],[],[],[],[1],[],"TrackingScrollofTreasures",1,"",1
28,"300",[],[],[],[],[],[1],[],"TrackingScrollofAbysses",1,"",1
29,"286",[],[],[],[],[],[],[],"TrackingScrollOfTheVaal",1,1,1
30,"57",[],"[9,6]",[],[],[],[],[],"SunClanRaiderArmourPack",1,"",1
31,"58",[],[4],[],[],[],[],[],"BreachlordsCrusaderArmourPack",1,"",1
32,"59",[],[36],[],[],[],[],[],"BreachlordsKnightArmourPack",1,"",1
33,"61",[],"[8,35]",[],[],[],[],[],"HonourGuardArmourPack",1,"",1
34,"71",[8],[],[],[],[],[],[],"ShiftingSandsDodgeRollEffect",1,"",1
35,"72",[10],[],[],[],[],[],[],"ElusiveDodgeRollEffect",1,"",1
36,"73",[1],[13],[],[],[],[],[],"VampiricDodgeRollEffect",1,"",1
37,"74",[],"[8,18,35]",[],[],[],[],[],"HonourGuardDodgeRollEffect",1,"",1
38,"75",[],[],[],[],[],[],[405],"HonourGuardRhoaMountEffect",1,"",1
39,"76",[],[11],[],[],[],[],[405],"RitualistsRhoaMountEffect",1,"",1
40,"77",[],[],[],[],[],[1],[],"MappersAzmerianStarterKit",1,"",1
41,"78",[],[],[],[],[],[1],[],"SpeedrunnersMappingBundle",1,"",1
42,"79",[],[],[],[],[],[],[383],"SanguineUnearthEffect",1,"",1
43,"80",[],[],[],[],[],[],[92],"SanguineBoneOfferingEffect",1,"",1
44,"81",[],[],[],[],[],[],[367],"SanguinePainOfferingEffect",1,"",1
45,"82",[],[],[],[],[],[],[446],"SanguineSoulOfferingEffect",1,"",1
46,"83",[],[],[],[],[],[],[477],"SanguineBoneBlastEffect",1,"",1
47,"84",[],[],[],[],[],[],[376],"SanguineBonestormEffect",1,"",1
48,"85",[],[],[],[],[],[],[141],"SanguineVulnerabilityEffect",1,"",1
49,"86",[],[],[],[],[],[],[49],"SanguineDespairEffect",1,"",1
50,"87",[],[],[],[],[],[],[46],"SanguineTemporalChainsEffect",1,"",1
51,"88",[],[],[],[],[],[],[47],"SanguineEnfeebleEffect",1,"",1
52,"89",[],[],[],[],[],[],[377],"SanguineBoneCageEffect",1,"",1
53,"90",[],[],[],[],[],[],[39],"SanguineSpectreSkin",1,"",1
54,"91",[],[],[],[],[],[],[187],"KitavaVolcanicFissureEffect",1,"",1
55,"92",[],[],[],[],[],[],[107],"KitavaEarthquakeEffect",1,"",1
56,"93",[],[],[],[],[],[],[199],"KitavaRollingSlamEffect",1,"",1
57,"94",[],[],[],[],[],[],[112],"KitavaSunderEffect",1,"",1
58,"95",[],[],[],[],[],[],[480],"KitavaMoltenBlastEffect",1,"",1
59,"96",[],[],[],[],[],[],[397],"KitavaPerfectStrikeEffect",1,"",1
60,"97",[],[],[],[],[],[],[166],"KitavaEarthshatterEffect",1,"",1
61,"98",[],[],[],[],[],[],[366],"ThaumaturgesVoltaicGrenadesEffect",1,"",1
62,"99",[],[],[],[],[],[],[504],"ThaumaturgesStormblastBoltsEffect",1,"",1
63,"100",[],[],[],[],[],[],[502],"ThaumaturgesPlasmaBlastEffect",1,"",1
64,"101",[],[],[],[],[],[],[505],"ThaumaturgesShockburstRoundsEffect",1,"",1
65,"102",[],[],[],[],[],[],[503],"ThaumaturgesGalvanicShardsEffect",1,"",1
66,"103",[],"[24,36,11,14,15]",[],[],[],[],[95],"ThaumaturgesHeraldofThunderEffect",1,"",1
67,"104",[],"[18,10,35]",[],[],[],[],[95],"FaridunHeraldofThunderEffect",1,"",1
68,"105",[],[],[],[],[],[],[395],"FaridunElectrocutingArrowEffect",1,"",1
69,"106",[],[],[],[],[],[],[667],"FaridunVoltaicMarkEffect",1,"",1
70,"107",[],[],[],[],[],[],[59],"FaridunLightningArrowEffect",1,"",1
71,"108",[],[],[],[],[],[],[390],"FaridunLightningRodEffect",1,"",1
72,"109",[],[],[],[],[],[],[707],"FaridunMagneticSalvoEffect",1,"",1
73,"110",[],[],[],[],[],[],[388],"FaridunStormcallerArrowEffect",1,"",1
74,"111",[],[],[],[],[],[],[611],"FaridunShockchainArrowEffect",1,"",1
75,"112",[],[],[],[],[],[],[168],"DemonfireFlameWallEffect",1,"",1
76,"113",[],[],[],[],[],[],[89],"DemonfireFlameblastEffect",1,"",1
77,"114",[],[],[],[],[],[],[79],"DemonfireIncinerateEffect",1,"",1
78,"115",[],[],[],[],[],[],[393],"DemonfireSolarOrbEffect",1,"",1
79,"116",[],[],[],[],[],[],[489],"DemonfireEmberFusiladeEffect",1,"",1
80,"117",[],[],[],[],[],[],[56],"DemonfireFirestormEffect",1,"",1
81,"118",[],[],[],[],[],[],[394],"DemonfireFireballEffect",1,"",1
82,"119",[],[],[],[],[],[],[249],"BreachlordKillingPalmEffect",1,"",1
83,"120",[],[],[],[],[],[],[198],"BreachlordWhirlingAssaultEffect",1,"",1
84,"121",[],[],[],[],[],[],[203],"BreachlordWindBlastEffect",1,"",1
85,"122",[],[],[],[],[],[],[612],"BreachlordVaultingImpactEffect",1,"",1
86,"123",[],[],[],[],[],[],[34],"BreachlordFlickerStrikeEffect",1,"",1
87,"124",[],[],[],[],[],[],[614],"BreachlordMantraofDestructionEffect",1,"",1
88,"125",[],[],[],[],[],[],[372],"BreachlordTempestBellEffect",1,"",1
89,"126",[7],"[11,14,15,5]",[],[],[],[],"[946,445,371,58,189,249,48,717,353,402,999,381,1000,454,967,984,270,288]","BreachFlameChargeSkin",1,"",1
90,"127",[],[12],[],[],[],[],"[946,445,371,58,189,249,48,717,353,402,999,381,1000,454,967,984,270,288]","BreachImpChargeSkin",1,"",1
91,"128",[1],[],[],[],[],[],"[946,445,371,58,189,249,48,717,353,402,999,381,1000,454,967,984,270,288]","BreachFaeChargeSkin",1,"",1
92,"130",[],[14],[],[],[],[],[],"TormentorsRareFinisherEffect",1,"",1
93,"131",[],[11],[],[],[],[],[],"DefilersRareFinisherEffect",1,"",1
94,"132",[],[11],[],[],[],[],[],"ChaosbornDruidsRareFinisherEffect",1,"",1
95,"134",[],[5],[],[],[],[],[],"OrbitingAshCharacterEffect",1,"",1
96,"139",[],[23],[],[],[],[],[],"WitchhunterArmourPack",1,"",1
97,"140",[],[22],[],[],[],[],[],"GhoulhunterArmourPack",1,"",1
98,"141",[],[23],[],[],[],[],[],"WitchhunterCrossbowSkin",1,"",1
99,"142",[],[],[],[],[78],[],[],"GhoulhunterCrossbowSkin",1,"",1
100,"143",[],[13],[],[],[],[],[],"BloodTendrilsFootprintsEffect",1,"",1
101,"155",[],[12],[],[],[],[],[],"DemonicGhoulCharacterEffect",1,"",1
102,"156",[],[14],[],[],[],[],[],"GhostflameGhoulCharacterEffect",1,"",1
103,"157",[],[36],[],[],[],[],[],"StygianGhoulCharacterEffect",1,"",1
104,"163",[],[35],[],[],[],[],[],"DivineArtilleryStrikeRareFinisherEffect",1,"",1
105,"178",[],[3],[],[],[],[],[],"NethermancerArmourPack",1,"",1
106,"180",[],[16],[],[],[],[],[],"EldritchRoyaltyArmourPack",1,"",1
107,"181",[],[],[],[],[],[1],[],"ExilesPilferingRing",1,"",1
108,"182",[],[],[],[],[],[1],[],"ExilesPedometerRing",1,"",1
109,"183",[],[5],[],[],[],[],[],"AshcallerArmourPack",1,"",1
110,"186",[],[13],[],[],[],[],[],"ImmortalBodyArmourPack",1,"",1
111,"189",[],[23],[],[],[],[],[],"SaqawalsFateRareFinisherEffect",1,"",1
112,"190",[],[4],[],[],[],[],[],"PurifiersSwordstormRareFinisherEffect",1,"",1
113,"191",[],"[3,5]",[],[],[],[],[],"KaomsDesireRareFinisherEffect",1,"",1
114,"192",[],[13],[],[],[],[],[],"MalachaisDemiseRareFinisherEffect",1,"",1
115,"193",[],[36],[],[],[],[],[],"ChayulasGraspRareFinisherEffect",1,"",1
116,"196",[],[],[],[],[],[],"[946,445,371,58,189,249,48,717,353,402,999,381,1000,454,967,984,270,288]","PlanetaryOrbVariations",1,"",1
117,"197",[],[],[],[],[],[],"[946,445,371,58,189,249,48,717,353,402,999,381,1000,454,967,984,270,288]","PlanetaryOrb",1,"",1
118,"198",[],"[35,24]",[],[],[],[],"[946,445,371,58,189,249,48,717,353,402,999,381,1000,454,967,984,270,288]","EldritchPlanetaryOrb",1,"",1
119,"199",[],"[36,18]",[],[],[],[],"[946,445,371,58,189,249,48,717,353,402,999,381,1000,454,967,984,270,288]","VoidEmperorPlanetaryOrb",1,"",1
120,"200",[],[],[],[],[],[],"[946,445,371,58,189,249,48,717,353,402,999,381,1000,454,967,984,270,288]","LuminaryCharges",1,"",1
121,"214",[],[],[],[],[8],[],[],"SorcererWand",1,"",1
122,"218",[],[24],[],[],[],[],[],"DespairArmourPack",1,"",1
123,"207",[],[],[],[],[],[],[183],"AbyssalTornadoEffect",1,"",1
124,"249",[],"[11,14]",[],[],[],[],[],"HallowedKeeperArmourPack",1,"",1
125,"255",[],[16],[],[],[],[],[],"StormweaversEtchedBeetlePet",1,"",1
126,"257",[],[6],[],[],[],[],[],"FaridunsEtchedBeetlePet",1,"",1
127,"258",[],[17],[],[],[],[],[],"ChronomancersEtchedBeetlePet",1,"",1
128,"259",[],[9],[],[],[],[],[],"SunClanHyenaPet",1,"",1
129,"184",[],[18],[],[],[],[],[],"DjinnWeaponSkin",1,"",1
130,"185",[],[18],[],[],[],[],[],"DjinnCharacterSkin",1,"",1
131,"187",[],"[18,28]",[],[],[],[],[],"DjinnArmourPack",1,"",1
132,"188",[],[],[],[],[],[],[372],"DjinnTempestBellEffect",1,"",1
