"rownum","BaseItemType","BaseCost","BaseCostPerlevel","CostExponentPerLevel","NewTab","TabName"
0,2571,320,21,1.025,"",8979
1,2572,400,27,1.025,"",""
2,2576,400,27,1.025,"",""
3,2578,320,21,1.025,"",""
4,2579,400,27,1.025,"",""
5,2580,320,21,1.025,"",""
6,2581,400,27,1.025,"",""
7,2582,320,21,1.025,"",""
8,2573,320,21,1.025,"",""
9,2584,400,27,1.025,"",""
10,2585,400,27,1.025,1,8980
11,2586,400,27,1.025,"",""
12,2587,400,27,1.025,"",""
13,2588,400,27,1.025,"",""
14,2589,400,27,1.025,"",""
15,2590,400,27,1.025,"",""
16,2591,290,19,1.025,"",""
17,2592,290,19,1.025,"",""
18,2593,290,19,1.025,"",""
19,2594,290,19,1.025,"",""
20,2595,290,19,1.025,"",""
21,2596,290,19,1.025,"",""
22,2597,280,19,1.025,"",""
23,2598,280,19,1.025,"",""
24,2599,280,19,1.025,"",""
25,2600,280,19,1.025,"",""
26,2601,280,19,1.025,"",""
27,2602,280,19,1.025,"",""
28,2603,280,19,1.025,"",""
29,2604,280,19,1.025,"",""
30,2605,280,19,1.025,"",""
31,2606,280,19,1.025,"",""
32,2607,280,19,1.025,"",""
33,2608,280,19,1.025,"",""
34,2609,290,19,1.025,1,8981
35,2610,290,19,1.025,"",""
36,2611,290,19,1.025,"",""
37,2612,290,19,1.025,"",""
38,2613,290,19,1.025,"",""
39,2614,1000,0,1.03,"",""
40,2615,3000,0,1.03,1,8982
41,2616,2000,0,1.03,"",""
42,2617,1600,0,1.03,"",""
