"rownum","Id","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","LocalLevelStat","LocalQualityStat","GlobalSpellLevelStat"
0,"fire","[Fire]","[Fire|Feu]","[Fire|Feuer]","[Fire|火]","[Fire|화염]","[Fire|Fogo]","[Fire|Огонь]","[Fire|Fuego]","[Fire|ไฟ]","[Fire|火焰]",9548,10018,10075
1,"cold","[Cold]","[Cold|Froid]","[Cold|Kälte]","[Cold|冷気]","[Cold|냉기]","[Cold|Gelo]","[Cold|Холод]","[Cold|Hielo]","[Cold|น้ำแข็ง]","[Cold|冰冷]",9549,10019,9924
2,"lightning","[Lightning]","[Lightning|Foudre]","[Lightning|Blitz]","[Lightning|雷]","[Lightning|번개]","[Lightning|Raio]","[Lightning|Молния]","[Lightning|Rayo]","[Lightning|สายฟ้า]","[Lightning|閃電]",9550,10020,9927
3,"chaos","[Chaos]","[Chaos|Chaos]","[Chaos|Chaos]","[Chaos|混沌]","[Chaos|카오스]","[Chaos|Caos]","[Chaos|Хаос]","[Chaos|Caos]","[Chaos|เคออส]","[Chaos|混沌]",9551,10021,14143
4,"spell","[Spell]","[Spell|Sort]","[Spell|Zauber]","[Spell|スペル]","[Spell|주문]","[Spell|Magia]","[Spell|Чары]","[Spell|Hechizo]","[Spell|เวท]","[Spell|法術]","",9547,""
5,"projectile","[Projectile]","[Projectile|Projectile]","[Projectile|Projektil]","[Projectile|投射物]","[Projectile|투사체]","[Projectile|Projétil]","[Projectile|Снаряд]","[Projectile|Proyectil]","[Projectile|โพรเจกไทล์]","[Projectile|投射物]","",18733,""
6,"bow","[Bow]","[Bow|Arc]","[Bow|Bogen]","[Bow|弓]","[Bow|활]","[Bow|Arco]","[Bow|Лук]","[Bow|Arco]","[Bow|ธนู]","[Bow|弓]","",17751,""
7,"melee","[Melee]","[Melee|Mêlée]","[Melee|Nahkampf]","[Melee|近接]","[Melee|근접]","[Melee|Corpo a Corpo]","[Melee|Ближний бой]","[Melee|Cuerpo a cuerpo]","[Melee|ประชิด]","[Melee|近戰]","",17750,""
8,"minion","[Minion]","[Minion|Créature]","[Minion|Kreatur]","[Minion|ミニオン]","[Minion|소환수]","[Minion|Lacaio]","[Minion|Приспешник]","[Minion|Esbirro]","[Minion|มิเนียน]","[Minion|召喚物]","",9553,14144
9,"strength","","","","","","","","","","","",10023,""
10,"dexterity","","","","","","","","","","","",10024,""
11,"intelligence","","","","","","","","","","","",10025,""
12,"aura","[Aura]","[Aura|Aura]","[Aura|Aura]","[Aura|オーラ]","[Aura|오라]","[Aura]","[Aura|Аура]","[Aura|Aura]","[Aura|ออร่า]","[Aura|光環]","","",9923
13,"attack","[Attack]","[Attack|Attaque]","[Attack|Angriff]","[Attack|アタック]","[Attack|공격]","[Strike|Ataque]","[Attack|Атака]","[Attack|Ataque]","[Attack|โจมตี]","[Attack|攻擊]","",22961,""
14,"area","[AoESkill|AoE]","[AoESkill|Zone d'effet]","[AoESkill|Wirkungsbereich]","[AoESkill|範囲効果]","[AoESkill|효과 범위]","[AoESkill|Área]","[AoESkill|Область]","[AoESkill|AdE]","[AoESkill|พื้นที่]","[AoESkill|範圍效果]","","",""
15,"duration","[DurationSkill|Duration]","[DurationSkill|Durée]","[DurationSkill|Dauer]","[DurationSkill|持続時間]","[DurationSkill|지속시간]","[DurationSkill|Duração]","[DurationSkill|Длится]","[DurationSkill|Duración]","[DurationSkill|ช่วงเวลา]","[DurationSkill|持續時間]","","",""
16,"support","[SupportGem|Support]","[SupportGem|Soutien]","[SupportGem|Unterstützung]","[SupportGem|サポート]","[SupportGem|보조]","[SupportGem|Suporte]","[SupportGem|Поддержка]","[SupportGem|Asistencia]","[SupportGem|เสริม]","[SupportGem|輔助]","","",""
17,"curse","[Curse]","[Curse|Malédiction]","[Curse|Fluch]","[Curse|呪い]","[Curse|저주]","[Curse|Maldição]","[Curse|Проклятие]","[Curse|Maldición]","[Curse|คำสาป]","[Curse|詛咒]","",16470,9926
18,"chaining","[Chain|Chaining]","[Chain|Ricochet]","[Chain|Verkettung]","[Chain|連鎖]","[Chain|연쇄]","[Chain|Encadeador]","[Chain|Цепь]","[Chain|Encadenamiento]","[Chain|ชิ่ง]","[Chain|連鎖]","","",""
19,"totem","[Totem]","[Totem|Totem]","[Totem|Totem]","[Totem|トーテム]","[Totem|토템]","[Totem]","[Totem|Тотем]","[Totem|Tótem]","[Totem|โทเทม]","[Totem|圖騰]","",10027,""
20,"trap","Trap","Piège","Falle","トラップ","덫","Armadilha","Ловушка","Trampa","กับดัก","陷阱","",17749,""
21,"mine","Mine","Mine","Mine","マイン","지뢰","Mina","Мина","Mina","ทุ่นระเบิด","地雷","","",""
22,"cast","Cast","Incantation","Zauber","キャスト","시전","Conjuração","Сотворение","Lanzamiento","ร่าย","施放","","",""
23,"vaal","Vaal","Vaal","Vaal","ヴァール","바알","Vaal","Ваал","Vaal","วาล์","瓦爾","",10026,""
24,"grants_active_skill","","","","","","","","","","","","",""
25,"trigger","[Trigger]","[Trigger|Déclenchement]","[Trigger|Auslöser]","[Trigger|トリガー]","[Trigger|발동]","[Trigger|Ativação]","[Trigger|Активатор]","[Trigger|Activación]","[Trigger|ทริกเกอร์]","[Trigger|觸發]","","",""
26,"warcry","[Warcry]","[Warcry|Cri de guerre]","[Warcry|Kriegsschrei]","[Warcry|ウォークライ]","[Warcry|함성]","[Warcry|Clamor]","[Warcry|Боевой клич]","[Warcry|Grito de guerra]","[Warcry|คำราม]","[Warcry|戰吼]","","",""
27,"low_max_level","","","","","","","","","","","","",""
28,"channelling","[Channelling]","[Channelling|Canalisation]","[Channelling|Kanalisieren]","[Channelling|チャネリング]","[Channelling|집중 유지]","[Channelling|Canalização]","[Channelling|Поддерживаемое]","[Channelling|Canalización]","[Channelling|แชนเนล]","[Channelling|引導]","","",""
29,"herald","[Herald]","[Herald|Héraut]","[Herald|Herold]","[Herald|ヘラルド]","[Herald|전령]","[Herald|Arauto]","[Herald|Вестник]","[Herald|Heraldo]","[Herald|สาสน์]","[Herald|捷光環]","","",""
30,"physical","[Physical]","[Physical|Physique]","[Physical|Physisch]","[Physical|物理]","[Physical|물리]","[Physical|Físico]","[Physical|Физический]","[Physical|Físico]","[Physical|กายภาพ]","[Physical|物理]",9552,10022,14142
31,"travel","[Travel]","[Travel|Trajet]","[Travel|Fortbewegung]","[Travel|トラベル]","[Travel|이동 전용]","[Travel|Deslocamento]","[Travel|Смещение]","[Travel|Viaje]","[Travel|เดินทาง]","[Travel|快行]","","",""
32,"strike","[Strike]","[Strike|Frappe]","[Strike|Schlag]","[Strike|ストライク]","[Strike|타격]","[Strike|Golpear]","[Strike|Удар]","[Strike|Golpe]","[Strike|ฟาด]","[Strike|打擊]","","",14141
33,"nova","[Nova]","[Nova|Nova]","[Nova|Nova]","[Nova|ノヴァ]","[Nova|폭발]","[Nova]","[Nova|Кольцо]","[Nova|Nova]","[Nova|กระจาย]","[Nova|新星]","","",""
34,"banner","[Banner]","[Banner|Étendard]","[Banner|Banner]","[Banner|バナー]","[Banner|깃발]","[Banner|Estandarte]","[Banner|Знамя]","[Banner|Estandarte]","[Banner|ธง]","[Banner|旗幟]","","",""
35,"slam","[Slam]","[Slam|Fracas]","[Slam|Hieb]","[Slam|スラム]","[Slam|강타]","[Slam|Impacto]","[Slam|Мощный удар]","[Slam|Embate]","[Slam|ทุบ]","[Slam|重擊]","","",""
36,"mark","[Mark]","[Mark|Marque]","[Mark|Mal]","[Mark|呪印]","[Mark|징표]","[Mark|Marca]","[Mark|Метка]","[Mark|Señal]","[Mark|คำแช่ง]","[Mark|印記]","","",""
37,"orb","[Orb]","[Orb|Orbe]","[Orb|Sphäre]","[Orb|オーブ]","[Orb|보주]","[Orb|Orbe]","[Orb|Сфера]","[Orb|Orbe]","[Orb|ลูกแก้ว]","[Orb|球體]","","",""
38,"exceptional","Exceptional","Exceptionnel","Außergewöhnlich","希少","특출난","Excepcional","Исключительный","Excepcional","ดีเด่น","卓越","","",""
39,"link","Link","Lien","Verbindung","リンク","연결","Vínculo","Связь","Vínculo","ประสาน","連結","",16873,""
40,"awakened","","","","","","","","","","","","",""
41,"meta","[Meta]","[Meta|Méta]","[Meta|Meta]","[Meta|メタ]","[Meta|메타]","[Meta]","[Meta|Мета-камень]","[Meta|Metahabilidad]","[Meta|เมต้า]","[Meta|主要]","","",""
42,"crossbow","[Crossbow]","[Crossbow|Arbalète]","[Crossbow|Armbrust]","[Crossbow|クロスボウ]","[Crossbow|석궁]","[Crossbow|Besta]","[Crossbow|Самострел]","[Crossbow|Ballesta]","[Crossbow|หน้าไม้]","[Crossbow|十字弓]","",17752,""
43,"shapeshift","[Shapeshift]","[Shapeshift|Métamorphose]","[Shapeshift|Gestaltwandeln]","[Shapeshift|シェープシフト]","[Shapeshift|형태 변환]","[Shapeshift|Transformação]","[Shapeshift|Превращение]","[Shapeshift|Transformación]","[Shapeshift|กลายร่าง]","[Shapeshift|變形]","","",""
44,"bear","[Bear]","[Bear|Ours]","[Bear|Bär]","[Bear|クマ]","[Bear|곰]","[Bear|Urso]","[Bear|Медведь]","[Bear|Oso]","[Bear|หมี]","[Bear|熊]","","",""
45,"wolf","[Werewolf]","[Werewolf|Loup-garou]","[Werewolf|Werwolf]","[Werewolf|ウェアウルフ]","[Werewolf|늑대인간]","[Werewolf|Lobisomem]","[Werewolf|Волколак]","[Werewolf|Lobo]","[Werewolf|หมาป่า]","[Werewolf|狼人]","","",""
46,"wyvern","[Wyvern]","[Wyvern|Wyverne]","[Wyvern|Lindwurm]","[Wyvern|ワイバーン]","[Wyvern|와이번]","[Wyvern|Serpe]","[Wyvern|Виверна]","[Wyvern|Guiverno]","[Wyvern|ไวเวิร์น]","[Wyvern|龍]","","",""
47,"detonator","[Detonator]","[Detonator|Détonation]","[Detonator|Zünder]","[Detonator|起爆]","[Detonator|기폭 장치]","[Detonator|Detonação]","[Detonator|Детонатор]","[Detonator|Detonadora]","[Detonator|จุดระเบิด]","[Detonator|引爆器]","","",""
48,"buff","[Buff]","[Buff|Effet bénéfique]","[Buff|Stärkung]","[Buff|バフ]","[Buff|버프]","[Buff]","[Buff|Полож. эффект]","[Buff|Efecto beneficioso]","[Buff|บัฟ]","[Buff|增益效果]","","",""
49,"persistent","[Persistent]","[Persistent|Persistant]","[Persistent|Dauerhaft]","[Persistent|永続]","[Persistent|유지형]","[Persistent|Persistente]","[Persistent|Постоянное]","[Persistent|Persistente]","[Persistent|ยั่งยืน]","[Persistent|持續]","","",""
50,"ammunition","[Ammunition]","[Ammunition|Munitions]","[Ammunition|Munition]","[Ammunition|弾薬]","[Ammunition|탄약]","[Ammunition|Munição]","[Ammunition|Боеприпас]","[Ammunition|Munición]","[Ammunition|กระสุน]","[Ammunition|彈藥]","","",""
51,"sustained","[Sustained]","[Sustained|Prolongée]","[Sustained|Anhaltend]","[Sustained|維持]","[Sustained|지속형]","[Sustained|Sustentado]","[Sustained|Непрерывное]","[Sustained|Sostenida]","[Sustained|ทยอยปะทะ]","[Sustained|持續性]","","",""
52,"payoff","[Payoff]","[Payoff|Apothéose]","[Payoff|Abrechnung]","[Payoff|ペイオフ]","[Payoff|청산]","[Payoff|Pagamento]","[Payoff|Расплата]","[Payoff|Compensación]","[Payoff|ตอบแทน]","[Payoff|遣散]","","",""
53,"grenade","[Grenade]","[Grenade|Grenade]","[Grenade|Granate]","[Grenade|グレネード]","[Grenade|유탄]","[Grenade|Granada]","[Grenade|Граната]","[Grenade|Granada]","[Grenade|ลูกระเบิด]","[Grenade|擲彈]","","",""
54,"command","[Command]","[Command|Ordre]","[Command|Befehl]","[Command|コマンド]","[Command|명령]","[Command|Comando]","[Command|Приказ]","[Command|Orden]","[Command|สั่งการ]","[Command|號令]","","",""
55,"remnant","[Remnant]","[Remnant|Reliquat]","[Remnant|Überrest]","[Remnant|レムナント]","[Remnant|잔류물]","[Remnant|Resto]","[Remnant|Сгусток]","[Remnant|Remanente]","[Remnant|หยาด]","[Remnant|痕跡]","","",""
