"rownum","BaseItemType","Difficulty","Cost","DestinationArea","i32_40","rid_44","[rid]_60","[rid]_76","i32_92","i32_96"
0,189,0,50,350,0,"",[],[],4264,24
1,189,1,100,350,0,"",[],[],617,24
2,189,2,150,350,0,"",[],[],618,24
3,173,0,50,352,0,"",[],[],4264,22
4,173,1,100,352,0,"",[],[],427,22
5,173,2,150,352,0,"",[],[],428,22
6,190,0,50,353,0,"",[],[],4264,23
7,190,1,100,353,0,"",[],[],421,23
8,190,2,150,353,0,"",[],[],422,23
9,191,0,50,349,0,"",[],[],4264,104
10,191,1,100,349,0,"",[],[],609,104
11,191,2,150,349,0,"",[],[],610,104
