"rownum","string_0","i32_8","i32_12","bool_16"
0,"SkillDialogue",100000,240000,""
1,"SavageHit",3000,4000,""
2,"AlvaUtzaalAttack",25000,40000,""
3,"OpenShop",10000,15000,""
4,"ShopGeneric",10000,15000,""
5,"ZarokhProjectileSweep",6000,7500,""
6,"RareCurrencyDrop",250000,500000,""
7,"MediumHit",1000,2000,""
8,"AdrienneCombat",4000,12000,""
9,"BronnachCombat",4000,12000,""
10,"SondarCombat",4000,12000,""
11,"DoranCombat",4000,12000,""
12,"DoranCombatDodge",5000,15000,""
13,"DoranHeavyHit",10000,20000,""
14,"UlfredCombat",4000,12000,""
15,"DrusianCombat",4000,12000,""
16,"EngageDialogue",90000,300000,""
17,"NyassaCombat",4000,12000,""
18,"HesperiaCombat",4000,12000,""
19,"TauaCombat",4000,12000,""
20,"RaokCombat",4000,12000,""
21,"VasaCombat",4000,12000,""
22,"CiaraCombat",4000,12000,""
23,"TrialmasterHideout",6000,10000,""
24,"KalandraCallout",40000,60000,1
25,"DjinnPortalApproach",60000,60000,""
26,"GelidaCombat",4000,8000,""
27,"IgnatiaCombat",4000,8000,""
28,"BalbalaCoin",20000,20000,""
29,"AlvaWhereGoing",20000,20000,""
30,"TwilightOrderGuardBoss",5000,10000,""
31,"SioraBoss",4000,8000,""
32,"BloodTwinsBoss",3500,10000,""
33,"Tavakai_Callouts",5000,6000,""
34,"Tavakai_Bossfight",5000,8000,""
35,"CurrencyExchangePlaceOrder",15000,20000,""
36,"CurrencyExchangeRecieveShipment",15000,20000,""
37,"AsyncTradePriceChange",15000,18000,""
38,"AsyncTradeListItem",8000,15000,""
39,"AsyncTradeBuyItem",15000,20000,""
40,"AsyncTradeSellItemWild",60000,60000,""
41,"OswinBoss",3000,6000,""
42,"AbyssVoice_Vessel",4000,7500,""
43,"GambleRare",5000,5000,""
44,"GambleUnique",2000,2000,""
45,"GambleGeneric",8000,8000,""
46,"JadoBossCallouts",15000,25000,""
47,"MapOpenDialogue",20000,20000,""
48,"TavakaiApproach",10000,10000,""
