"rownum","Mod","Stats","StatsValues"
0,4060,[19761],[300]
1,3595,[18497],[-50]
2,3596,[18862],[50]
3,2996,[118],[750]
4,3417,[3265],[1]
5,3523,[1005],[1]
6,3532,[18995],[50]
7,3610,[403],[-25]
8,3611,[19396],[5]
9,2850,[170],[-20]
10,3446,[4671],[1]
11,2491,[117],[100]
12,3398,[19593],[1]
13,2515,[117],[30]
14,2983,[118],[900]
15,2997,[118],[240]
16,3396,[3490],[1]
17,3434,[19382],[2]
18,3435,[18736],[10]
19,3454,[9152],[100]
20,3455,[806],[10]
21,3519,[16695],[1]
22,3524,"[11163,11164,19202,11165,12196]","[10,30,10,1,1]"
23,3589,[9364],[100]
24,3648,[9515],[60]
25,3256,[201],[40]
26,3275,[131],[50]
27,3381,[14706],[40]
28,3392,[8859],[10]
29,3461,[5119],[25]
30,3526,[132],[-30]
31,3533,[3807],[1]
32,3534,[18237],[50]
33,3537,[9358],[25]
34,3588,[19195],[500]
35,3662,[19570],[1]
36,2985,[118],[750]
37,3413,[18617],[50]
38,3450,[19272],[25]
39,3626,[11142],[1]
40,3627,[11141],[1]
41,3825,[1301],[-1]
42,2547,[117],[-25]
43,3263,[13998],[-50]
44,3553,[1245],[25]
45,3632,[19596],[1]
46,3262,[13998],[-50]
47,3453,[18737],[20]
48,3462,[4466],[-20]
49,3463,[4467],[100]
50,3525,[132],[40]
51,3530,[7157],[1]
52,3594,[19516],[1]
53,3603,[180],[20]
54,3604,[3760],[1]
55,3605,[3761],[1]
56,2381,[139],[62]
57,2429,[134],[30]
58,2432,[134],[-10]
59,2545,[117],[50]
60,2848,[170],[-10]
61,2987,[118],[180]
62,2989,[118],[750]
63,2995,[118],[270]
64,3044,[98],[10]
65,3056,[100],[10]
66,3266,[1037],[15]
67,3452,[16857],[20]
68,3490,[418],[15]
69,3498,[3444],[-42]
70,3499,[2533],[-42]
71,3500,[3445],[-42]
72,3540,[1984],[1]
73,3541,[9318],[1]
74,3550,[1740],[1]
75,3565,[19371],[1]
76,3566,[19433],[1]
77,3567,[19434],[1]
78,3583,[2033],[1]
79,3584,[2034],[1]
80,3585,[2035],[1]
81,3591,[19452],[100]
82,3599,[19514],[100]
83,3600,[19554],[1]
84,3667,[3352],[25]
85,3668,[10295],[52]
86,3678,[20117],[1]
87,3679,[19855],[3]
88,3681,[19013],[1]
89,3689,[4435],[12]
90,3690,[15254],[10]
91,4035,[446],[1]
92,4045,[795],[1]
93,4050,[2267],[1]
94,2994,[118],[480]
95,3045,[98],[8]
96,3057,[100],[5]
97,3068,[69],[5]
98,3069,[69],[6]
99,3070,[69],[5]
100,3074,[69],[-5]
101,3075,[69],[7]
102,3110,[210],[-10]
103,3111,[210],[9]
104,3313,[18242],[45]
105,3321,[17713],[25]
106,3326,[24],[15]
107,3397,[18600],[1]
108,3448,[19648],[1]
109,3466,[2044],[6000]
110,3467,[2045],[6000]
111,3468,[2046],[6000]
112,3469,[2047],[6000]
113,3470,[1792],[1]
114,3472,[20085],[12]
115,3477,[19450],[1]
116,3478,[9148],[800]
117,3479,[19451],[1]
118,3480,[5674],[1]
119,3485,[3417],[25]
120,3510,[2101],[1]
121,3511,[3251],[25]
122,3512,[3251],[25]
123,3515,[18895],[1]
124,3518,[19572],[1]
125,4036,[17834],[100]
126,4041,[19203],[33]
127,4042,[19204],[33]
128,4043,[19205],[33]
129,4049,[19032],[1]
130,2523,[116],[50]
131,2843,[170],[10]
132,2844,[170],[15]
133,2845,[170],[15]
134,2846,[170],[10]
135,2847,[170],[15]
136,2849,[170],[10]
137,2851,[170],[10]
138,2852,[170],[20]
139,2853,[170],[20]
140,2856,[170],[15]
141,2859,[170],[12]
142,2861,[170],[15]
143,2866,[170],[10]
144,2990,[118],[1350]
145,3258,[199],[40]
146,3259,[198],[40]
147,3260,[200],[40]
148,3274,[131],[-5]
149,3374,[18486],[1]
150,3393,[20545],[1]
151,3394,[11168],[1]
152,3482,[1079],[10]
153,3502,[19559],[1]
154,3503,[19540],[30]
155,3505,[173],[1]
156,3506,[174],[1]
157,3508,[171],[5]
158,3509,[3354],[12]
159,3527,[132],[100]
160,3557,[19277],[90]
161,3558,[19273],[25]
162,3568,[18754],[1]
163,3601,[19553],[40]
164,3613,[19571],[1]
165,3647,[19626],[1]
166,3660,[215],[200]
167,3822,[845],[15]
168,4046,[701],[1]
169,2346,[137],[22]
