"rownum","Id","HASH16","ModType","Level","Stat1","Stat2","Stat3","Stat4","Domain","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","GenerationType","Families","Stat1Value","i32_130","Stat2Value","i32_138","Stat3Value","i32_146","Stat4Value","i32_154","SpawnWeight_Tags","[i32]_174","Tags","GrantedEffectsPerLevel","AuraFlags","[i32]_238","MonsterMetadata","MonsterKillAchievements","ChestModType","Stat5Value","i32_298","Stat5","FullAreaClear_AchievementItems","AchievementItems","GenerationWeight_Tags","GenerationWeight_Values","ModifyMapsAchievements","Stat6Value","i32_402","Stat6","MaxLevel","bool_426","CraftingItemClassRestrictions","MonsterOnDeath","i32_451","HeistAchievements","Stat7Value","i32_475","Stat7","Stat8","Stat8Value","i32_515","InfluenceType","ImplicitTags","HasHardmodeStatValues","Stat1MinHardmode","Stat1MaxHardmode","Stat2MinHardmode","Stat2MaxHardmode","Stat3MinHardmode","Stat3MaxHardmode","Stat4MinHardmode","Stat4MaxHardmode","Stat5MinHardmode","Stat5MaxHardmode","Stat6MinHardmode","Stat6MaxHardmode","Stat7MinHardmode","Stat7MaxHardmode","Stat8MinHardmode","Stat8MaxHardmode","BuffTemplate","ArchnemesisMinionMod","HASH32","BuffTemplate2","i32_648","[rid]_652","RadiusJewelType","IsEssenceOnlyModifier","SpawnLevel_Override","SpawnWeight_Values"
0,"Strength1",22100,439,1,564,"","","",1,"of the Brute","de la Brute","des Wüstlings","蛮人の","- 짐승","do Bruto","силача","del bruto","of the Brute","野蠻之",2,[147],5,8,0,0,0,0,0,0,"[2,3,26,38,41,42,44,11,15,12,1015,1019,1017,37,304,0]",[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",3406667097,[],0,[],3,"",0,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0]"
1,"Strength2",53672,439,11,564,"","","",1,"of the Wrestler","du Lutteur","des Ringers","レスラーの","- 씨름꾼","do Brigão","борца","del luchador ","of the Wrestler","摔角手之",2,[147],9,12,0,0,0,0,0,0,"[2,3,26,38,41,42,44,11,15,12,1015,1019,1017,37,304,0]",[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",1447528431,[],0,[],3,"",0,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0]"
2,"Strength3",27615,439,22,564,"","","",1,"of the Bear","de l'Ours","des Bären","熊の","- 곰","do Urso","медведя","del oso","of the Bear","熊之",2,[147],13,16,0,0,0,0,0,0,"[2,3,26,38,41,42,44,11,15,12,1015,1019,1017,37,304,0]",[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",472807409,[],0,[],3,"",0,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0]"
3,"Strength4",49948,439,33,564,"","","",1,"of the Lion","du Lion","des Löwen","ライオンの","- 사자","do Leão","льва","del león ","of the Lion","獅子之",2,[147],17,20,0,0,0,0,0,0,"[2,3,26,38,41,42,44,11,15,12,1015,1019,1017,37,304,0]",[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",730523798,[],0,[],3,"",0,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0]"
4,"Strength5",34513,439,44,564,"","","",1,"of the Gorilla","du Gorille","des Gorillas","ゴリラの","- 고릴라","do Gorila","гориллы","del gorila","of the Gorilla","大猩猩之",2,[147],21,24,0,0,0,0,0,0,"[2,3,26,38,41,42,44,11,15,12,1015,1019,1017,37,304,0]",[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",712944815,[],0,[],3,"",0,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0]"
5,"Strength6",7645,439,55,564,"","","",1,"of the Goliath","du Goliath","des Goliaths","巨躯の","- 골리앗","do Golias","голиафа","del goliat","of the Goliath","巨人之",2,[147],25,27,0,0,0,0,0,0,"[2,3,26,38,41,42,44,11,15,12,1015,1019,1017,37,304,0]",[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",4083281596,[],0,[],3,"",0,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0]"
6,"Strength7",13917,439,66,564,"","","",1,"of the Leviathan","du Léviathan","des Giganten","リヴァイアサンの","- 레비아탄","do Leviatã","левиафана","del leviatán ","of the Leviathan","海獸之",2,[147],28,30,0,0,0,0,0,0,"[2,3,26,38,41,42,44,11,15,12,1015,1019,1017,37,304,0]",[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",1034750960,[],0,[],3,"",0,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0]"
7,"Strength8",4242,439,74,564,"","","",1,"of the Titan","du Titan","des Titanen","タイタンの","- 거신","do Titã","титана","del titán ","of the Titan","泰坦之",2,[147],31,33,0,0,0,0,0,0,"[2,3,26,38,41,42,44,11,15,12,1015,1019,1017,37,304,0]",[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2080074601,[],0,[],3,"",0,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0]"
8,"Strength9",49770,439,81,564,"","","",1,"of the Gods","des Dieux","der Götter","神々の","- 신들","dos Deuses","богов","de los dioses","of the Gods","眾神之",2,[147],34,36,0,0,0,0,0,0,"[26,0]",[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",1757850284,[],0,[],3,"",0,"[1,0]"
9,"Dexterity1",45863,443,1,570,"","","",1,"of the Mongoose","de la Mangouste","der Manguste","マングースの","- 몽구스","do Mangusto","мангуста","de la mangosta","of the Mongoose","貓鼬之",2,[148],5,8,0,0,0,0,0,0,"[2,3,22,21,39,43,41,44,12,1015,14,569,13,5,1017,1024,0]",[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",664245424,[],0,[],3,"",0,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0]"
