"rownum","Id","[string]_8","[string]_24","[string]_40"
0,"root_jntBnd","[""root_jntBnd""]","[""root_jntBnd""]","[""root_jntBnd""]"
1,"aux_camera_position","[""aux_camera_position"",""aux_animation_control_ratio""]","[""aux_camera_position"",""aux_animation_control_ratio""]","[""aux_camera_position"",""aux_animation_control_ratio""]"
2,"aux_position","[""aux_position""]","[""aux_position""]","[""aux_position""]"
3,"head_jntBnd","[""head_jntBnd"",""nose_jntBnd"",""L_ear_jntBnd"",""R_ear_jntBnd""]","[""head_jntBnd"",""L_eye_jntBnd"",""L_top_eyelid_jntBnd"",""L_bot_eyelid_jntBnd"",""L_eye_membrane_jntBnd"",""R_eye_jntBnd"",""R_top_eyelid_jntBnd"",""R_bot_eyelid_jntBnd"",""R_eye_membrane_jntBnd""]","[""head_jntBnd""]"
4,"aux_Head_attachment","[""*head_jntBnd""]","[""*head_jntBnd""]","[""*head_jntBnd""]"
5,"face_jntBnd","[""*head_jntBnd""]","[""L_mouth_membrane_jntBnd"",""R_mouth_membrane_jntBnd"",""nose_jntBnd""]","[""L_brow_jntBnd_1"",""L_brow_jntBnd_2"",""L_brow_jntBnd_3"",""R_brow_jntBnd_1"",""R_brow_jntBnd_2"",""R_brow_jntBnd_3"",""L_eye_jntBnd"",""R_eye_jntBnd"",""L_ear_jntBnd_1"",""L_ear_jntBnd_2"",""L_ear_jntBnd_3"",""R_ear_jntBnd_1"",""R_ear_jntBnd_2"",""R_ear_jntBnd_3""]"
6,"jaw_jntBnd","[""jaw_jntBnd_1"",""jaw_jntBnd_2"",""L_upper_lip_jntBnd"",""L_lip_jntBnd"",""L_mid_upper_lip_jntBnd"",""R_lip_jntBnd"",""R_mid_upper_lip_jntBnd"",""R_upper_lip_jntBnd"",""L_mid_lower_lip_jntBnd"",""R_mid_lower_lip_jntBnd"",""lower_lip_jntBnd""]","[""jaw_jntBnd"",""tongue_jntBnd_1"",""tongue_jntBnd_2"",""tongue_jntBnd_3"",""tongue_jntBnd_4"",""tongue_jntBnd_5"",""tongue_jntBnd_6"",""tongue_jntBnd_7"",""tongue_jntBnd_8"",""tongue_jntBnd_9""]","[""nose_jntBnd"",""L_snout_jntBnd"",""R_snout_jntBnd"",""tongue_jntBnd_1"",""tongue_jntBnd_2"",""tongue_jntBnd_3"",""tongue_jntBnd_4"",""tongue_jntBnd_5"",""jaw_jntBnd""]"
7,"neck_jntBnd","[""neck_jntBnd"",""neck_mid_jntBnd"",""neck_fur_jntBnd""]","[""neck_jntBnd_1"",""neck_jntBnd_2"",""neck_jntBnd_3"",""neck_jntBnd_4"",""neck_jntBnd_5"",""neck_jntBnd_6"",""neck_skin_jntBnd_1"",""neck_skin_jntBnd_2"",""neck_skin_jntBnd_3"",""neck_skin_jntBnd_4"",""neck_skin_jntBnd_5""]","[""neck_jntBnd_1"",""neck_jntBnd_2"",""neck_jntBnd_3"",""neck_base_jntBnd""]"
8,"aux_Back_attachment","[""*chest_jntBnd""]","[""*chest_jntBnd""]","[""*chest_jntBnd""]"
9,"chest_jntBnd","[""chest_jntBnd"",""hump_jntBnd""]","[""chest_jntBnd"",""diaphram_jntBnd""]","[""chest_jntBnd"",""diaphragm_jntBnd"",""L_latissimus_jntBnd"",""R_latissimus_jntBnd""]"
10,"L_chest_jntBnd","[""L_chest_jntBnd""]","[""*chest_jntBnd""]","[""L_pectoralis_jntBnd""]"
11,"phys_skinned_L_chest_jntBnd","[""*L_chest_jntBnd""]","[""*chest_jntBnd""]","[""*chest_jntBnd""]"
12,"R_chest_jntBnd","[""R_chest_jntBnd""]","[""*chest_jntBnd""]","[""R_pectoralis_jntBnd""]"
13,"phys_skinned_R_chest_jntBnd","[""*R_chest_jntBnd""]","[""*chest_jntBnd""]","[""*chest_jntBnd""]"
14,"L_clavicle_jntBnd","[""L_clavicle_jntBnd""]","[""L_clavicle_jntBnd"",""L_scalpula_jntBnd""]","[""L_clavicle_jntBnd"",""L_scalpula_jntBnd"",""L_trapezius_jntBnd""]"
15,"L_shoulder_jntBnd","[""L_shoulder_jntBnd"",""L_shoulderblade_jntBnd""]","[""L_shoulder_jntBnd"",""L_wing_base_jntBnd""]","[""L_shoulder_jntBnd"",""L_deltoid_jntBnd""]"
16,"L_shoulder_attachment_jntBnd","[""*L_shoulder_jntBnd""]","[""*L_shoulder_jntBnd""]","[""*L_shoulder_jntBnd""]"
17,"L_upperArm_attachment_jntBnd","[""*L_shoulder_cTwist_jntBnd_1""]","[""*L_shoulder_cTwist_jntBnd_1""]","[""*L_shoulder_cTwist_jntBnd_1""]"
18,"L_shoulder_cTwist_jntBnd_1","[""L_shoulder_cTwist_jntBnd_1"",""L_bicep_jntBnd""]","[""L_shoulder_cTwist_jntBnd_1"",""phys_skinned_L_membrane_jntBnd_01"",""phys_skinned_L_membrane_jntBnd_02""]","[""L_shoulder_cTwist_jntBnd_1""]"
19,"L_elbow_jntBnd","[""L_elbow_jntBnd""]","[""L_elbow_jntBnd""]","[""L_elbow_jntBnd"",""L_elbow_tip_jntBnd""]"
20,"L_elbow_attachment_jntBnd","[""*L_elbow_jntBnd""]","[""*L_elbow_jntBnd""]","[""*L_elbow_jntBnd""]"
21,"L_elbow_Twist_jntBnd_1","[""L_elbow_Twist_jntBnd_1""]","[""L_elbow_Twist_jntBnd_1"",""L_elbow_F_membrane_jntBnd"",""L_elbow_spike_jntBnd_1""]","[""L_elbow_Twist_jntBnd_1""]"
22,"L_elbow_Twist_jntBnd_2","[""L_elbow_Twist_jntBnd_2""]","[""L_elbow_Twist_jntBnd_2"",""L_elbow_spike_jntBnd_2""]","[""L_elbow_Twist_jntBnd_2""]"
23,"L_elbow_Twist_jntBnd_3","[""L_elbow_Twist_jntBnd_3""]","[""L_elbow_Twist_jntBnd_3""]","[""L_elbow_Twist_jntBnd_3""]"
24,"L_wrist_jntBnd","[""L_wrist_jntBnd""]","[""L_wrist_jntBnd""]","[""L_wrist_jntBnd""]"
25,"aux_L_Weapon_attachment_jntBnd","[""*L_wrist_jntBnd""]","[""L_Weapon""]","[""*L_wrist_jntBnd""]"
26,"aux_L_Weapon_attachment_jntBnd_02","[""*L_wrist_jntBnd""]","[""*L_Weapon""]","[""*L_wrist_jntBnd""]"
27,"L_thumb_1_jntBnd_1","[""*L_thumb_jntBnd_5""]","[""L_thumb_1_jntBnd_1""]","[""L_thumb_1_jntBnd_1""]"
28,"L_thumb_1_jntBnd_2","[""L_thumb_jntBnd_5""]","[""L_thumb_1_jntBnd_2""]","[""L_thumb_1_jntBnd_2""]"
29,"L_thumb_1_jntBnd_3","[""*L_thumb_jntBnd_5""]","[""L_thumb_1_jntBnd_3"",""L_finger_1_jntBnd_4""]","[""L_thumb_1_jntBnd_3""]"
30,"L_finger_1_jntBnd_1","[""*L_finger_jntBnd_1""]","[""L_finger_1_jntBnd_1"",""phys_skinned_L_membrane_jntBnd_09""]","[""L_finger_1_jntBnd_1""]"
31,"L_finger_1_jntBnd_2","[""L_finger_jntBnd_1""]","[""L_finger_1_jntBnd_2"",""phys_skinned_L_membrane_jntBnd_10""]","[""L_finger_1_jntBnd_2""]"
