"rownum","BaseItemTypesKey","bool_16","[rid]_17"
0,27,"",[]
1,0,"",[]
2,4,"",[]
3,15,"",[]
4,28,"",[]
5,40,"",[]
6,41,"",[]
7,42,"",[]
8,43,"",[]
9,196,"",[]
10,197,"",[]
11,198,"",[]
12,199,"",[]
13,200,"",[]
14,201,"",[]
15,202,"",[]
16,203,"",[]
17,204,"",[]
18,205,"",[]
19,16,"",[]
20,19,"",[]
21,10,"",[]
22,11,"",[]
23,31,"",[]
24,32,"",[]
25,14,1,[]
26,20,1,[]
27,38,1,[]
28,70,1,[]
29,30,1,[]
30,33,"",[]
31,530,1,[]
32,189,1,[]
33,497,1,[]
34,498,1,[]
35,499,1,[]
36,500,1,[]
37,501,1,[]
38,502,1,[]
39,503,1,[]
40,183,1,[373]
41,184,1,[373]
42,180,1,[373]
43,181,1,[373]
44,182,1,[373]
