"rownum","CharacterLevel","AreaLevel","i32_8"
0,1,1,0
1,2,2,0
2,3,3,0
3,4,4,0
4,5,5,0
5,6,6,0
6,7,7,0
7,8,8,0
8,9,9,0
9,10,10,0
10,11,11,0
11,12,12,0
12,13,13,0
13,14,14,0
14,15,15,0
15,16,16,0
16,17,17,0
17,18,18,0
18,19,19,1
19,20,20,1
20,21,21,1
21,22,22,1
22,23,23,1
23,24,24,1
24,25,25,1
25,26,26,1
26,27,27,1
27,28,28,1
28,29,29,2
29,30,30,2
30,31,31,2
31,32,32,2
32,33,33,2
33,34,34,2
34,35,35,2
35,36,36,2
36,37,37,2
37,38,38,2
38,39,39,3
39,40,40,3
40,41,41,3
41,42,42,3
42,43,43,3
43,44,44,3
44,45,45,3
45,46,46,3
46,47,47,3
47,48,48,3
48,49,49,4
49,50,50,4
50,51,51,4
51,52,52,4
52,53,53,4
53,54,54,4
54,55,55,4
55,56,56,4
56,57,57,4
57,58,58,4
58,59,59,5
59,60,60,5
60,61,61,5
61,62,62,5
62,63,63,5
63,64,64,5
64,65,65,5
65,66,65,5
66,67,66,5
67,68,67,5
68,69,68,6
69,70,68,6
70,71,69,6
71,72,70,6
72,73,71,6
73,74,71,6
74,75,72,6
75,76,73,6
76,77,74,6
77,78,74,6
78,79,75,7
79,80,76,7
80,81,77,7
81,82,77,7
82,83,78,7
83,84,79,7
84,85,80,7
85,86,80,7
86,87,80,7
87,88,80,7
88,89,80,7
89,90,81,7
90,91,81,7
91,92,81,7
92,93,81,7
93,94,81,7
94,95,81,7
95,96,81,7
96,97,81,7
97,98,81,7
98,99,81,7
99,100,81,7
