"rownum","Mod","[string]_16"
0,13985,"[""spiritprimal""]"
1,13986,"[""spiritprimal""]"
2,13988,"[""spiritprimal""]"
3,13989,"[""spiritprimal""]"
4,13991,"[""spiritprimal""]"
5,13992,"[""spiritprimal""]"
6,13994,"[""spiritwild""]"
7,13995,"[""spiritwild""]"
8,13997,"[""spiritwild""]"
9,13998,"[""spiritwild""]"
10,14000,"[""spiritwild""]"
11,14001,"[""spiritwild""]"
12,14003,"[""spiritvivid""]"
13,14004,"[""spiritvivid""]"
14,14006,"[""spiritvivid""]"
15,14007,"[""spiritvivid""]"
16,14009,"[""spiritvivid""]"
17,14010,"[""spiritvivid""]"
18,14012,"[""spiritsacred""]"
19,14013,"[""spiritsacred""]"
20,14014,"[""spiritsacred""]"
21,14016,"[""spiritsacred""]"
22,14017,"[""spiritsacred""]"
23,14091,"[""spiritvivid""]"
24,14018,"[""spiritprimal""]"
25,14019,"[""spiritprimal""]"
26,14020,"[""spiritprimal""]"
27,14021,"[""spiritwild""]"
28,14022,"[""spiritwild""]"
29,14023,"[""spiritwild""]"
30,14024,"[""spiritvivid""]"
31,14025,"[""spiritvivid""]"
32,14026,"[""spiritvivid""]"
33,14027,"[""spiritsacred""]"
34,14028,"[""spiritsacred""]"
35,15338,"[""archnemesismodabyss""]"
36,15339,"[""archnemesismodabyss""]"
37,14029,"[""archnemesismodabyss""]"
