"rownum","BaseItem","Code"
0,21,"exalted"
1,22,"greater-exalted-orb"
2,23,"perfect-exalted-orb"
3,37,"divine"
4,7,"chaos"
5,8,"greater-chaos-orb"
6,9,"perfect-chaos-orb"
7,14,"alch"
8,188,"annul"
9,24,"regal"
10,25,"greater-regal-orb"
11,26,"perfect-regal-orb"
12,11,"transmute"
13,12,"greater-orb-of-transmutation"
14,13,"perfect-orb-of-transmutation"
15,16,"aug"
16,17,"greater-orb-of-augmentation"
17,18,"perfect-orb-of-augmentation"
18,10,"chance"
19,52,"vaal"
20,36,"artificers"
21,195,"fracturing-orb"
22,2,"mirror"
23,4,"wisdom"
