"rownum","MtxTypeGameSpecific","bool_16","bool_17","bool_18","i32_19","bool_23"
0,6562,1,1,"",1,1
1,6561,1,1,"",1,1
2,6614,"",1,"",2,1
3,6615,"",1,"",2,1
4,6616,"",1,"",2,1
5,5903,"",1,"",2,1
6,6740,"",1,"",2,1
7,6564,"",1,"",2,1
8,6767,1,1,"",1,1
9,6768,1,1,"",1,1
10,6769,1,1,"",1,1
11,6770,1,1,"",1,1
12,6721,"",1,"",2,1
13,6840,"",1,"",2,1
14,6839,"",1,"",2,1
15,6831,"",1,"",2,1
16,6771,1,1,"",1,1
17,6948,"",1,"",2,1
18,7038,"",1,"",2,1
19,7104,"",1,"",2,1
20,7219,1,1,"",1,1
21,7246,1,1,"",1,1
22,7209,"",1,"",2,1
23,7210,"",1,"",2,1
24,7211,"",1,"",2,1
25,7261,"",1,"",2,1
