"rownum","Id","HASH16","Stats","Stat1Value","Stat2Value","Stat3Value","AchievementItem"
0,"Accuracy1",57597,[14497],40,0,0,""
1,"Accuracy2",51147,[17479],1,0,0,""
2,"Accuracy3",64775,[446],1,0,0,""
3,"Accuracy4",9632,[16859],1,0,0,""
4,"Accuracy5",39178,[17294],50,0,0,""
5,"Accuracy6",9755,"[82,553]",500,-2,0,""
6,"Armour1",46180,[16950],1,0,0,""
7,"Armour2",48720,[96],30,0,0,""
8,"Armour3",59754,[7773],20,0,0,""
9,"Armour4",7137,[16954],1,0,0,""
10,"Armour5",59936,[16956],20,0,0,""
11,"Armour6",10680,[16951],100,0,0,""
12,"ArmourEvasion1",49522,"[17052,446]",120,5,0,""
13,"ArmourEvasion2",62285,"[7734,115]",8,8,0,""
14,"ArmourEvasion3",5108,[215],80,0,0,""
15,"ArmourEvasion4",23955,[17054],1,0,0,""
16,"ArmourEvasion5",58876,"[17053,4467]",40,40,0,""
17,"ArmourEvasion6",43258,"[17055,17056]",1,1,0,""
18,"ArmourEnergyShield1",40578,[16982],2,0,0,""
19,"ArmourEnergyShield2",37614,[16983],5,0,0,""
20,"ArmourEnergyShield3",16215,[16984],10,0,0,""
21,"ArmourEnergyShield4",18301,[446],20,0,0,""
22,"ArmourEnergyShield5",8653,[16985],100,0,0,""
23,"ArmourEnergyShield6",65504,[1054],10,0,0,""
24,"Attack1",28524,[1225],3,0,0,""
25,"Attack2",39154,[6489],1,0,0,""
26,"Attack3",38401,"[17655,17656]",1,6000,0,""
27,"Attack4",64511,[446],1,0,0,""
28,"Attack5",11938,[17083],5,0,0,""
29,"Attack6",19500,[17086],1,0,0,""
30,"Attributes1",5356,[3223],5,0,0,""
31,"Attributes2",41483,[6480],1,0,0,""
32,"Attributes3",26621,[14358],5,0,0,""
33,"Attributes4",52604,[14359],5,0,0,""
34,"Attributes5",15826,[14360],5,0,0,""
35,"Axe1",28354,[5024],1,0,0,""
36,"Axe2",11049,[8536],15,0,0,""
37,"Axe3",9088,[3360],40,0,0,""
38,"Axe4",50175,"[11253,11192]",30,15,0,""
39,"Axe5",64228,[446],10,0,0,""
40,"Axe6",233,[10810],1,0,0,""
41,"Bleeding1",59626,[3265],1,0,0,""
42,"Bleeding2",10546,[446],60,0,0,""
43,"Bleeding3",3449,[5141],60,0,0,""
44,"Bleeding4",23936,[4547],80,0,0,""
45,"Bleeding5",38703,[14363],3,0,0,""
46,"Blind1",43524,[14040],40,0,0,""
47,"Blind2",7831,[980],100,0,0,""
48,"Blind3",57463,[3518],60,0,0,""
49,"Blind4",12100,[3356],100,0,0,""
50,"Block1",55013,[475],2,0,0,""
51,"Block2",44840,[446],2,0,0,""
52,"Block3",23442,"[1355,1356]",20,20,0,""
53,"Block4",4500,[446],3,0,0,""
54,"Block5",41322,[13804],3,0,0,""
