"rownum","Stat","GameObjectTask","i32_32","bool_36","bool_37","bool_38","bool_39","bool_40"
0,15274,29,1,"",1,"",1,""
1,25229,30,1,"",1,"",1,""
2,25230,30,1,"",1,"",1,""
3,16688,37,0,1,"","","",""
4,16885,36,0,1,"","","",""
5,16958,38,0,"","","","",""
6,17437,47,0,1,"","","",""
7,17485,49,0,"",1,"",1,""
8,18526,82,2,"","","",1,""
9,18978,92,0,"","","","",""
10,19387,95,0,"",1,"",1,""
11,19399,96,1,"",1,"",1,""
12,19713,98,0,"","","","",""
13,19731,99,0,1,"",1,"",""
14,19891,86,0,"",1,"",1,""
15,20576,112,0,1,1,1,"",""
16,20661,113,0,1,1,1,"",""
17,19952,108,2,"","","","",""
18,21166,118,0,"","",1,1,""
19,22411,137,0,"","","",1,""
20,22523,141,1,"",1,"","",1
21,22524,103,1,"",1,"","",""
22,22669,146,1,"",1,"","",""
23,23111,155,1,"",1,"","",""
24,23119,156,1,"",1,"","",""
25,24209,108,2,"","","","",""
26,24564,171,2,"","",1,"",""
27,24220,172,2,"","","","",""
28,24119,176,0,"",1,"",1,""
29,24396,178,1,"",1,"","",""
30,24261,180,0,"",1,"","",""
31,24495,181,1,"","","","",""
32,24656,185,1,1,1,1,1,1
33,16661,33,0,"",1,"",1,""
34,24097,187,0,"",1,"",1,""
35,24956,194,2,"","","","",""
36,25228,208,0,"",1,"",1,""
37,25792,213,1,"","",1,1,""
38,25904,217,0,"","","","",""
39,25905,218,0,"","","",1,""
