"rownum","Room","Level","Id","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Icon_DDSFile","Mod","ModValues","Description2","Description2 (French)","Description2 (German)","Description2 (Japanese)","Description2 (Korean)","Description2 (Portuguese)","Description2 (Russian)","Description2 (Spanish)","Description2 (Thai)","Description2 (Traditional Chinese)"
0,1,1,"","","","","","","","","","","","Path","Chemin","Weg","通路","길","Caminho","Коридор","Camino","เส้นทาง","路徑","",14855,[40],"","","","","","","","","",""
1,3,1,"garrison_lvl1","","","","","","","","","","","Guardhouse","Salle des gardes","Wachhaus","衛兵詰所","위병소","Caserna","Караульная","Cuartel","ป้อม​ยาม","衛兵所","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconGarrison.dds",14756,"[8,0]","","","","","","","","","",""
2,3,2,"garrison_lvl2","","","","","","","","","","","Barracks","Caserne","Kaserne","兵舎","주둔지","Quartel","Казармы","Barracones","โรง​ทหาร","軍隊憩所","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconGarrison.dds",14756,"[12,10]","","","","","","","","","",""
3,3,3,"garrison_lvl3","","","","","","","","","","","Hall of War","Salle de la guerre","Kriegssaal","戦争の間","전쟁의 전당","Salão da Guerra","Зал войны","Salón de la guerra","หอ​แห่ง​การ​ศึก","戰爭聖殿","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconGarrison.dds",14756,"[16,15]","","","","","","","","","",""
4,3,4,"garrison_lvl4","","","","","","","","","","","Warrior Assembly","Warrior Assembly","Waffenkammer","戦士の詰め所","전사 집회","Conclave dos Guerreiros","Воинский пункт","Asamblea de guerreros","สภานักรบ","戰士集會","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconGarrison.dds",14756,"[20,18]","","","","","","","","","",""
5,4,1,"commander_lvl1","","","","","","","","","","","Commander's Chamber","Chambre du commandant","Kammer des Kommandanten","司令官の間","지휘관의 방","Câmara do Comandante","Комната командира","Cámara del comandante","ห้องผู้บัญชาการ","指揮官之室","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconCommander.dds",14757,[10],"May drop [IncursionMedallionIncreaseRoomTier|Quipolatl's Medallion] or [IncursionMedallionAddRoom|Uromoti's Medallion]","Peut céder un [IncursionMedallionIncreaseRoomTier|Médaillon de Quipolatl] ou un [IncursionMedallionAddRoom|Médaillon d'Uromoti]","Kann [IncursionMedallionIncreaseRoomTier|Quipolatls Medaillon] oder [IncursionMedallionAddRoom|Uromotis Medaillon] fallen lassen","[IncursionMedallionIncreaseRoomTier|キポラトルのメダリオン]または[IncursionMedallionAddRoom|ウロモティのメダリオン]をドロップすることがある","[IncursionMedallionIncreaseRoomTier|퀴폴라틀의 메달리온] 또는 [IncursionMedallionAddRoom|우로모티의 메달리온]이 나올 수 있음","Pode largar o [IncursionMedallionIncreaseRoomTier|Medalhão de Quipolatl] ou [IncursionMedallionAddRoom|Medalhão de Uromoti]","Можно найти [IncursionMedallionIncreaseRoomTier|Медальон Квиполатля] или [IncursionMedallionAddRoom|Медальон Уромоти]","Puede dar un [IncursionMedallionIncreaseRoomTier|Medallón de Quipolatl] o un [IncursionMedallionAddRoom|Medallón de Uromoti]","อาจดรอป[IncursionMedallionIncreaseRoomTier|เหรียญตราคุยโปลาทัล]หรือ[IncursionMedallionIncreaseRoomTier|เหรียญตราอูรูมอที]","可能掉落 [IncursionMedallionIncreaseRoomTier|克特帕托聖徽] 或 [IncursionMedallionAddRoom|烏爾摩堤聖徽]"
6,4,2,"commander_lvl2","","","","","","","","","","","Commander's Hall","Salle du commandant","Halle des Kommandanten","司令官のホール","지휘관의 전당","Salão do Comandante","Зал командира","Salón del comandante","โถงผู้บัญชาการ","中樞指揮所","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconCommander.dds",14757,[25],"May drop [IncursionMedallionIncreaseRoomTier|Quipolatl's Medallion] or [IncursionMedallionAddRoom|Uromoti's Medallion]","Peut céder un [IncursionMedallionIncreaseRoomTier|Médaillon de Quipolatl] ou un [IncursionMedallionAddRoom|Médaillon d'Uromoti]","Kann [IncursionMedallionIncreaseRoomTier|Quipolatls Medaillon] oder [IncursionMedallionAddRoom|Uromotis Medaillon] fallen lassen","[IncursionMedallionIncreaseRoomTier|キポラトルのメダリオン]または[IncursionMedallionAddRoom|ウロモティのメダリオン]をドロップすることがある","[IncursionMedallionIncreaseRoomTier|퀴폴라틀의 메달리온] 또는 [IncursionMedallionAddRoom|우로모티의 메달리온]이 나올 수 있음","Pode largar o [IncursionMedallionIncreaseRoomTier|Medalhão de Quipolatl] ou [IncursionMedallionAddRoom|Medalhão de Uromoti]","Можно найти [IncursionMedallionIncreaseRoomTier|Медальон Квиполатля] или [IncursionMedallionAddRoom|Медальон Уромоти]","Puede dar un [IncursionMedallionIncreaseRoomTier|Medallón de Quipolatl] o un [IncursionMedallionAddRoom|Medallón de Uromoti]","อาจดรอป[IncursionMedallionIncreaseRoomTier|เหรียญตราคุยโปลาทัล]หรือ[IncursionMedallionIncreaseRoomTier|เหรียญตราอูรูมอที]","可能掉落 [IncursionMedallionIncreaseRoomTier|克特帕托聖徽] 或 [IncursionMedallionAddRoom|烏爾摩堤聖徽]"
7,4,3,"commander_lvl3","","","","","","","","","","","Commander's Headquarters","Quartier général du commandant","Hauptquartier des Kommandanten","司令官の軍団司令部","지휘관의 본부","Quartel do Comandante","Штаб командира","Cuartel general del comandante","สำนักงานผู้บัญชาการ","軍團本部","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconCommander.dds",14757,[35],"May drop [IncursionMedallionAddRoom|Uromoti's Medallion] or [IncursionMedallionAddTempleModifier|Zantipi's Medallion]","Peut céder un [IncursionMedallionAddRoom|Médaillon d'Uromoti] ou un [IncursionMedallionAddTempleModifier|Médaillon de Zantipi]","Kann [IncursionMedallionAddRoom|Uromotis Medaillon] oder [IncursionMedallionAddTempleModifier|Zantipis Medaillon] fallen lassen","[IncursionMedallionAddRoom|ウロモティのメダリオン]または[IncursionMedallionAddTempleModifier|ザンティピのメダリオン]をドロップすることがある","[IncursionMedallionAddRoom|우로모티의 메달리온], [IncursionMedallionMaximumCrystalCapacity|조펙의 메달리온], [IncursionMedallionMaximumMedallionCapacity|아즈카파의 메달리온] 또는 [IncursionMedallionAddTempleModifier|잔티피의 메달리온]이 나올 수 있음","Pode largar o [IncursionMedallionAddRoom|Medalhão de Uromoti] ou [IncursionMedallionAddTempleModifier|Medalhão de Zantipi]","Можно найти [IncursionMedallionAddRoom|Медальон Уромоти] или [IncursionMedallionAddTempleModifier|Медальон Зантипи]","Puede dar un [IncursionMedallionAddRoom|Medallón de Uromoti] o un [IncursionMedallionAddTempleModifier|Medallón de Zantipi]","อาจดรอป[IncursionMedallionIncreaseRoomTier|เหรียญตราอูรูมอที]หรือ[IncursionMedallionAddTempleModifier|เหรียญตราซานทีพี]","可能掉落 [IncursionMedallionAddRoom|烏爾摩堤聖徽] 或 [IncursionMedallionAddTempleModifier|善堤比聖徽]"
8,4,4,"commander_lvl4","","","","","","","","","","","Commander's Station","Commander's Station","Kommandostand","司令官の駐屯所","지휘관 주둔지","Estação do Comandante","Пост командира","Estación del comandante","สถานีผู้บัญชาการ","指揮官站點","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconCommander.dds",14757,[40],"May drop [IncursionMedallionAddRoom|Uromoti's Medallion] or [IncursionMedallionAddTempleModifier|Zantipi's Medallion]","May drop [IncursionMedallionAddRoom|Uromoti's Medallion] or [IncursionMedallionAddTempleModifier|Zantipi's Medallion]","Kann [IncursionMedallionAddRoom|Uromotis Medaillon] oder [IncursionMedallionAddTempleModifier|Zantipis Medaillon] fallen lassen","[IncursionMedallionAddRoom|ウロモティのメダリオン]または[IncursionMedallionAddTempleModifier|ザンティピのメダリオン]をドロップすることがある","[IncursionMedallionAddRoom|우로모티의 메달리온] 또는 [IncursionMedallionAddTempleModifier|잔티피의 메달리온]이 나올 수 있음","Pode largar o [IncursionMedallionAddRoom|Medalhão de Uromoti] ou [IncursionMedallionAddTempleModifier|Medalhão de Zantipi]","Можно найти [IncursionMedallionAddRoom|Медальон Уромоти] или [IncursionMedallionAddTempleModifier|Медальон Зантипи]","Puede dar un [IncursionMedallionAddRoom|Medallón de Uromoti] o un [IncursionMedallionAddTempleModifier|Medallón de Zantipi]","อาจดรอป[IncursionMedallionIncreaseRoomTier|เหรียญตราอูรูมอที]หรือ[IncursionMedallionAddTempleModifier|เหรียญตราซานทีพี]","可能掉落 [IncursionMedallionAddRoom|烏爾摩堤聖徽] 或 [IncursionMedallionAddTempleModifier|善堤比聖徽]"
9,5,1,"armoury_lvl1","Contains [Equipment]","Contient de l'[Equipment|Équipement]","Enthält [Equipment|Ausrüstung]","[Equipment|装備品]が出現する","[Equipment|장비] 포함","Contém [Equipment|equipamentos]","Содержит [Equipment|снаряжение]","Contiene [Equipment|equipamientos]","มี[Equipment|ไอเทมสวมใส่]","包含[Equipment|裝備]","Depot","Dépôt","Lagerhalle","保管場所","창고","Depósito","Склад","Depósito de armas","ที่เก็บอาวุธ","倉庫","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconArmoury.dds",14758,[10],"","","","","","","","","",""
