"rownum","Tag","AOFile","BuffVisual"
0,1157,"Metadata/Shrines/CultureShrines/Karui_shrine.ao",286
1,1158,"Metadata/Shrines/CultureShrines/Twilight_shrine.ao",287
2,1159,"Metadata/Shrines/CultureShrines/General_shrine.ao",""
3,1160,"Metadata/Shrines/CultureShrines/Badlands_shrine.ao",291
4,1161,"Metadata/Shrines/CultureShrines/Ezomyte_shrine.ao",290
5,1162,"Metadata/Shrines/CultureShrines/Farudin_shrine.ao",292
6,1163,"Metadata/Shrines/CultureShrines/Keth_shrine.ao",289
7,1164,"Metadata/Shrines/CultureShrines/Vaal_shrine.ao",288
8,1187,"Metadata/Shrines/CultureShrines/FrostCult/FrostShrine_01_01.ao",2621
9,1219,"Metadata/Shrines/CultureShrines/Precursor_shrine.ao",""
10,1220,"Metadata/Shrines/CultureShrines/Oriath_shrine.ao",""
