"rownum","string_0","string_8","i32_16","i32_20","i32_24"
0,"BoneShatterStun","渀刀攀猀甀洀洀漀渀",0,0,-93015103
1,"MagmaBarrierBlock","洀洀漀渀",0,0,-363984537
2,"ShieldDrumArmourBroken","猀甀洀洀漀渀",0,0,77831965
3,"SkeletalBruteStun","letalClericRevive",0,0,-1702486015
4,"SkeletalClericRevive","talClericRevive",0,0,982105551
5,"SkeletonResummon","tun",0,0,1108045582
6,"IceNovaFrostBolt","攀琀漀渀刀攀猀甀洀洀漀渀",0,0,656542665
7,"LightningWarpSuccess","琀漀渀刀攀猀甀洀洀漀渀",0,0,-1002294092
8,"LightningWarpFail","tonResummon",0,0,2099612631
9,"SnipeFailure","ovaFrostBolt",0,0,700394792
10,"SnipeSuccess","愀䘀爀漀猀琀䈀漀氀琀",0,0,1385059030
11,"SnipeSuccessHit","aFrostBolt",0,0,1794762153
12,"PerfectStrikeFail","漀渀",0,0,1731975944
13,"PerfectStrikeSuccess","on",0,0,709844548
14,"UnearthConstructs","ClericRevive",0,0,-211402709
