"rownum","Id","AOFile"
0,"RegularMonster","Metadata/Terrain/Doodads/Leagues/Expedition/monstermarker_set.ao"
1,"EliteMonster","Metadata/Terrain/Doodads/Leagues/Expedition/elitemarker_set.ao"
2,"ArmourChest","Metadata/Terrain/Doodads/Leagues/Expedition/ChestMarkers/ChestArmour.ao"
3,"CurrencyChest","Metadata/Terrain/Doodads/Leagues/Expedition/ChestMarkers/ChestCurrency.ao"
4,"GemChest","Metadata/Terrain/Doodads/Leagues/Expedition/ChestMarkers/ChestGems.ao"
5,"LeagueChest","Metadata/Terrain/Doodads/Leagues/Expedition/ChestMarkers/ChestLeague.ao"
6,"MapChest","Metadata/Terrain/Doodads/Leagues/Expedition/ChestMarkers/ChestMaps.ao"
7,"TrinketChest","Metadata/Terrain/Doodads/Leagues/Expedition/ChestMarkers/ChestTrinkets.ao"
8,"UniqueChest","Metadata/Terrain/Doodads/Leagues/Expedition/ChestMarkers/ChestUniques.ao"
9,"WeaponChest","Metadata/Terrain/Doodads/Leagues/Expedition/ChestMarkers/ChestWeapon.ao"
10,"GenericChest2","Metadata/Terrain/Doodads/Leagues/Expedition/chestmarker2_set.ao"
11,"GenericChest3","Metadata/Terrain/Doodads/Leagues/Expedition/chestmarker3_set.ao"
12,"GenericChest1","Metadata/Terrain/Doodads/Leagues/Expedition/chestmarker_signpost_set.ao"
