"rownum","Id","HASH16","CurrencyItem","Count","DisplayText","DisplayText (French)","DisplayText (German)","DisplayText (Japanese)","DisplayText (Korean)","DisplayText (Portuguese)","DisplayText (Russian)","DisplayText (Spanish)","DisplayText (Thai)","DisplayText (Traditional Chinese)"
0,"Metadata/Items/Currency/CurrencyAddEquipmentSocket",19846,35,20,"20 Artificer's Orbs","20 Orbes d'artificier","20 Sphären des Kunsthandwerkers","20x 熟練工のオーブ","숙련공의 오브 20개","20 Orbes do Artífice","20 сфер астромантии","20 orbes del artesano","20 Artificer's Orb","20 顆工匠石"
1,"Metadata/Items/Currency/CurrencyUpgradeToRare",20358,9,10,"10 Orbs of Alchemy","10 Orbes d'alchimie","10 Sphären der Alchemie","10x 錬金術のオーブ","연금술의 오브 10개","10 Orbes da Alquimia","10 сфер алхимии","10 orbes de alquimia","10 Orbs of Alchemy","10 顆點金石"
2,"Metadata/Items/Currency/CurrencyUpgradeMagicToRare",54496,21,20,"20 Regal Orbs","20 Orbes royaux","20 Hoheitliche Sphären","20x リーガルオーブ","제왕의 오브 20개","20 Orbes Régios","20 сфер царей","20 orbes regios","20 Regal Orb","20 顆富豪石"
3,"Metadata/Items/Currency/CurrencyUpgradeMagicToRare2",30874,22,10,"10 Greater Regal Orbs","10 Orbes royaux majeurs","10 Großartige Hoheitliche Sphären","10x グレーターリーガルオーブ","상위 제왕의 오브 10개","10 Orbes Reais Maiores","10 больших сфер царей","10 orbes regios superiores","10 Regal Orb ชั้นสูง","10 顆高階富豪石"
4,"Metadata/Items/Currency/CurrencyUpgradeMagicToRare3",51981,23,3,"3 Perfect Regal Orbs","3 Orbes royaux parfaits","3 Perfekte Hoheitliche Sphären","10x グレーターリーガルオーブ","완벽한 제왕의 오브 3개","3 Orbes Reais Perfeitos","3 совершенные сферы царей","3 orbes regios perfectos","3 Regal Orb ไร้ที่ติ","3 顆完美富豪石"
5,"Metadata/Items/Currency/CurrencyRerollRare",49977,3,10,"10 Chaos Orbs","10 Orbes du chaos","10 Chaossphären","10x カオスオーブ","카오스 오브 10개","10 Orbes do Caos","10 сфер хаоса","10 orbes de caos","10 Chaos Orb","10 顆混沌石"
6,"Metadata/Items/Currency/CurrencyRerollRare2",42106,4,5,"5 Greater Chaos Orbs","5 Orbes du chaos majeurs","5 Großartige Chaotische Sphären","5x グレーターカオスオーブ","상위 카오스 오브 5개","5 Orbes do Caos Maiores","5 больших сфер хаоса","5 orbes de caos superiores","5 Chaos Orb ชั้นสูง","5 顆高階混沌石"
7,"Metadata/Items/Currency/CurrencyRerollRare3",56025,5,3,"3 Perfect Chaos Orbs","3 Orbes du chaos parfaits","3 Perfekte Chaotische Sphären","3x グレーターカオスオーブ","완벽한 카오스 오브 3개","3 Orbes do Caos Perfeitos","3 совершенные сферы хаоса","3 orbes de caos perfectos","3 Chaos Orbs ไร้ที่ติ","3 顆完美混沌石"
8,"Metadata/Items/Currency/CurrencyCorrupt",64921,52,10,"10 Vaal Orbs","10 Orbes vaal","10 Vaal-Sphären","10x ヴァールオーブ","바알 오브 10개","10 Orbes Vaal","10 сфер ваал","10 orbes vaal","10 Vaal Orb","10 顆瓦爾寶珠"
9,"Metadata/Items/Currency/CurrencyAddModToRare",62634,18,20,"20 Exalted Orbs","20 Orbes exaltés","20 Erhabene Sphären","20x エグザルテッドオーブ","엑잘티드 오브 20개","20 Orbes Exaltados","20 сфер возвышения","20 orbes exaltados","20 Exalted Orb","20 顆崇高石"
