"rownum","Id","string_8","string_16","string_24","string_32","string_40","string_48"
0,"Water","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_water.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_water.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_water.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_water.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_water.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_water.gt"
1,"Mountain","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_ground.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_mountains.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_mountains_corrupted.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_mountains_corrupted.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_mountains_sanctified.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_mountains_island.gt"
2,"Grass","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_ground.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_ground.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_ground_corrupted.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_ground_cosmetic.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_ground_sanctified.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_ground.gt"
3,"Forest","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_ground.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_forest.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_forest_corrupted.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_forest_cosmetic.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_forest_sanctified.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_forest_island.gt"
4,"Swamp","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_ground.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_swamp.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_swamp_corrupted.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_swamp_cosmetic.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_swamp_sanctified.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_swamp.gt"
5,"Desert","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_ground.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_desert.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_desert_corrupted.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_desert_cosmetic.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_desert_sanctified.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_desert_island.gt"
6,"EzomyteCity","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_ground.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_ezomyte_city.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_ezomyte_city.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_ezomyte_city.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_ezomyte_city.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_ezomyte_city.gt"
7,"FaridunCity","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_ground.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_faridun_city.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_faridun_city.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_faridun_city.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_faridun_city.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_faridun_city.gt"
8,"VaalCity","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_ground.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_vaal_city.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_vaal_city.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_vaal_city.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_vaal_city.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_vaal_city.gt"
9,"BreachCity","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_ground.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_breach_city.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_breach_city.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_breach_city.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_breach_city.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_breach_city.gt"
10,"Ocean","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_water.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_water.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_water.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_water.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_water.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_water.gt"
11,"Ritual","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_ground.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_ritual.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_ritual.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_ritual_cosmetic.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_ritual.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_ritual.gt"
12,"Incursion","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_ground.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_incursion.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_incursion.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_incursion_cosmetic.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_incursion.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_incursion.gt"
13,"Delirium","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_ground.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_delirium.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_delirium.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_delirium_cosmetic.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_delirium.gt","Metadata/Terrain/WorldMaps/Maps/Tiles/endgame_map_delirium.gt"
