"rownum","SkillType","GemLevel","Scaling"
0,0,0,1
1,1,1,1
2,1,2,1.1
3,1,3,1.2081
4,1,4,1.3126
5,1,5,1.4109
6,1,6,1.507
7,1,7,1.5998
8,1,8,1.6796
9,1,9,1.7441
10,1,10,1.808
11,1,11,1.8713
12,1,12,1.9337
13,1,13,1.995
14,1,14,2.0548
15,1,15,2.1131
16,1,16,2.1694
17,1,17,2.2237
18,1,18,2.2757
19,1,19,2.325
20,1,20,2.3715
21,1,21,2.419
22,1,22,2.4674
23,1,23,2.5167
24,1,24,2.5672
25,1,25,2.6185
26,1,26,2.671
27,1,27,2.7244
28,1,28,2.779
29,1,29,2.8346
30,1,30,2.8913
31,1,31,2.9492
32,1,32,3.0082
33,1,33,3.0685
34,1,34,3.1299
35,1,35,3.1925
36,1,36,3.2564
37,1,37,3.3216
38,1,38,3.3881
39,1,39,3.4559
40,1,40,3.5251
41,2,1,1
42,2,2,1.0982
43,2,3,1.2052
44,2,4,1.3094
45,2,5,1.4085
46,2,6,1.5069
47,2,7,1.6033
48,2,8,1.6886
49,2,9,1.7604
50,2,10,1.8336
51,2,11,1.9083
52,2,12,1.9845
53,2,13,2.0621
54,2,14,2.1409
55,2,15,2.221
56,2,16,2.3021
57,2,17,2.3843
58,2,18,2.4676
59,2,19,2.5515
60,2,20,2.6362
61,2,21,2.7237
62,2,22,2.8142
63,2,23,2.9076
64,2,24,3.0041
65,2,25,3.1038
66,2,26,3.2068
67,2,27,3.3133
68,2,28,3.4232
69,2,29,3.5369
70,2,30,3.6543
71,2,31,3.7756
72,2,32,3.9009
73,2,33,4.0304
74,2,34,4.1642
75,2,35,4.3024
76,2,36,4.4452
77,2,37,4.5928
78,2,38,4.7452
79,2,39,4.9027
80,2,40,5.0654
81,3,1,1
82,3,2,1.1
83,3,3,1.2095
84,3,4,1.3172
85,3,5,1.4208
86,3,6,1.5247
87,3,7,1.628
88,3,8,1.7214
89,3,9,1.8021
90,3,10,1.8859
91,3,11,1.9726
92,3,12,2.0625
93,3,13,2.1556
94,3,14,2.2518
95,3,15,2.3515
96,3,16,2.4544
97,3,17,2.5608
98,3,18,2.6707
99,3,19,2.7841
100,3,20,2.901
101,3,21,3.023
102,3,22,3.15
103,3,23,3.2823
104,3,24,3.4203
105,3,25,3.5639
106,3,26,3.7137
107,3,27,3.8697
108,3,28,4.0324
109,3,29,4.2018
110,3,30,4.3783
111,3,31,4.5623
112,3,32,4.7539
113,3,33,4.9537
114,3,34,5.1619
115,3,35,5.3787
