"rownum","Id","MiscAnimatedKey1","SpawnWeight","LevelMin","LevelMax","BuffDefinitionsKey","BuffStatValues","SpawnPatterns","ModsKey","[i32]_100","[i32]_116","MiscAnimatedKey2","EnvironmentsKey","i32_164","Achievements","Type","Type (French)","Type (German)","Type (Japanese)","Type (Korean)","Type (Portuguese)","Type (Russian)","Type (Spanish)","Type (Thai)","Type (Traditional Chinese)","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","DaemonSpawningDataKey","bool_216","MonsterPacks","i32_233","i32_237","i32_241","i32_245","EnableStat","ChanceStat"
0,"Blood1",5017,100,65,100,1653,[],[2],[],[],"[0,0,0,0]",8962,1664,4,[],"Contaminated","Contaminée","Kontaminiertes","混濁した","오염된","Contaminado","Заражённая","Sangriento","Contaminated","汙穢的","Waves of Blood pass through the Ritual Site","Des vagues de sang traversent le site du Rituel","Wellen von Blut fließen durch die Ritualstätte","リチュアルを血の波が過ぎ行く","피의 물결이 의식 현장을 휩쓸고 지나갑니다.","Ondas de sangue atravessam o local do ritual","Через место проведения ритуала текут волны крови","Unas olas de sangre pasan por el lugar del ritual","คลื่นโลหิตพัดผ่านจุดทำพิธีกรรม","淹沒祭祀地點的鮮血浪潮",0,"","[881,882,883,884]",950,1056,950,1100,"",26622
1,"Blood2",5017,0,65,100,1653,[],[1],[],[],"[0,0,0,0]",8962,1664,4,[],"Prowling","Errante","Herumtreibendes","徘徊する","배회하는","Espreitando","Крадущаяся","Acechante","Prowling","潛伏","Crimson Wolves strike from the Darkness","Des loups cramoisis frappent depuis les Ténèbres","Blutrote Wölfe schlagen aus der Dunkelheit zu","紅の狼が闇から襲い掛かる","진홍색 늑대들이 어둠 속에서 덮쳐 옵니다.","Lobos carmesins atacam da escuridão","Кровавые волки нападают из темноты","Unos lobos carmesíes golpean desde la oscuridad","หมาป่าโลหิตจู่โจมจากความมืดมิด","赤紅狼群從黑暗中發動攻擊",5,"","[881,882,883,884]",950,1056,950,1100,"",""
2,"Blood3",5017,0,65,100,1653,[],[0],[],[],"[0,0,0,0]",8962,1664,4,[],"Fractured","Fracturée","Gebrochenes","砕けた","분열된","Fraturado","Расколотая","Fracturado","Fractured","破裂","Exploding Corpses rise into the Ritual Site","Des cadavres explosifs surgissent de terre dans le site du Rituel","Explodierende Leichen erheben sich in der Ritualstätte","爆発する死体がリチュアルで歩き回る","의식 현장에서 폭발하는 시신들이 일어납니다.","Cadáveres explosivos surgem no local do ritual","В месте проведения ритуала восстают взрывающиеся трупы","Unos cadáveres explosivos se alzan en el lugar del ritual","ศพระเบิดลุกขึ้นมาสู่จุดทำพิธีกรรม","邁入祭祀地點的爆破屍體",7,"","[881,882,883,884]",950,1056,950,1100,"",""
3,"Locust1",5017,0,65,100,1653,[],[2],[],[],"[0,0,0,0]",8962,1664,4,[],"Plagued","Pestiférée","Verseuchtes","悩ませる","역병 걸린","Empestado","Чумная","Plagado","Plagued","受困","Swarms of Locusts fill the Ritual Site","Des nuées de sauterelles envahissent le site du Rituel","Schwärme von Heuschrecken füllen die Ritualstätte","リチュアルをイナゴの群れが満たす","의식 현장에 메뚜기 떼가 득시글거립니다.","Enxames de gafanhotos invadem o local do ritual","Место проведения ритуала наводняет роящаяся саранча","Unos enjambres de langostas llenan el lugar del ritual","ฝูงแมลงรุมล้อมรอบจุดทำพิธีกรรม","滿溢祭祀地點的蝗群",1,"","[885,886,887,888]",950,1056,950,1100,"",""
4,"Rats1",5017,100,65,100,1653,[],[3],[],[],"[0,0,0,0]",8962,1664,6,[],"Infested","Infestée","Befallenes","蔓延した","창궐","Infestado","Кишащая","Infestado","Infested","受感染","Tornadoes of Rats traverse the Ritual Site","Des tornades de rats traversent le site du Rituel","Tornados von Ratten durchqueren die Ritualstätte","鼠の竜巻がリチュアルを横切る","쥐 떼가 회오리처럼 의식 현장을 가로지릅니다.","Enxames de ratos atravessam o local do ritual","Через место проведения ритуала проходят вихри из крыс","Unos tornados de ratas atraviesan el lugar del ritual","พายุหนูพัดไปตามจุดทำพิธีกรรม","襲捲祭祀地點的鼠患",2,"","[881,882,883,884]",950,1056,950,1100,"",26623
5,"Infection1",5017,100,65,100,1653,[],[3],[],[],"[0,0,0,0]",8962,1664,4,[],"Tainted","Infectée","Verderbtes","汚染された","더럽혀진","Maculado","Порочная","Contaminado","Tainted","汙染","Chaotic Boils grow and explode when Touched","Des furoncles chaotiques se développent et explosent lorsqu'ils sont Touchés","Chaotische Geschwüre wachsen und explodieren bei Berührung","混沌の膿疱が成長し触れると爆発する","건드리면 폭발하는 혼돈의 종기가 자라납니다.","Feridas caóticas crescem e explodem quando tocadas","Пузыри хаоса вырастают и лопаются, если их коснуться","Unos forúnculos caóticos crecen y estallan cuando los tocan","ตุ่มหนองโกลาหลเติบโตจากผืนดิน พร้อมระเบิดออกเมื่อถูกสัมผัส","混沌膿泡膨脹並在接觸時爆炸",3,"","[881,882,883,884]",950,1056,950,1100,"",26624
6,"Miasma1",5017,100,65,100,1653,[],[0],[],[],"[0,0,0,0]",8962,1664,5,[],"Smothered","Étouffée","Erwürgendes","窒息させる","질식","Sufocado","Удушливая","Asfixiante","Smothered","凝滯之息","Chaotic Plants release explosive Pods","Des plantes chaotiques libèrent des bulbes explosifs","Chaotische Pflanzen setzen explosive Schoten frei","混沌の植物が爆発する莢を放出する","혼돈의 식물이 폭발하는 주머니를 내보냅니다.","Plantas caóticas liberam esporos explosivos","Ядовитые растения выпускают взрывоопасные стручки","Unas plantas caóticas liberan vainas explosivas","รากต้นไม้โกลาหลปล่อยตุ่มระเบิด","混沌植物釋出爆炸之莢\n藤蔓之牆出現",4,"","[876,877,878,879,880]",950,1056,950,1100,"",26625
7,"Miasma2",5017,100,65,100,1653,[],[1],[],[],"[0,0,0,0]",8962,1664,5,[],"Sapping","Amoindrissante","Verzehrendes","搾り取る","활력 감소의","Desgastante","Осушающая","Agotador","Sapping","削弱的","Clouds of Elemental Disturbance slow you, lower your Elemental Resistances\nand enhance Monster Resistances","Des nuages de perturbations élémentaires vous ralentissent, réduisent vos Résistances élémentaires\net améliorent les Résistances des monstres","Wolken der elementaren Störung verlangsamen Euch, verringern Eure Elementarwiderstände\nund erhöhen die Widerstände von Monstern","元素の乱流の雲がプレイヤーの元素耐性を下げ\nモンスターの耐性を強化する","원소 교란의 구름이 당신의 움직임을 늦추고 원소 저항을 낮추며\n몬스터의 저항을 향상합니다.","Nuvens de Perturbação Elemental desaceleram você, reduzem suas resistências elementais\ne melhoram as resistências dos monstros","Облака неуравновешенных стихий замедляют вас, снижают ваше\nсопротивление стихиям и повышают сопротивления монстров","Unas nubes de alteraciones elementales te ralentizan, reducen tus\nresistencias elementales y aumentan las resistencias de los monstruos","ไอหมอกธาตุแปรปรวนทำให้คุณเชื่องช้า, ลดค่าต้านทาน ธาตุ ของคุณ\nและเสริมค่าต้านทานของมอนสเตอร์","元素擾動之雲降低你的元素抗性\n並增強怪物抗性",8,"","[876,877,878,879,880]",950,1056,950,1100,"",26626
8,"Frog1",5017,0,65,100,1653,[],[4],[],[],"[0,0,0,0]",8962,1664,0,[],"Croaking","Croassante","Quakendes","ゲロゲロ鳴く","개굴거리는","Coaxante","Квакающая","Croante","Croaking","呱呱叫","Giant plaguebringing Toads emerge from the Darkness","D’énormes crapauds porteurs de peste émergent des Ténèbres","Riesige pestbringende Kröten tauchen aus der Dunkelheit auf","疫病をもたらす巨大なヒキガエルが闇から現れる","어둠으로부터 전염병을 퍼뜨리는 거대 두꺼비들이 나타납니다.","Sapos gigantes portadores de pragas surgem da escuridão","Из темноты являются огромные чумные жабы","Unos sapos gigantes portadores de plaga emergen de la oscuridad","คางคกยักษ์นำโรคปรากฏกายจากความมืดมิด","巨大疫蟾自黑暗中湧現",6,"","[885,886,887,888]",950,1056,950,1100,"",""
9,"Queen1",5017,44,65,100,1653,[],[2],[],[],"[0,0,0,0]",8963,1664,0,[],"Queen's","De la Reine","Der Königin","女王の","여왕의","Da Rainha","Хозяйская","de la reina","Queen's","王后的","The Queen in the Mists guards this Ritual","La Reine dans les Brumes garde ce Rituel","Die Königin in den Nebeln bewacht dieses Ritual","霧の女王がリチュアルを守っている","연무 속의 여왕이 이 의식을 지킵니다.","A Rainha nas Brumas protege este ritual","Этот ритуал сторожит Хозяйка в Туманах","La Reina de la nieblas custodia este ritual","ราชินีในม่านหมอกพิทักษ์พิธีกรรมนี้","迷霧之后守護著這座祭祀",2,"","[885,886,887,888]",950,1056,950,1100,25949,26700
