"rownum","Id","HASH16"
0,"TurnToOverTime",16263
1,"ScaleOverTime",59089
2,"DeleteAfterTime",18287
3,"GlacialCascadeUniqueKnockbackCooldown",32503
4,"FreezeNearbyChilledEnemiesCooldown",13284
5,"VaalSpellKeystoneCooldown",57505
6,"VaalAttackKeystoneCooldown",27615
7,"UltimatumRuinCooldown",42621
8,"AttackCastSpeedOnAttackCooldown",53141
9,"DoubleDamageOnSpellCastCooldown",52008
10,"SnipersMarkLifeFlaskChargeCooldown",60753
11,"SnipersMarkManaFlaskChargeCooldown",23718
12,"AfflictionActionSpeedDebuffWhenHitCooldown",51576
13,"AfflictionDamageTakenDebuffWhenHitCooldown",53949
14,"AfflictionFlaskDebuffWhenHitCooldown",5938
15,"AfflictionRecoveryRateDebuffWhenHitCooldown",37331
16,"ConsecratedGroundOnHitCooldown",17386
17,"ShockedGroundWhenHitCooldown",24403
18,"ChilledGroundWhenHitCooldown",27166
19,"BurningGroundWhenHitCooldown",53594
20,"GainRageFromBerserkerCooldown",15609
21,"GainRageFromGloveImplicitCooldown",31844
22,"GainRageFromKaomsPrimaryCooldown",29805
23,"GainRageFromRageSupportCooldown",47950
24,"GainRageFromAxeSwordCooldown",12962
25,"ConvergenceCooldown",65019
26,"LifeFlaskChargeOnHitCooldown",11289
27,"LifeFlaskChargeOnMarkedEnemyHitCooldown",44070
28,"FlaskChargeOnNonUniqueHitCooldown",8556
29,"MTXBloodDrones",61734
30,"MTXWeaponCloneTrailEffect",59847
31,"Accelerate",38577
32,"MTXTormentedArmourSetFlaskEffect",31246
33,"MTXChronomancerOnCooldownSkillReady",35447
34,"MTXPuppetMaster",35430
35,"PvpArenaDoodadTask",6134
36,"Every4SecondsRegenerateLifePercentOfArmourEvasion",17302
37,"RecoverLifeFromLifeRegenerationEvery4SecondsServer",14467
38,"Every4SecondsRemoveCursesOnYou",35445
39,"AutoPickupWorldItem",40039
40,"MTXRaijuLightningStrike",55041
41,"AddEffectPack",11655
42,"NearestItemTracker",29062
43,"NearestChaosOrbTracker",35018
44,"MTXLithomancerHitTracking",57317
45,"MTXLayeredBarrierOnSpellBlock",60939
46,"MTXPoltergeistOnBlock",56485
47,"RegenerateEnergyShieldEvery4Seconds",41359
48,"MTXSunPortalClosestCheck",45772
49,"MTXSpawnCarnageBats",5491
50,"ProwlingShadeInvisibleAI",40550
51,"VaalGuardClawDodgeAI",55028
52,"VaalArchivistWalkingAI",59649
53,"IncomingDamageTracker",26099
54,"BaronStabVictim",18348
55,"BearTrapSlow",27370
56,"WarzoneResumePathing",41223
57,"AmIAlive",49125
58,"DrainedCorpse",59175
59,"CoreFollowPath",31739
60,"GainRageFromBloodRageCooldown",11411
61,"ShapeshiftMorph",37832
62,"AfflictionFogInterpolator",18729
63,"ArcticArmourShieldEffect",49921
64,"FerrofluidWhenHit",31815
65,"FountainStatueGoopAI",54668
66,"EssieAI",44976
67,"CorruptVenariusAI",38751
68,"CoveredInOilEffects",26902
69,"IgniteOilGround",25896
70,"MinionResummonEffects",10250
71,"CullIndicator",59148
72,"ArsonistIndicator",38455
73,"BoneSpearImpaled",16812
74,"DynamicParameterHandler",1962
75,"LightningRodRainManager",44110
76,"StunnableIndicator",42126
77,"FissureEruptionTask",57219
78,"OverloadIndicator",43163
79,"FallenGodDodgeAI",29714
80,"ExplodeCorpse",54002
81,"VaalLegionnaireDodge",12026
82,"CharacterFloating",21318
83,"SharedPierceList",52727
84,"VoodooKingCascadeRemovalDelay",38346
85,"VoodooKingDeathEffigyDebuffRemoval",40816
86,"MtxNumberOfStepsTakenTracker",29787
87,"VaalLegsShieldGone",39731
88,"ThrowWeaponSlot",52932
89,"AuraVisualHandler",3755
90,"DoryaniSecondBrain",31873
91,"DoryaniThirdBrain",8074
92,"ChronomancerCyclicalCastSpeed",6378
93,"CrossbowManager",2163
94,"TargetTiltTracker",46433
95,"MtxLuteAudioTask",45816
96,"MtxConsecrateCorpses",10743
97,"ComboFinisherManager",5286
98,"DemonFormStackManager",43380
99,"JadeStackGains",60520
100,"BreachBossHandSeconaryAI",61402
101,"IsInCombatChecker",56268
102,"CurrencyExchangeCollectionDisplay",5030
103,"MtxKingOfTheFaridunBack",19582
104,"FountainSupportManager",65378
105,"TimesBlockedTracker",9174
106,"PlayerRowBoat",50656
107,"MtxLumeriusMapDevice",58739
108,"AlternatingBoostTracker",24073
109,"VoodooKingMazeDebuffManager",18896
110,"SoulCoreTrial",2310
111,"SinkOverTime",28418
112,"MtxCurrencyPetPickup",5593
113,"MtxNethermancerSoulSystem",59621
114,"MtxNethermancerFallenSouls",28463
115,"GraphicalItemReceptacle",5479
116,"SpiritReservationTracker",58137
117,"BloodstainedIndicator",11701
118,"BloodlustManager",23744
119,"HeavyHitHaptics",834
120,"ConsumeStunBuildUpToPinIndicator",59686
121,"VolatilityAddStackCooldown",48958
122,"RogueExileMovement",16232
123,"RogueExileTargeting",14001
124,"RogueExileExtraBehaviour",50084
125,"TormentedPlayer",1896
126,"MtxAzmeriNobleDeer",13887
127,"AnimatedWeaponVisual",62059
128,"SpawnWithEffectPack",39623
