"rownum","ActiveSkill","BuffDefinition1","BuffDefinition1Stats","bool_48","Stats2","BuffDefinition2","BuffDefinition2Stats"
0,896,2531,"[23975,23976,23977,25306]",1,[],"",[]
1,897,2532,[20087],1,[],"",[]
2,899,2537,"[20070,351]",1,[],"",[]
3,905,2539,[],1,[],"",[]
4,890,2528,"[19982,19970]",1,[],"",[]
5,966,2708,[],1,[],"",[]
6,1060,2983,[],1,[],2984,"[24144,24143]"
7,1074,2999,[],"","[351,26677,338,18040,24270]","",[]
8,1075,3000,[],"","[351,24279]","",[]
9,1108,3125,[],"","[26023,26024,26026,17376,26027,26028,26029]","",[]
