"rownum","Id","Rarity","[rid]_24","[rid]_40","i32_56","bool_60","[i32]_61","i32_77","bool_81","[rid]_82","Stats"
0,"MicrotransactionBreachHandOnKill","[2,3]",[],[],1,"","[50,100]",0,"",[],[]
1,"MicrotransactionRareUnique","[2,3]",[],[],1,"",[],0,"",[],[]
2,"MicrotransactionRare",[2],[],[],1,"",[],0,"",[],[]
3,"MicrotransactionAllRarities","[0,1,2,3]",[],[],1,"",[],0,"",[],[]
4,"MicrotransactionUnique",[3],[],[],1,"",[],0,"",[],[]
5,"MicrotransactionCursedRare",[2],[],[],1,"",[],0,"",[],[746]
6,"MicrotransactionCursedUnique",[3],[],[],1,"",[],0,"",[],[746]
7,"TriggeredFromCode",[],[],[],1,"",[0],0,"",[],[]
8,"SandwraithMastodon","[0,1,2,3]",[],[],40,"",[],0,"",[],[]
9,"MicrotransactionAllRaritiesPhrecian","[0,1,2,3]",[],[],1,"","[30,60,100,100]",0,"",[],[]
