"rownum","Id","StoredItem","XOffset","YOffset","FirstSlotIndex","Width","Height","ShowIfEmpty","SlotGroup","SlotSize","SlotStyle"
0,"Metadata/Items/Currency/CurrencyUpgradeToMagic",13,29,40,0,1,1,1,0,78,0
1,"Metadata/Items/Currency/CurrencyAddModToMagic",24,29,140,1,1,1,1,0,78,0
2,"Metadata/Items/Currency/CurrencyUpgradeRandomly",10,329,140,9,1,1,1,0,78,2
3,"Metadata/Items/Currency/CurrencyRemoveMod",196,529,40,8,1,1,1,0,78,0
4,"Metadata/Items/Currency/CurrencyUpgradeToRare",9,329,40,2,1,1,1,0,78,0
5,"Metadata/Items/Currency/CurrencyUpgradeMagicToRare",21,29,240,3,1,1,1,0,78,0
6,"Metadata/Items/Currency/CurrencyAddModToRare",18,29,340,6,1,1,1,0,78,0
7,"Metadata/Items/Currency/CurrencyRerollRare",3,29,440,4,1,1,1,0,78,0
8,"Metadata/Items/Currency/CurrencyCorrupt",52,429,40,5,1,1,1,0,78,0
9,"Metadata/Items/Currency/CurrencyFractureRare",203,429,140,41,1,1,1,0,78,2
10,"Metadata/Items/Currency/CurrencyModValues",36,529,140,7,1,1,1,0,78,2
11,"Metadata/Items/Currency/CurrencyDuplicate",7,379,240,10,1,1,1,0,78,3
12,"Metadata/Items/Currency/CurrencyMagicQuality",1,629,270,11,1,1,1,0,78,0
13,"Metadata/Items/Currency/CurrencyArmourQuality",6,729,270,12,1,1,1,0,78,0
14,"Metadata/Items/Currency/CurrencyWeaponQuality",0,829,270,13,1,1,1,0,78,0
15,"Metadata/Items/Currency/CurrencyIdentification",2,829,500,14,1,1,1,0,78,0
16,"Metadata/Items/Currency/CurrencyAddEquipmentSocket",35,829,140,15,1,1,1,0,78,0
17,"Metadata/Items/Currency/CurrencyAddSkillGemSocket3",32,649,40,16,1,1,1,0,78,0
18,"Metadata/Items/Currency/CurrencyAddSkillGemSocket4",33,739,40,17,1,1,1,0,78,2
19,"Metadata/Items/Currency/CurrencyAddSkillGemSocket5",34,829,40,18,1,1,1,0,78,3
20,"Metadata/Items/Currency/CurrencyGemQuality",29,829,370,19,1,1,1,0,78,2
21,"Metadata/Items/Currency/CurrencyFlaskQuality",28,729,370,20,1,1,1,0,78,2
22,"Metadata/Items/Currency/CurrencyAddEquipmentSocketShard",215,579,630,21,1,1,1,0,78,0
23,"Metadata/Items/Currency/CurrencyUpgradeToMagicShard",41,279,630,22,1,1,1,0,78,0
24,"Metadata/Items/Currency/CurrencyUpgradeMagicToRareShard",213,379,630,23,1,1,1,0,78,0
25,"Metadata/Items/Currency/CurrencyUpgradeRandomlyShard",44,479,630,24,1,1,1,0,78,0
26,"CraftingSlot","",408,354,25,2,4,1,2,60,0
27,"Generic1","",159,740,27,1,1,1,2,78,1
28,"Generic2","",249,740,28,1,1,1,2,78,1
29,"Generic3","",339,740,29,1,1,1,2,78,1
30,"Generic4","",429,740,30,1,1,1,2,78,1
31,"Generic5","",519,740,31,1,1,1,2,78,1
32,"Generic6","",609,740,32,1,1,1,2,78,1
33,"Generic7","",699,740,33,1,1,1,2,78,1
34,"Generic8","",159,830,34,1,1,1,2,78,1
35,"Generic9","",249,830,35,1,1,1,2,78,1
36,"Generic10","",339,830,36,1,1,1,2,78,1
37,"Generic11","",429,830,37,1,1,1,2,78,1
38,"Generic12","",519,830,38,1,1,1,2,78,1
39,"Generic13","",609,830,39,1,1,1,2,78,1
40,"Generic14","",699,830,40,1,1,1,2,78,1
41,"Metadata/Items/Currency/CurrencyUpgradeToMagic2",14,119,40,42,1,1,1,0,78,2
42,"Metadata/Items/Currency/CurrencyUpgradeToMagic3",15,209,40,43,1,1,1,0,78,3
43,"Metadata/Items/Currency/CurrencyAddModToMagic2",25,119,140,44,1,1,1,0,78,2
44,"Metadata/Items/Currency/CurrencyAddModToMagic3",26,209,140,45,1,1,1,0,78,3
45,"Metadata/Items/Currency/CurrencyUpgradeMagicToRare2",22,119,240,46,1,1,1,0,78,2
46,"Metadata/Items/Currency/CurrencyUpgradeMagicToRare3",23,209,240,47,1,1,1,0,78,3
47,"Metadata/Items/Currency/CurrencyAddModToRare2",19,119,340,48,1,1,1,0,78,2
48,"Metadata/Items/Currency/CurrencyAddModToRare3",20,209,340,49,1,1,1,0,78,3
49,"Metadata/Items/Currency/CurrencyRerollRare2",4,119,440,50,1,1,1,0,78,2
50,"Metadata/Items/Currency/CurrencyRerollRare3",5,209,440,51,1,1,1,0,78,3
51,"Metadata/Items/Currency/CurrencyHinekorasLock",8,479,240,52,1,1,1,0,78,3
