"rownum","Id","LimitStat","ActiveCountStat","bool_40","bool_41","i32_42","bool_46","bool_47","bool_48","bool_49","bool_50","bool_51","bool_52","bool_53","bool_54","bool_55","bool_56","bool_57","bool_58","rid_59","bool_75","Invulnerable"
0,"SpectreMinion","",3341,1,1,0,1,"",1,"","","","","",1,1,"","","",0,"",""
1,"DominatedNormalMinion",7589,7595,1,1,0,"","",1,"","","","","",1,1,"","","",0,"",""
2,"DominatedMagicMinion",7590,7596,1,1,0,"","",1,"","","","","",1,1,"","","",0,"",""
3,"DominatedRareMinion",7591,7597,1,1,0,"","",1,"","","","","",1,1,"","","",0,"",""
4,"VaalDominatedMinion",16854,16892,1,1,0,"","",1,"","","","","",1,1,"","","",0,"",""
5,"TotemMinion",961,3279,"",1,0,"","",1,1,"","","","","",1,"","","",0,"",""
6,"TrapMinion",958,3580,"",1,0,"","",1,1,1,1,"","","",1,"","","",0,"",""
7,"ZombieMinion",751,3344,1,1,0,"","",1,"","","","","",1,1,"","","",0,"",""
8,"SkeletonMinion","",3342,1,1,0,1,"",1,"","","","","",1,1,"","","",0,"",""
9,"VaalSkeletonMinion",753,3342,1,1,0,"","",1,"","","","","",1,1,"","","",0,"",""
10,"SupportGhostMinion",7874,"",1,1,0,"","",1,"","","","","",1,1,"","","",0,"",""
11,"RemoteMineMinion",959,3579,"",1,0,"","",1,1,"",1,"","","",1,"","","",0,"",""
12,"IncaMinion",4404,"",1,1,0,"","",1,"","","","","",1,1,"","","",0,"",""
13,"InsectMinion",4405,"",1,1,0,"","",1,"","","","","",1,1,"","","",0,"",""
14,"WaterElementalMinion",1179,"",1,1,0,"","",1,"","","","","",1,1,"","","",0,"",""
15,"GenericUnlimitedMinion","","",1,1,0,1,"",1,"","","","","",1,1,"","","",0,"",""
16,"AxisSoldierMinion","","",1,1,0,1,"","","","","","","",1,1,"","","",0,"",""
17,"AnimatedArmourMinion","",7129,1,1,1,"",1,1,"","","","","",1,1,"","","",0,"",""
18,"AnimatedWeaponMinion",5484,5485,1,1,0,"",1,1,"","","","","",1,1,"","","",0,"",""
19,"RagingSpiritMinion",2082,3343,1,1,0,"","",1,"","","","","","",1,"","","",0,1,""
20,"DoubleMinion",13309,"","",1,0,"","",1,1,"","","","",1,1,"","","",0,"",""
21,"GenericUnlimitedMinionWithDrops","","",1,1,0,1,"","","","","","","",1,1,"","","",0,"",""
22,"TaniwhaTailMinion",4406,"",1,1,0,"","",1,"","","","","","",1,"","","",0,"",""
23,"GolemMinion",2807,"",1,1,0,"","",1,"","","","","",1,1,"","","",0,"",""
24,"MissionFollower","","","","",0,1,1,"","","","","","",1,1,"","","",0,"",""
25,"ManifestedUniqueWeaponMinion","",17517,1,1,0,1,"",1,"","","","","",1,1,"","","",0,"",""
26,"RangedAnimatedWeaponMinion",3330,"",1,1,0,"",1,1,"","","","","",1,1,"","","",0,"",""
27,"WolfMinion",4407,3730,1,1,0,"","",1,"","","","","",1,1,"","","",0,"",""
28,"GenericUnlimitedNonMinion","","","",1,0,1,"",1,"","","","","",1,1,"","","",0,"",""
29,"EssenceSpiritMinion",4695,4696,1,1,0,"","",1,"","","","","",1,1,"","","",0,"",""
30,"SpiderMinion",5093,5094,1,1,0,"","",1,"","","","","",1,1,"","","",0,"",""
31,"BeastMinion",5833,6041,1,1,0,"","",1,"","","","","",1,1,"","","",0,"",""
32,"GenericLimitedMinion",5262,5263,1,1,0,"","",1,"","","","","",1,1,"","","",0,"",""
33,"Harbinger","","",1,1,1,"","",1,"","","","","",1,1,"","","",0,"",""
34,"MirageArcher",6654,"","","",0,"","",1,"",1,1,"","",1,1,"","","",0,"",""
35,"Effigy",6792,"","",1,0,"","",1,"","","","","",1,1,"","","",0,"",""
36,"Clone",7588,"",1,1,0,"","",1,"","","","","",1,1,"","","",0,"",""
37,"HeraldScorpion",7648,"",1,1,0,"","",1,"","","","","",1,1,"","","",0,"",""
38,"HeraldChampion",7660,7801,1,1,0,"","",1,"","","","","",1,1,"","","",0,"",""
39,"Relic",7675,7676,1,1,0,"","",1,"","","","","",1,1,"","","",0,"",""
40,"ReplicateMinion",8916,8917,1,1,0,"","",1,"","","","","",1,1,"","","",0,"",""
41,"BurrowingViperMinion","","","",1,0,1,"",1,1,"","","","",1,1,"","","",0,"",""
42,"MirageWarrior",10025,10026,"",1,0,"","",1,1,"","","","",1,1,"","","",0,"",""
43,"DoubleCryWarrior",11073,11074,"",1,0,"","",1,1,"","","","","",1,"","","",0,"",""
44,"GenericLimitedTo3Minion","","",1,1,3,"","",1,"","","","","",1,1,"","","",0,"",""
45,"MirageChieftain","","",1,1,0,1,"",1,"","","","","",1,1,"","","",0,"",""
46,"GenericLimitedMinionWithDrops",5262,"",1,1,0,"","","","","","","","",1,1,"","","",0,"",""
47,"TauntingContraption","","",1,1,1,"","",1,"","","","","",1,1,"","","",0,"",""
48,"AbsolutionSentinel",13335,13359,1,1,0,"","",1,"","","","","",1,1,"","","",0,"",""
49,"VaalAbsolutionSentinel",16853,16893,1,1,0,"","",1,"","","","","",1,1,"","","",0,"",""
50,"Reaper",13742,"",1,1,0,"","",1,"","","","","",1,1,"","","",0,"",""
51,"ArbalistMinion",13547,"",1,1,0,"","",1,"","","","","",1,1,"","","",0,"",""
52,"Triggerbots","","",1,1,0,1,"",1,"","","","","",1,1,"","","",0,"",""
53,"VaalAnimatedWeaponMinion",5484,16733,1,1,0,"",1,1,"","","","","",1,1,"","","",0,"",""
54,"VaalRangedAnimatedWeaponMinion",3330,16734,1,1,0,"",1,1,"","","","","",1,1,"","","",0,"",""
55,"VaalIceShotMirage",17063,"","",1,0,"","",1,1,"","","","","",1,"","","",0,"",""
56,"MetaDemonCaster","","",1,1,0,1,1,1,"","","","",1,1,1,"","",1,0,"",""
57,"InfernalFamiliar",13422,13423,1,1,0,"","",1,"","","","","",1,1,"",1,1,0,"",""
58,"DjinnWater","","",1,1,1,"","",1,"","","","","",1,1,"",1,"",0,"",1
59,"DjinnFire","","",1,1,1,"","",1,"","","","","",1,1,"",1,"",0,"",1
60,"DjinnSand","","",1,1,1,"","",1,"","","","","",1,1,"",1,"",0,"",1
61,"CorpseBeetle",22614,22629,1,1,0,"","",1,"","","","","",1,1,"",1,"",0,"",""
62,"IzaroSpiritMinion","","",1,1,1,"","",1,"","","","","",1,1,"","","",0,"",""
63,"WolfCompanion","","",1,1,0,1,"",1,"","","","","",1,1,"","",1,0,"",""
64,"LingeringIllusion","","","","",0,1,"",1,"","","","","","",1,"","","",0,"",""
65,"DominatedAuraNormalMinion","","","","",0,1,"",1,"","","",1,"",1,1,"","","",0,"",""
66,"DominatedAuraMagicMinion","","","","",0,1,"",1,"","","",1,"",1,1,"","","",0,"",""
67,"DominatedAuraRareMinion",18007,18008,"","",0,"","",1,"","","",1,"",1,1,"","","",0,"",""
68,"MercenaryCompanion","","",1,1,1,"","",1,"","","","",1,1,1,"","",1,0,"",""
69,"SkeletalConstruct",18710,"",1,1,0,"","",1,"","","","","",1,1,"","","",0,"",""
70,"RhoaMount","","",1,1,1,"","",1,"","","","",1,1,1,"","",1,0,"",""
