"rownum","Mod","Mods","bool_32","bool_33","[i32]_34","AbyssMods"
0,4716,"[4758,14492,14494,14897,14900,14902,14904,4760,14915,14917,14919,14912]","",1,"[100,100,100,100,100,100,100,100,100,100,100,100]","[14496,14498,14906]"
1,4710,"[4758,14492,14494,14897,14900,14902,14904,4760,14915,14917,14919,14912]","",1,"[100,100,100,100,100,100,100,100,100,100,100,100]","[14496,14498,14906]"
2,4712,"[4758,14492,14494,14897,14900,14902,14904,4760,14915,14917,14919,14912]","",1,"[100,100,100,100,100,100,100,100,100,100,100,100]","[14496,14498,14906]"
3,4750,"[4758,14492,14494,14897,14900,14902,14904,4760,14915,14917,14919,14912]","",1,"[100,100,100,100,100,100,100,100,100,100,100,100]","[14496,14498,14906]"
4,4752,"[4758,14492,14494,14897,14900,14902,14904,4760,14915,14917,14919,14912]","",1,"[100,100,100,100,100,100,100,100,100,100,100,100]","[14496,14498,14906]"
5,4702,"[4758,14492,14494,14897,14900,14902,14904,4760,14915,14917,14919,14912]","",1,"[100,100,100,100,100,100,100,100,100,100,100,100]","[14496,14498,14906]"
6,4704,"[4758,14492,14494,14897,14900,14902,14904,4760,14915,14917,14919,14912]","",1,"[100,100,100,100,100,100,100,100,100,100,100,100]","[14496,14498,14906]"
7,4612,"[4758,14492,14494,14897,14900,14902,14904,4760,14915,14917,14919,14912]","",1,"[100,100,100,100,100,100,100,100,100,100,100,100]","[14496,14498,14906]"
8,4615,"[4758,14492,14494,14897,14900,14902,14904,4760,14915,14917,14919,14912]","",1,"[100,100,100,100,100,100,100,100,100,100,100,100]","[14496,14498,14906]"
9,4666,"[4758,14492,14494,14897,14900,14902,14904,4760,14915,14917,14919,14912]","",1,"[100,100,100,100,100,100,100,100,100,100,100,100]","[14496,14498,14906]"
10,4668,"[4758,14492,14494,14897,14900,14902,14904,4760,14915,14917,14919,14912]","",1,"[100,100,100,100,100,100,100,100,100,100,100,100]","[14496,14498,14906]"
11,4670,"[4758,14492,14494,14897,14900,14902,14904,4760,14915,14917,14919,14912]","",1,"[100,100,100,100,100,100,100,100,100,100,100,100]","[14496,14498,14906]"
12,4672,"[4758,14492,14494,14897,14900,14902,14904,4760,14915,14917,14919,14912]","",1,"[100,100,100,100,100,100,100,100,100,100,100,100]","[14496,14498,14906]"
13,4677,"[4758,14492,14494,14897,14900,14902,14904,4760,14915,14917,14919,14912]","",1,"[100,100,100,100,100,100,100,100,100,100,100,100]","[14496,14498,14906]"
14,4680,"[4758,14492,14494,14897,14900,14902,14904,4760,14915,14917,14919,14912]","",1,"[100,100,100,100,100,100,100,100,100,100,100,100]","[14496,14498,14906]"
