"rownum","MtxTypeGameSpecific","AOFile","bool_24"
0,243,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX.ao",1
1,244,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_SG.ao",""
2,245,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_TW.ao",""
3,246,"Metadata/Effects/Microtransactions/Misc/fireworks/Gore/gorefireworksMTX.ao",""
4,247,"Metadata/Effects/Microtransactions/Misc/arctic_aurora/arcticAurora.ao",""
5,248,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_BR.ao",""
6,249,"Metadata/Effects/misc/darksoulercoaster/rig.ao",""
7,250,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_Classic.ao",""
8,251,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_halloween.ao",""
9,252,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_frigid.ao",""
10,3427,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_valentine.ao",""
