"rownum","Id","QuestStates","[i32]_24","AchievementItems","NPCs","bool_72"
0,"CompleteAllOptionalQuests",[72],[],[],[],""
1,"Act1Achievement",[3000],[],[18],"[276,277,384,349]",""
2,"Act2Achievement",[3725],[],"[19,51]","[276,277,384,349]",""
3,"Act3Achievement",[3907],[],[20],"[276,277,384,349]",""
4,"AllAscendancyPoints","[2690,0,0,0]",[],[26],"[276,277,384,349]",""
5,"CraftingBenchUnlocks",[],[4026],[67],"[276,277,384,349]",""
6,"030MillerKill",[2934],[],[118],[],""
7,"030GrimTangleKill",[4663],[],[119],[],""
8,"030IronCountKill",[3000],[],[120],[],""
9,"040MillerKill",[2934],[],[121],[],""
10,"040GrimTangleKill",[4663],[],[122],[],""
11,"040IronCountKill",[3000],[],[123],[],""
12,"050Ascendancy1",[2690],[],[153],[],""
13,"050Ascendancy2",[2691],[],[154],[],""
14,"050Ascendancy3",[2692],[],[155],[],""
15,"050Ascendancy4",[2693],[],[156],[],""
16,"050PinnacleBossesKulemak",[751],[],[124],[],""
