"rownum","Id","StatsKey","bool_24","StatMin","StatMax","bool_33"
0,"IsMagic",1932,"",1,1,""
1,"IsRare",1932,"",2,2,""
2,"IsUnique",1932,"",3,3,""
3,"IsTwinned",987,1,1,1,""
4,"IsUnidentified",1354,1,1,1,""
5,"IsCorrupted",2464,1,1,1,""
6,"Has4ExplicitMods",4315,1,4,4,""
7,"Has5ExplicitMods",4315,1,5,5,""
8,"Has8ExplicitMods",4315,1,8,8,""
9,"Has10TotalMods",6109,1,10,10,""
10,"Has3Leaguestones",5564,1,3,3,""
11,"HasZanaMod",7212,1,1,1,""
12,"HasCraftedMods",7213,1,1,1,""
13,"HasShaperInfluence",6432,"",1,1,""
14,"HasElderInfluence",6432,"",2,2,""
15,"HasShaperOrElderInfluence",6432,"",1,2,""
16,"IsWhiteTier",9370,"",1,5,""
17,"IsYellowTier",9370,"",6,10,""
18,"IsRedTier",9370,"",11,16,""
19,"IsTier15",9370,"",15,15,""
20,"IsTier16",9370,"",16,16,""
21,"HasSextantMod",5596,1,1,1,""
22,"HasNemesisSextant",4739,1,1,1,""
23,"HasGroundHasteSextant",4853,1,1,1,""
24,"HasNoReflectSextant",4878,1,1,1,""
25,"HasExtraTeamMonstersSextant",4886,1,1,1,""
26,"HasBodyguardsSextant",4915,1,1,1,""
27,"HasBarrelSextant1",4912,1,1,1,""
28,"HasBarrelSextant2",4939,1,1,1,""
29,"HasBarrelSextant3",4940,1,1,1,""
30,"HasBarrelSextant4",4941,1,1,1,""
31,"HasBarrelSextant5",4942,1,1,1,""
32,"HasBarrelSextant6",4943,1,1,1,""
33,"HasConvertOnDeathSextant",4885,1,1,1,""
34,"HasOnslaughtIfHitRecentlySextant",4837,1,1,1,""
35,"HasQualityAffectsRaritySextant",4870,1,1,1,""
36,"HasCorruptedDropsSextant",4872,1,1,1,""
37,"HasMinStrongboxRaritySextant",4938,1,1,1,""
38,"HasPossessedRustedScarabSextant",8740,1,1,1,""
39,"HasPossessedPolishedScarabSextant",8741,1,1,1,""
40,"HasPossessedGildedScarabSextant",8742,1,1,1,""
41,"HasPossessedWingedScarabSextant",8743,1,1,1,""
42,"HasPossessedUniqueDropSextant",8744,1,1,1,""
43,"HasPossessedMapDropSextant",8745,1,1,1,""
44,"HasShrineDurationSextant",5477,1,1,1,""
45,"HasCurrencyShardSextant",8749,1,1,1,""
46,"HasVaalMonstersSextant",8772,1,1,1,""
47,"HasBeyondSextant",8763,1,1,1,""
48,"HasTormentBetrayersSextant",8801,1,1,1,""
49,"HasTormentHereticsSextant",8802,1,1,1,""
50,"HasTormentGraverobbersSextant",8800,1,1,1,""
51,"HasCorruptEssenceSextant",9183,1,1,1,""
52,"HasTempests",3009,1,1,1,""
53,"HasLegionSextant",8761,1,1,1,""
54,"HasQuality",4871,1,20,20,""
55,"IsDeliriumMap",10782,1,1,1,""
56,"IsMaximumDelirium",10782,1,100,100,""
57,"AwakeningLevel8",10005,1,8,8,""
58,"ContainsElderGuardian",6166,1,1,1,""
59,"IsBlightedMap",9625,1,1,1,""
60,"IsUberBlightedMap",13850,1,1,1,""
61,"IsT10PlusHellscapeMap",14145,1,10,10,""
62,"HasIncreasedAreaOfEffect",3130,1,1,1,""
63,"HasMinusMaxResistances",1014,"",-1,-1,1
64,"HasAdditionalProjectiles",1002,1,1,1,""
65,"HasAttackSpeed",998,1,1,1,""
66,"HasCastSpeed",999,1,1,1,""
67,"HasMovementSpeed",997,1,1,1,""
68,"Has4SextantMods",5596,1,4,4,""
69,"HasTangleInfluence",9871,"",1,1,""
70,"HasCleansingFireInfluence",9871,"",2,2,""
71,"HasHeightOfHubrisAffectingArea",15273,1,1,1,""
72,"Has70PercentBossAoE",3140,1,70,70,""
73,"IsTier14Plus",9370,1,14,14,""
74,"Expedition5Remnants",13742,1,5,5,""
75,"Expedition15Remnants",13742,1,15,15,""
76,"IsLastMapOfAMemoryLine",15815,1,1,1,""
77,"IsFirstMapOfMemoryLineTier14Plus",15816,1,14,14,""
78,"IsAnyMemoryLine",15817,1,1,1,""
79,"IsAbyssMemoryLine",15817,"",1,1,""
80,"IsAmbushMemoryLine",15817,"",2,2,""
81,"IsAnarchyMemoryLine",15817,"",3,3,""
82,"IsBestiaryMemoryLine",15817,"",4,4,""
83,"IsBetrayalMemoryLine",15817,"",5,5,""
84,"IsBlightMemoryLine",15817,"",6,6,""
85,"IsBreachMemoryLine",15817,"",7,7,""
86,"IsDeliriumMemoryLine",15817,"",8,8,""
87,"IsDominationMemoryLine",15817,"",9,9,""
88,"IsEssenceMemoryLine",15817,"",10,10,""
89,"IsExpeditionMemoryLine",15817,"",11,11,""
90,"IsHarvestMemoryLine",15817,"",12,12,""
91,"IsHeistMemoryLine",15817,"",13,13,""
92,"IsIncursionMemoryLine",15817,"",14,14,""
93,"IsLegionMemoryLine",15817,"",15,15,""
94,"IsMetamorphMemoryLine",15817,"",16,16,""
95,"IsRitualMemoryLine",15817,"",17,17,""
96,"IsTormentMemoryLine",15817,"",18,18,""
97,"IsHarbingerMemoryLine",15817,"",19,19,""
98,"AtLeast100Quantity",1043,1,100,100,""
99,"AtLeast80Quantity",1043,1,80,80,""
100,"SextantMinimumRarity",4938,1,2,2,""
101,"SextantEnragedStrongbox",4901,1,25,25,""
102,"SextantBossHarbinger",8754,1,1,1,""
103,"SextantBossBodyguards",4915,1,1,1,""
104,"SextantHealingPacks",4881,1,4,4,""
105,"SextantConvertPacks",4885,1,4,4,""
106,"SextantHereticGhost",8802,1,1,1,""
107,"SextantBetrayerGhost",8801,1,1,1,""
108,"SextantGraverobberGhost",8800,1,1,1,""
109,"SextantGloomShrine",9225,1,1,1,""
110,"SextantResonatingShrine",9224,1,1,1,""
111,"IsAlvaMemoryLine",17481,"",3,3,""
112,"IsNikoMemoryLine",17481,"",5,5,""
113,"IsEinharMemoryLine",17481,"",2,2,""
114,"IsKiracMemoryLine",17481,"",7,7,""
115,"Tier1",9370,"",1,1,""
116,"Tier2",9370,"",2,2,""
117,"Tier3",9370,"",3,3,""
118,"Tier4",9370,"",4,4,""
119,"Tier5",9370,"",5,5,""
120,"Tier6",9370,"",6,6,""
121,"Tier7",9370,"",7,7,""
122,"Tier8",9370,"",8,8,""
123,"Tier9",9370,"",9,9,""
124,"Tier10",9370,"",10,10,""
125,"Tier11",9370,"",11,11,""
126,"Tier12",9370,"",12,12,""
127,"Tier13",9370,"",13,13,""
128,"Tier14",9370,"",14,14,""
129,"Tier15",9370,"",15,15,""
130,"Tier16",9370,"",16,16,""
