"rownum","Id","i32_8","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","i32_20","bool_24"
0,"SkillPromoted",1,"","","","","","","","","","",0,""
1,"SkillOffence",1,"Damage","Dégâts","Schaden","ダメージ","피해","Dano","Урон","Damage","ความเสียหาย","傷害",4,""
2,"SkillUsage",1,"Usage","Utilisation","Nutzung","使用量","사용","Uso","Использование","Uso","การใช้งาน","用途",0,""
3,"SkillProjectiles",1,"Projectiles","Projectiles","Projektile","投射物","투사체","Projéteis","Снаряды","Proyectiles","โพรเจกไทล์","投射物",0,""
4,"SkillExtent",1,"Area and Duration","Zone et Durée","Bereich und Duer","範囲および持続時間","범위 및 지속시간","Área e Duração","Область и длительность","Área y duración","พื้นที่และระยะเวลา","區域與持續時間",0,""
5,"SkillCrit",1,"Critical Hits","Touches critiques","Kritische Treffer","クリティカルヒット","치명타 명중","Golpes Críticos","Критические попадания","Impactos críticos","ปะทะคริติคอล","暴擊",0,""
6,"SkillAccuracy",1,"Accuracy","Précision","Genauigkeit","命中力","정확도","Precisão","Меткость","Precisión","ความแม่นยำ","命中",0,""
7,"SkillAilments",1,"Ailments","Altérations","Beeinträchtigungen","状態異常","상태 이상","Afecções","Состояния","Estados alterados","เจ็บป่วย","異常狀態",0,""
8,"SkillOnHit",1,"On Hit Effects","Effets au Toucher","Effekt bei Treffer","ヒット時効果","명중 시 효과","Efeitos ao Atingir","Эффекты при нанесении удара","Efectos al impactar","ผลเมื่อปะทะ","擊中效果",0,""
9,"SkillOnKill",1,"On Kill Effects","Effets en Tuant","Effekt bei Tötung","キル時効果","처치 시 효과","Efeitos ao Matar","Эффекты при убийстве","Efectos al matar","ผลเมื่อสังหาร","擊殺效果",0,""
10,"SkillMinion",1,"Minion Modifiers","Modificateurs de Créatures","Kreatur-Modifikatoren","ミニオンモッド","소환수 속성","Modificadores de Lacaios","Свойства приспешников","Modificadores de esbirros","ม็อดมิเนียน","召喚物詞綴",0,""
11,"SkillTotem",1,"Totems","Totems","Totems","トーテム","토템","Totens","Тотемы","Tótems","โทเทม","圖騰",0,""
12,"SkillTrap",1,"Traps","Pièges","Fallen","トラップ","덫","Armadilhas","Ловушки","Trampas","กับดัก","陷阱",0,""
13,"SkillBuff",1,"Buff/Debuff [BuffMagnitude|Magnitudes]","[BuffMagnitude|Amplitude] des Effets bénéfiques/néfastes","Stärkung/Schwächungs[BuffMagnitude|magnituden]","バフ/デバフ[BuffMagnitude|強度]","버프/디버프 [BuffMagnitude|강도]","[BuffMagnitude|Intensidade] de Bônus/Penalidade","[BuffMagnitudes|Величины] положительных/отрицательных эффектов","[BuffMagnitudes|Magnitudes] de efectos beneficiosos/nocivos","[BuffMagnitudes|จำนวนค่า]ของบัฟ/ดีบัฟ","增益效果／減益效果[BuffMagnitude|幅度]",0,""
14,"SkillMisc",1,"Misc","Divers","Sonstiges","その他","기타","Outros","Прочее","Misc.","อื่นๆ","其他",0,""
15,"SkillSpecific",1,"Skill-Specific Stats","Stats spécifiques aux aptiudes","Fertigkeitenspezifische Werte","スキル固有ステータス","스킬별 능력치","Atributos Específicos de Habilidades","Свойства отдельных умений","Estadísticas específicas de habilidades","Stat เฉพาะสกิล","技能專屬能力",0,""
16,"SkillFishing",1,"Fishing","Pêche","Angeln","釣り","낚시","Pesca","Рыбалка","Pesca","ตกปลา","釣魚",0,""
17,"Summary",2,"Summary","Sommaire","Zusammenfassung","概要","요약","Resumo","Общее","Resumen","สรุป","總結",0,""
18,"LifeTop",2,"Life","Vie","Leben","ライフ","생명력","Vida","Здоровье","Vida","พลังชีวิต","生命",0,""
19,"EnergyShieldTop",2,"Energy Shield","Bouclier d'énergie","Energieschild","エナジーシールド","에너지 보호막","Escudo de Energia","Энерг. щит","<size:24>{Escudo de energía}","โล่พลังงาน","能量護盾",0,""
20,"SpiritTop",2,"Spirit","Esprit","Wille","スピリット","정신력","Espírito","Дух","Espíritu","พลังวิญญาณ","精魂",0,""
21,"ManaTop",2,"Mana","Mana","Mana","マナ","마나","Mana","Мана","Maná","มานา","魔力",0,""
22,"ArmourTop",2,"Armour","Armure","Rüstung","アーマー","방어도","Armadura","Броня","Armadura","ค่าเกราะ","護甲",0,""
23,"EvasionTop",2,"Evasion","Évasion","Ausweichen","回避力","회피","Evasão","Уклонение","Evasión","หลบหลีก","閃避",0,""
24,"SuppressionTop",2,"Suppression","Répression","Unterdrücken","抑制","억압","Supressão","Подавление","Atenuación","ยับยั้ง","壓抑",0,""
25,"DeflectTop",2,"Deflection","Déviation","Abwenden","受け流し","튕겨내기","Deflexão","Отклонение","Desvío","ปัดป้อง","偏斜",0,""
26,"BlockTop",2,"Block","Blocage","Blocken","ブロック","막기","Bloqueio","Блок","Bloqueo","บล็อค","格擋",0,""
27,"Life",2,"Life","Vie","Leben","ライフ","생명력","Vida","Здоровье","Vida","พลังชีวิต","生命",0,""
28,"EnergyShield",2,"Energy Shield","Bouclier d'énergie","Energieschild","エナジーシールド","에너지 보호막","Escudo de Energia","Энергетический щит","Escudo de energía","โล่พลังงาน","能量護盾",0,""
29,"Mana",2,"Mana","Mana","Mana","マナ","마나","Mana","Мана","Maná","มานา","魔力",0,""
30,"Armour",2,"Armour","Armure","Rüstung","アーマー","방어도","Armadura","Броня","Armadura","ค่าเกราะ","護甲",0,""
31,"Evasion",2,"Evasion","Évasion","Ausweichen","回避力","회피","Evasão","Уклонение","Evasión","หลบหลีก","閃避",0,""
32,"Deflection",2,"Deflection","Déviation","Abwenden","受け流し","튕겨내기","Deflexão","Отклонение","Desvío","ปัดป้อง","偏斜",0,""
33,"Resistances",2,"Resistances","Résistances","Widerstände","耐性","저항","Resistências","Сопротивления","Resistencias","ค่าต้านทาน","抗性",0,""
34,"Blocking",2,"Block","Blocage","Blocken","ブロック","막기","Bloqueio","Блок","Bloqueo","บล็อค","格擋",0,""
35,"Ward",2,"Runic Ward","Sauvegarde runique","Runenschutz","ルーンワード","룬 수호","Salvaguarda Rúnica","Рунический барьер","Barrera rúnica","วอร์ดอักขระ","符文保護",0,""
