"rownum","i32_0","i32_4"
0,1,15
1,2,19
2,3,25
3,4,31
4,5,39
5,6,46
6,7,60
7,8,73
8,9,85
9,10,98
10,11,113
11,12,128
12,13,145
13,14,163
14,15,182
15,16,211
16,17,225
17,18,241
18,19,257
19,20,273
20,21,290
21,22,308
22,23,326
23,24,344
24,25,364
25,26,384
26,27,404
27,28,425
28,29,447
29,30,470
30,31,493
31,32,517
32,33,542
33,34,567
34,35,593
35,36,620
36,37,648
37,38,676
38,39,706
39,40,736
40,41,767
41,42,799
42,43,832
43,44,866
44,45,900
45,46,936
46,47,973
47,48,1010
48,49,1049
49,50,1089
50,51,1130
51,52,1172
52,53,1215
53,54,1259
54,55,1304
55,56,1351
56,57,1399
57,58,1448
58,59,1498
59,60,1550
60,61,1603
61,62,1657
62,63,1713
63,64,1770
64,65,1829
65,66,1889
66,67,1950
67,68,2014
68,69,2078
69,70,2145
70,71,2213
71,72,2282
72,73,2354
73,74,2427
74,75,2502
75,76,2578
76,77,2657
77,78,2737
78,79,2820
79,80,2904
80,81,3089
81,82,3281
82,83,3480
83,84,3686
84,85,3899
85,86,4120
86,87,4349
87,88,4585
88,89,4829
89,90,5081
90,91,5509
91,92,5952
92,93,6412
93,94,6889
94,95,7383
95,96,7895
96,97,8425
97,98,8974
98,99,9542
99,100,10129
