"rownum","string_0","rid_8","bool_24","bool_25"
0,"PickUpToCursor",2846,"",""
1,"PlaceFromCursor",2895,"",""
2,"Equip",2886,"",1
3,"UnEquip",2888,"",1
4,"Identify",2900,"",1
5,"Use",2880,"",1
6,"StartApplyMode",2880,"",1
7,"ApplyOnItem",7292,"",1
8,"EndApplyMode",7227,"",""
9,"Unstack",2883,"",""
10,"MoveToStash",2881,"",1
11,"TakeNPCItem",2882,"",1
12,"Buy",2896,"",1
13,"Sell",2897,"",""
14,"Discard",2885,"",""
15,"CorruptItem",6801,"",1
16,"CorruptGem",6801,"",1
17,"ApplyToWorldObject",2852,"",1
18,"BulkQuickMove",8618,"",""
19,"QuickMove",2903,"",""
20,"ReturnCursorHeldItem",7228,"",""
21,"BindToActionBar",2859,"",""
22,"EquipReplace",7237,"",""
23,"ReclaimSellItem",3138,"",""
24,"SocketSkillGem",2890,"",1
25,"LevelSkillGem",7258,"",""
26,"CraftUncutSkillGem",7287,"",1
27,"CraftUncutSupportGem",7288,"",1
28,"ChangeShownWeaponSet",7291,"",""
29,"ApplyOnItemOnce",2852,"",1
30,"RitualDeferItem",5651,"",1
31,"Disenchant",1191,"",1
32,"ShowUseItemFailedError",1,1,""
33,"CraftUncutReservationGem",7287,"",1
34,"TransferToOtherCouchCoopPlayer",7517,"",""
35,"OfferInTrade",4071,"",""
36,"LinkItemToChat",5173,"",""
37,"ShowQuest",7611,"",1
38,"QuickMoveActionButton",2903,"",1
39,"SalvageItem",7915,"",1
40,"OpenItemNoteEditor",3656,"",1
41,"PlaceJewelInEquipment",8399,"",""
42,"PickUpJewelFromEquipment",2846,"",""
43,"ManageEquipmentSockets",2889,"",""
44,"EndManageEquipmentSockets",111,"",""
45,"PlaceSingleFromCursor",8418,"",""
46,"CancelApplyMode",7227,"",""
47,"ViewTrialProgress",8422,"",""
48,"ApplyApplicableMTX",2852,"",1
49,"ReclaimItemSkin",5168,"",1
50,"PropagateEquipment",8502,"",""
51,"CloseStashFolderSubtab",479,"",""
52,"StealItem",5911,"",1
