"rownum","Id","MemoryLine","HASH16","Stats","StatsValues","i32_58","i32_62","i32_66","rid_70","Suffix","Suffix (French)","Suffix (German)","Suffix (Japanese)","Suffix (Korean)","Suffix (Portuguese)","Suffix (Russian)","Suffix (Spanish)","Suffix (Thai)","Suffix (Traditional Chinese)","Mod"
0,"MemoryLineAnarchy1",2,52576,[15794],[3],4,1224,1244,6,"of Organised Chaos","d'un Chaos organisé","des organisierten Chaos","秩序だった混沌の","- 체계적 혼돈","do Caos Organizado","об организованном хаосе","de caos organizado","แห่งขบวนการความวุ่นวาย","組織混沌之",6743
1,"MemoryLineAnarchy2",2,45329,[],[],1,1225,1245,2,"of Ransacked Relics","de Reliques saccagées","der geplünderten Relikte","略奪された遺物の","- 노획당한 유물","das Relíquias Saqueadas","о разграбленных реликвиях","de reliquias saqueadas","แห่งวัตถุโบราณที่ถูกปล้น","洗劫遺物之",6743
2,"MemoryLineDomination1",8,37208,"[14531,15784]","[10,100]",6,1226,1246,2,"of Formidable Shrines","d'Autels redoutables","der gewaltigen Schreine","恐ろしい神殿の","- 강대한 성소","dos Altares Formidáveis","о грозных святилищах","de santuarios formidables","แห่งแท่นบูชาน่าเกรงขาม","強大神殿之",6743
3,"MemoryLineDomination2",8,35260,"[15648,16612]","[4,300]",3,1227,1247,6,"of the Pantheon","du Panthéon","des Pantheons","万神殿の","- 판테온","do Panteão","о Пантеоне","del panteón","แห่งทวยเทพ","眾神殿之",13810
4,"MemoryLineEssence1",9,53818,[],[],1,1228,1248,6,"of Collective Stasis","d'une Stase collective","der kollektiven Stasis","集合する静止の","- 집단적 정체","do Estase Coletivo","о коллективном заточении","de estasis colectivo","แห่งกลุ่มผู้แน่นิ่ง","集體靜止之",6743
5,"MemoryLineEssence2",9,23679,"[15661,12722,12811,14534,12812]","[1,100,1,1,100]",5,1229,1249,1,"of Crystal Prisons","de Prisons de cristal","der Kristallgefängnisse","結晶の牢獄の","- 수정 수용소","das Prisões de Cristal","о кристальных тюрьмах","de prisiones de cristal","แห่งกรงผลึก","水晶監獄之",13811
6,"MemoryLineAmbush1",1,46590,"[15813,4934]","[4,1]",4,1230,1250,2,"of Cascading Fortunes","de Richesses en cascade","der kumulierten Reichtümer","次々と迫る富の","- 쏟아지는 보물","da Chuva de Fortunas","о череде богатств","de fortunas rebosantes","แห่งทรัพย์สมบัติพรั่งพรู","鉅額財富之",13812
7,"MemoryLineAmbush2",1,33628,"[4876,4937]","[1,2]",3,1231,1251,2,"of Hidden Behemoths","de Béhémoths cachés","der versteckten Ungeheuer","隠れしベヒモスの","- 숨은 거대괴수","dos Gigantes Escondidos","о скрытых колоссах","de monstruos ocultos","แห่งยักษ์เร้นลับ","隱匿巨獸之",6743
8,"MemoryLineBreach1",6,40744,"[15705,12434,15159]","[1,40,1]",4,1232,1252,4,"of Demonic Onslaught","d'un Assaut démoniaque","des dämonischen Ansturms","悪魔の襲来の","- 악마의 맹공","da Matança Demoníaca","о демоническом раже","de ofensiva demoníaca","แห่งปีศาจรุกราน","惡魔猛攻之",13813
9,"MemoryLineBreach2",6,36724,"[15778,12841,12695]","[1,100,100]",6,1233,1253,4,"of Grasping Hands","de Mains agrippantes","der greifenden Hände","握る手の","- 거머쥐는 손","das Mãos Constringentes","о цепких руках","de puños cerrados","แห่งมือเหนี่ยวรั้ง","亡者之手之",13814
