"rownum","Id","i32_8","i32_12","i32_16","i32_20","i32_24","bool_28","bool_29","i32_30","rid_34","bool_50","bool_51"
0,"HeistTemplarDoubleFile",0,13,13,2,0,"","",0,"","",""
1,"HeistTemplarPhalanx",2,10,10,0,0,"","",0,"","",""
2,"HeistTemplarDoorCircle",3,30,30,180,0,"","",0,"","",""
3,"HeistScienceDoubleFile",0,13,13,2,0,"","",0,"","",""
4,"HeistThugCrew",0,15,12,2,8,"","",0,"","",""
5,"HeistRobotLine",2,5,3,0,0,"","",0,"","",""
6,"HeistRobotLineNoBreak",2,5,3,0,0,"","",1,"","",""
7,"HeistRobotPair",0,10,10,2,0,"","",0,"","",""
8,"HeistRobotSolo",0,0,0,1,0,"","",0,"","",""
9,"HeistRobotSoloNoBreak",0,0,0,1,0,"","",1,"","",""
10,"HeistScienceUndeadPhalanx",2,10,10,0,0,"","",0,"","",""
11,"HeistScienceUndeadLine",0,0,15,1,0,"","",0,"","",""
12,"KaruiShoresAtlasPatrol",0,23,13,2,3,"","",0,"","",""
13,"G2_3MutewindPatrol1",0,15,20,2,5,"","",0,"","",""
14,"G2_4_2BeetlePatrol1",0,0,0,1,0,"","",2,1119,"",""
15,"G2_BeetleBoss",0,0,0,1,0,"","",2,1118,"",""
16,"G2_3MutewindDoorGuards1",3,20,20,75,0,"","",0,"","",""
17,"G2_8HarpyPatrol1",3,20,20,90,5,"","",0,"","",""
18,"G3_VaalGuardXby2",0,13,13,2,0,"","",0,"","",""
19,"G3_VaalGuardXby3",0,13,13,3,0,"","",0,"","",""
20,"G3_VaalGuardFormation1",0,13,13,5,0,"","",0,"","",""
21,"G3_ShieldWallFormation",0,10,10,10,0,1,1,2,1114,"",""
22,"G3_BeastMasterFormation",0,16,13,3,0,"",1,0,1115,"",""
23,"G4_TwilightOrder_ArastasFormation",0,15,15,1,0,"","",0,1116,"",""
24,"G5_TwilightSoldier",0,13,13,3,0,"","",1,"","",""
25,"G5_TwilightAssassin",0,16,16,2,0,"","",1,"","",""
26,"G5_EstatesPatrols",0,13,13,2,0,"","",1,1116,1,""
27,"G2_WingedFiend",0,1,1,1,0,"","",1,1117,1,1
28,"G3_VaalZealotSacrifices",0,15,0,1,10,"","",2,1120,"",1
