"rownum","Id","Particle","i32_24"
0,"shatter_effect",[0],0
1,"shatter_effect",[0],1
2,"shatter_effect",[1],2
3,"shatter_effect",[8],3
4,"shatter_effect",[9],4
5,"shatter_effect",[10],5
6,"shatter_effect",[11],6
7,"plague_bearer_accumulate",[2],0
8,"parried_hit",[3],0
9,"parried_hit",[4],1
10,"parried_hit",[5],2
11,"essence_drain_application_wisp",[6],0
12,"essence_drain_application_wisp",[6],1
13,"essence_drain_application_wisp",[6],2
14,"essence_drain_application_wisp",[6],3
15,"essence_drain_application_wisp",[6],4
16,"essence_drain_application_wisp",[6],5
17,"essence_drain_application_wisp",[6],6
18,"essence_drain_application_wisp",[6],7
19,"essence_drain_application_wisp",[7],8
