"rownum","Id","Variant","i32_12","i32_16","TextAudio","RoundsMin","RoundsMax"
0,"ApproachShout",0,-256,256,11001,1,1
1,"ApproachShout",1,-256,256,11001,2,2
2,"ApproachShout",2,-256,256,11001,3,3
3,"ApproachShout",3,-256,256,11001,4,4
4,"ApproachShout",4,-256,256,11001,5,5
5,"ApproachShout",5,-256,256,11009,6,6
6,"ApproachShout",6,-256,256,11009,7,7
7,"ApproachShout",7,-256,256,11009,8,8
8,"ApproachShout",8,-256,256,11009,9,9
9,"ApproachShout",9,-256,-5,11036,0,0
10,"ApproachShout",10,-4,-2,11027,0,0
11,"ApproachShout",11,-1,-1,11015,0,0
12,"ApproachShout",12,0,0,10933,0,0
13,"ApproachShout",13,1,1,10945,0,0
14,"ApproachShout",14,2,2,10965,0,0
15,"ApproachShout",15,3,4,10968,0,0
16,"ApproachShout",16,5,256,10983,0,0
17,"PlayerWon",0,-256,-5,11622,0,10
18,"PlayerWon",1,-4,-2,11616,0,10
19,"PlayerWon",2,-1,-1,11610,0,10
20,"PlayerWon",3,0,0,11628,0,10
21,"PlayerWon",4,1,1,11628,0,10
22,"PlayerWon",5,2,4,11634,0,10
23,"PlayerWon",6,100,100,11607,0,10
24,"PlayerWon",7,5,256,11640,0,10
25,"PlayerLost",0,-256,-5,10903,0,10
26,"PlayerLost",1,-4,-2,10891,0,10
27,"PlayerLost",2,-1,-1,10864,0,10
28,"PlayerLost",3,0,0,10864,0,10
29,"PlayerLost",4,1,1,10864,0,10
30,"PlayerLost",5,2,4,10864,0,10
31,"PlayerLost",6,5,256,10864,0,10
